Name,Country,Position,Born
Stine Andreassen,Norway,Midfielder,26/02/1981
Theresse Ãsland,Norway,Midfielder,26/08/1995
Kristine BjÃ¸rdal Leine,Norway,Defender,06/08/1996
Karin Bredland,Norway,Midfielder,07/01/1978
Marit Christensen,Norway,Defender,11/12/1980
Kristine Edner,Norway,Midfielder,08/11/1976
Ada Finskud,Norway,Forward,22/01/1989
Andrea Skjold FrÃ¸shaug,Norway,Forward,02/05/1992
Madeleine Giske,Norway,Midfielder,14/09/1987
Svava RÃ³s GuÃ°mundsdÃ³ttir,Iceland,Forward,11/11/1995
Emilie Haavi,Norway,Forward,16/06/1992
Gunhild HerregÃ¥rden,Norway,Defender,26/01/1989
Line Holter,Norway,Defender,25/04/1989
Camilla Huse,Norway,Defender,31/08/1979
Marthe Johanson,Norway,Midfielder,16/09/1983
Caroline Knutsen,Norway,Goalkeeper,21/11/1983
Marie Knutsen,Norway,Midfielder,31/08/1982
Guro Knutsen Mienna,Norway,Midfielder,10/01/1985
Kine Kvaslvik,Norway,Forward,17/02/1987
Ingrid Kvernvolden,Norway,Forward,01/05/1998
Lene MykjÃ¥land,Norway,Midfielder,20/02/1987
Siri Nordby,Norway,Defender,04/08/1978
Hilde Gunn Olsen,Norway,Goalkeeper,02/03/1992
Camilla Ose,Norway,Forward,25/05/1996
Celine Pettersen,Norway,Defender,10/01/1988
Becky Sauerbrunn,USA,Defender,06/06/1985
Synne Skinnes Hansen,Norway,Forward,12/08/1995
Ingrid SÃ¸ndenÃ¥,Norway,Defender,20/12/1993
Hedda Strand Gardsjord,Norway,Defender,28/06/1982
June TÃ¥rnes,Norway,Midfielder,02/09/1990
Elise Thorsnes,Norway,Forward,14/08/1988
Lisa-Marie Utland,Norway,Forward,19/09/1992
Silje Vesterbekkmo,Norway,Goalkeeper,22/06/1983
