Name,Country,Position,Born
James Adams,England,Goalkeeper,03/01/1908
Chris Adamson,England,Goalkeeper,04/11/1978
Tosin Adarabioyo,England,Defender,24/09/1997
Paul Agnew,Northern Ireland,Defender,15/08/1965
Andy Aitken,Scotland,Forward,21/08/1934
Semi Ajayi,Nigeria,Defender,09/11/1993
Ali Al Habsi,Oman,Goalkeeper,30/12/1981
Martin Albrechtsen,Denmark,Defender,31/03/1980
Albert Aldridge,England,Defender,13/04/1864
Scott Allan,Scotland,Forward,28/11/1991
Sam Allardyce,England,Defender,19/10/1954
Ronnie Allen,England,Forward,15/01/1929
Ryan Allsop,England,Goalkeeper,17/06/1992
Morgan Amalfitano,France,Midfielder,20/03/1985
Kwame Ampadu,Ireland,Midfielder,20/12/1970
Colin Anderson,England,Defender,26/04/1962
John Anderson,Ireland,Defender,07/11/1959
Keith Andrews,Ireland,Midfielder,13/09/1980
Nicolas Anelka,France,Forward,14/03/1979
Mark Angel,England,Forward,23/08/1975
Victor Anichebe,Nigeria,Forward,23/04/1988
Michael Appleton,England,Midfielder,04/12/1975
Gerry Armstrong,Northern Ireland,Forward,23/05/1954
David Arthur,England,Defender,09/03/1960
Lee Ashcroft,England,Forward,07/09/1972
George Ashmore,England,Goalkeeper,05/05/1898
Jeff Astle,England,Forward,13/05/1942
Charlie Austin,England,Forward,05/07/1989
Chris Baird,Northern Ireland,Midfielder,25/02/1982
Igor BaliÅ¡,Slovakia,Defender,05/01/1970
Gary Bannister,England,Forward,22/07/1960
Jack Bannister,England,Forward,26/01/1942
Ray Barlow,England,Midfielder,17/08/1926
Giles Barnes,Jamaica,Forward,05/08/1988
Harvey Barnes,England,Midfielder,09/12/1997
Peter Barnes,England,Forward,10/06/1957
Leon Barnett,England,Defender,30/11/1985
Geoff Barnsley,England,Goalkeeper,09/12/1935
Paul Barron,England,Goalkeeper,16/09/1953
Gareth Barry,England,Midfielder,23/02/1981
Kevin Bartlett,England,Forward,12/10/1962
Kyle Bartley,England,Defender,22/05/1991
Vince Bartram,England,Goalkeeper,07/08/1968
William Bassett,England,Forward,27/01/1869
Brendon Batson,England,Defender,06/02/1953
Jem Bayliss,England,Forward,01/08/1863
Craig Beattie,Scotland,Forward,16/01/1984
Roman BednÃ¡Å,Czech Republic,Forward,26/03/1983
Paul Beesley,England,Defender,21/07/1965
Ian Benjamin,England,Forward,11/12/1961
Trevor Benjamin,Jamaica,Forward,08/02/1979
Dean Bennett,England,Midfielder,13/12/1977
Martyn Bennett,England,Defender,04/08/1961
Saido Berahino,Burundi,Forward,04/08/1993
SÃ©kou BerthÃ©,Mali,Defender,07/10/1977
