Name,Country,Position,Born
Cem Acar,Turkey,Midfielder,22/08/1984
Gale Agbossoumonde,USA,Defender,17/11/1991
Damir Agovic,Montenegro,Midfielder,15/05/1989
Varol AkgÃ¶z,Germany,Forward,18/06/1987
Christos Albanis,Greece,Forward,05/11/1994
UÄur Albayrak,Turkey,Forward,08/06/1988
Alex,Brazil,Forward,11/07/1981
Abassin Alikhil,Germany,Defender,19/04/1991
Marcos Ãlvarez,Germany,Forward,30/09/1991
Pablo Ãlvarez,Spain,Goalkeeper,18/05/1988
Martin Amedick,Germany,Defender,06/09/1982
Hassan Amin,Afghanistan,Defender,12/10/1991
Ali Amiri,Afghanistan,Forward,23/09/1985
Zubayr Amiri,Afghanistan,Midfielder,02/05/1990
William Anane,Germany,Forward,17/11/1979
Murat Anli,Turkey,Forward,02/10/1980
Derek Arndt,Germany,Midfielder,14/12/1971
Marco Aulbach,Germany,Goalkeeper,25/07/1993
Mike Baier,Germany,Defender,08/02/1991
Zlatan BajramoviÄ,Bosnia-Herzegovina,Midfielder,12/08/1979
Marvin Bakalorz,Germany,Midfielder,13/09/1989
Patrick Barnes,Germany,Forward,06/09/1984
Sebastian Bartel,Germany,Defender,04/11/1992
Sebastian Barth,Germany,Defender,22/03/1983
Serkan Bayin,Turkey,Midfielder,30/10/1985
Florijon Belegu,Kosovo,Defender,13/03/1993
Stefan Bell,Germany,Defender,24/08/1991
Habib BellaÃ¯d,Algeria,Defender,28/03/1986
Vito Benedetti,Italy,Midfielder,05/01/1979
Markus Berger,Austria,Defender,21/01/1985
Ramon Berndroth,Germany,Midfielder,24/03/1952
Manfred Binz,Germany,Defender,22/09/1965
Stephan Bley,Germany,Defender,19/10/1979
Sascha Boller,Germany,Midfielder,16/02/1984
Ronny Borchers,Germany,Midfielder,10/08/1957
Dirk Borkenhagen,Germany,Midfielder,16/01/1965
Marius Bornwasser,Germany,Forward,29/08/1990
Daniel Bradasch,Germany,Midfielder,14/04/1982
Christian Brucia,Germany,Defender,02/02/1988
Erol Bulut,Turkey,Defender,30/01/1975
Berengar Buschmann,Germany,Defender,21/02/1989
Leo ÄaiÄ,Germany,Defender,31/12/1969
Antonio Castellino,Italy,Midfielder,03/03/1980
Mounir Chaftar,Germany,Defender,29/01/1986
Timothy Chandler,USA,Defender,29/03/1990
Chris,Brazil,Defender,25/08/1978
Daniyel Cimen,Germany,Midfielder,19/01/1985
Oscar Corrochano,Germany,Midfielder,06/09/1976
Ivan ÄosiÄ,Croatia,Defender,13/10/1989
Robert Cue,USA,Goalkeeper,01/12/1983
Steven Cue,Germany,Defender,08/04/1987
Holger Dahl,Germany,Defender,18/01/1969
Peter DeiÃenberger,Germany,Midfielder,01/12/1976
Paolo DelPiccole,USA,Midfielder,28/08/1991
Paolo DelPiccolo,USA,Midfielder,28/05/1991
Adem Demir,Turkey,Midfielder,31/03/1987
Max Denefleh,Germany,Defender,05/03/1994
Alexander Dercho,Germany,Defender,21/01/1987
Gerd Deutsch,Germany,Defender,27/03/1949
Baldo Di Gregorio,Germany,Defender,22/01/1984
Daniel di Gregorio,Italy,Midfielder,27/09/1991
Bakary DiakitÃ©,Germany,Forward,09/11/1980
Karim Dietz,Germany,Midfielder,27/06/1983
Constant Djakpa,Ivory Coast,Defender,17/10/1986
Hartwig Droste,Germany,Midfielder,24/05/1947
Julian Dudda,Germany,Defender,08/04/1993
Kevin Effiong,Germany,Midfielder,24/10/1993
Lukas Ehlert,Germany,Forward,04/06/1993
Sven Ehser,Germany,Forward,11/01/1987
Hans-Walter Eigenbrodt,Germany,Defender,04/08/1935
Dustin Ernst,Germany,Forward,16/06/1992
Thomas Ernst,Germany,Goalkeeper,23/12/1967
Abdessamad Fachat,Morocco,Midfielder,29/08/1989
Davide Faga,Italy,Midfielder,24/11/1987
Marcel Fahrenholz,Germany,Forward,22/03/1994
Ralf FÃ¤hrmann,Germany,Goalkeeper,27/09/1988
Benjamin Falkenmayer,Germany,Midfielder,03/04/1987
Stephen Famewo,Nigeria,Midfielder,30/12/1983
Sebastian Fiedler,Germany,Defender,31/03/1987
Zahit Findik,Germany,Forward,28/07/1991
AndrÃ© Fliess,Germany,Midfielder,19/01/1992
Tommaso Fontana,Germany,Midfielder,02/01/1979
Franciel Rodrigo,Brazil,Forward,17/02/1982
Joachim Fricker,Germany,Defender,23/02/1987
JÃ¼rgen Friedl,Germany,Goalkeeper,23/02/1959
Rob Friend,Canada,Forward,23/01/1981
Michael Gabriel,Austria,Midfielder,15/12/1963
Danny Galm,Germany,Forward,17/03/1986
Giuseppe Gemiti,Germany,Midfielder,03/05/1981
Thomas Gentner,Germany,Defender,04/10/1988
Frank Gerster,Germany,Midfielder,15/04/1976
Fnan Ghebregziabher,Germany,Defender,21/06/1987
Florian Goll,Germany,Midfielder,18/05/1981
Markus GrÃ¶ger,Germany,Defender,30/05/1991
Jonas GrÃ¼ter,Germany,Midfielder,01/02/1986
Hans-JÃ¼rgen Gundelach,Germany,Goalkeeper,29/11/1963
GÃ¼ney GÃ¼nel,Germany,Defender,27/07/1989
Guilherme Guth Mazeto,Germany,Defender,03/08/1992
Stefan Haben,Germany,Defender,02/04/1987
Daniel Halke,Germany,Defender,03/03/1987
Sven Hassler,Germany,Midfielder,07/09/1987
Christian Heide,Germany,Midfielder,08/08/1968
Yann Heil,Luxembourg,Goalkeeper,05/09/1990
Werner Heitkamp,Germany,Forward,03/08/1930
Marcel Heller,Germany,Forward,12/02/1986
Rowan Hendricks,South Africa,Midfielder,15/11/1979
Sascha HerrÃ¶der,Germany,Defender,18/04/1988
Martin Hess,Germany,Forward,06/02/1987
Benjamin Heydel,Germany,Midfielder,04/09/1980
Alexander Hien,Germany,Midfielder,03/04/1993
Christian HÃ¶fer,Germany,Defender,15/02/1990
Hermann HÃ¶fer,Germany,Defender,19/07/1934
Jochen HÃ¶fler,Germany,Forward,21/05/1981
Jan Hofmann,Germany,Goalkeeper,26/02/1989
Lukas HÃ¶ll,Germany,Forward,26/02/1987
Nils HolzhÃ¤user,Germany,Goalkeeper,19/07/1987
Walter Horch,Germany,Defender,11/10/1952
Yannic Horn,Germany,Goalkeeper,08/02/1993
Markus Horr,Germany,Midfielder,06/10/1984
Alexander Hose,Germany,Midfielder,21/08/1983
Petar Hubchev,Bulgaria,Defender,26/02/1964
JarosÅaw Jedynak,Poland,Forward,24/08/1965
Nikola Jovanovic,Germany,Midfielder,19/11/1973
Anthony Jung,Germany,Defender,03/11/1991
Sebastian Jung,Germany,Defender,22/06/1990
Emre Kadimli,Germany,Midfielder,07/11/1993
Marc Oliver Kempf,Germany,Defender,28/01/1995
Sonny Kittel,Germany,Midfielder,06/01/1993
Patric Klandt,Germany,Goalkeeper,29/09/1983
Alexander Klein,Germany,Goalkeeper,16/08/1989
JÃ¼rgen Klopp,Germany,Forward,16/06/1967
Kevin KnÃ¶dler,Germany,Goalkeeper,22/03/1976
Boris Kolb,Germany,Midfielder,12/11/1979
Markus Kolke,Germany,Goalkeeper,18/08/1990
Ãmit Korkmaz,Austria,Midfielder,17/09/1985
Kevin Kraus,Germany,Defender,12/08/1992
Ernst Kudrass,Germany,Defender,17/09/1924
Andre Kunkel,Germany,Midfielder,24/07/1984
BogusÅaw Kwiecien,Poland,Defender,03/09/1959
Thomas Lasser,Germany,Midfielder,25/10/1969
Frank Lehmann,Germany,Goalkeeper,29/04/1989
Dennis Leopold,Germany,Midfielder,18/10/1978
Renato Levy,Germany,Midfielder,29/09/1977
KreÅ¡o LjubiÄiÄ,Croatia,Midfielder,26/09/1988
Vladimir Maljkovic,Croatia,Defender,18/04/1982
Christian MÃ¤nnel,Germany,Defender,02/08/1986
Christian Marggraf,Germany,Goalkeeper,26/03/1982
Kristian Maslanka,Germany,Defender,30/01/1992
Manfred Mattes,Germany,Forward,26/01/1947
Patrick Mayer,Germany,Forward,28/03/1988
Maximilian Mehring,Germany,Midfielder,15/04/1986
Khaled Mesfin-Mulugata,Germany,Midfielder,02/06/1992
Giuseppe Messinese,Italy,Forward,23/11/1977
Sebastian Metzger,Germany,Forward,25/03/1982
Mario Miltner,Germany,Goalkeeper,19/12/1990
Giuliano Modica,Argentina,Defender,12/03/1991
JÃ¼rgen MÃ¶ssmer,Germany,Defender,11/06/1989
Marco MÃ¼ller,Germany,Defender,07/04/1994
Marius MÃ¼ller,Germany,Midfielder,05/10/1990
Erman Muratagic,Germany,Goalkeeper,25/02/1991
Michael Mutzel,Germany,Midfielder,27/09/1979
Tuncay NadaroÄlu,Germany,Defender,27/07/1974
Dimitrij Nazarov,Azerbaijan,Forward,04/04/1990
Jean-Paul Ndeki,Cameroon,Defender,27/10/1982
Marco Neppe,Germany,Defender,14/06/1986
Bernd Nickel,Germany,Forward,15/03/1949
Adriano Nuzzo,Italy,Defender,12/08/1987
Henry Nwosu,Nigeria,Forward,14/02/1980
Patrick Ochs,Germany,Defender,14/05/1984
Maximilian Oesterhelweg,Germany,Midfielder,21/07/1990
Isaac Ojigwe,Nigeria,Forward,15/01/1981
Ãzkan ÃrtÃ¼lÃ¼,Germany,Defender,11/06/1984
Markus Ott,Germany,Midfielder,05/04/1964
Norbert Otto,Germany,Forward,19/04/1957
Noyan Ãz,Turkey,Forward,13/09/1991
DurmuÅ Ãzcan,Turkey,Defender,01/09/1972
Aykut Ãzer,Turkey,Goalkeeper,01/01/1993
Can Ãzer,Germany,Midfielder,22/03/1990
Jens Paetzold,Germany,Midfielder,06/01/1980
Christian Peukert,Germany,Forward,21/02/1960
Benjamin Pintol,Bosnia-Herzegovina,Midfielder,19/05/1990
Peter Podkalicki,Germany,Forward,
Mario Pokar,Germany,Midfielder,18/01/1990
Christoph PreuÃ,Germany,Midfielder,04/07/1981
Vito Raimondi,Italy,Midfielder,20/10/1983
Peter Reichel,Germany,Defender,30/11/1951
Christopher Reinhard,Germany,Defender,19/05/1985
Toni Reljic,Croatia,Midfielder,23/02/1993
Thomas Reubold,Germany,Midfielder,13/09/1966
Dietmar Rompel,Germany,Midfielder,02/02/1962
Sascha Ropic,Germany,Forward,15/10/1980
Andreas RÃ¶ssl,Germany,Goalkeeper,20/02/1988
Marco Roth,Germany,Defender,17/04/1973
Dominik Rummel,Germany,Forward,07/09/1993
Milad Salem,Afghanistan,Forward,03/03/1988
Patrick Schaaf,Germany,Midfielder,08/07/1989
Florian Schacken,Germany,Defender,19/01/1986
Mark SchÃ¤fer,Germany,Defender,29/05/1993
Ingo SchlÃ¶sser,Germany,Midfielder,08/12/1972
Dominik Schmidt,Germany,Defender,01/07/1987
Markus Schmitt,Germany,Forward,30/06/1992
Ralf Schmitt,Germany,Forward,21/01/1977
Sven Schmitt,Germany,Goalkeeper,27/12/1976
Ralf Schneider,Germany,Forward,25/08/1986
BjÃ¶rn Schnitzer,Germany,Midfielder,29/11/1991
Alexander Schur,Germany,Midfielder,23/07/1971
Marvin SchwÃ¤be,Germany,Goalkeeper,25/04/1995
Adrian Sedlo,Germany,Defender,16/11/1969
Benjamin Sigmund,Germany,Defender,14/04/1979
Stefan Simon,Germany,Midfielder,18/06/1969
Sven Simon,Germany,Forward,20/09/1983
Gerd Simons,Germany,Defender,20/10/1951
Danny SÃ¶der,Germany,Goalkeeper,14/06/1993
Jannik Sommer,Germany,Midfielder,13/09/1991
Elia Soriano,Italy,Forward,26/06/1989
Giovanni Speranza,Germany,Midfielder,06/03/1982
Adrian Spier,Germany,Defender,11/01/1988
Peter Sprung,Germany,Forward,20/07/1979
Florian Stahl,Germany,Goalkeeper,20/10/1986
Yannick Stark,Germany,Midfielder,28/10/1990
Markus SteinhÃ¶fer,Germany,Midfielder,07/03/1986
Marc Stendera,Germany,Midfielder,10/12/1995
Thomas Stoll,Germany,Midfielder,20/05/1970
Jonas Stolz,Germany,Goalkeeper,01/06/1990
Denis Streker,Germany,Midfielder,06/04/1991
Dominik Stroh-Engel,Germany,Forward,27/11/1985
Ali Talib,Germany,Forward,18/09/1975
Telmo Teixeira-Rebelo,Portugal,Midfielder,18/02/1988
Fnan Tewelde,Germany,Defender,21/06/1987
