Name,Country,Position,Born
Uwe Abel,Germany,Midfielder,12/08/1966
Ali Abu-Alfa,Germany,Midfielder,28/08/1999
Francis Adomah,Germany,Defender,29/06/1992
Kwaku Afriyie,Ghana,Forward,25/02/1987
Tobias Ahrens,Germany,Forward,09/04/1993
Ãric Akoto,Togo,Defender,20/07/1980
Bruno AkrapoviÄ,Bosnia-Herzegovina,Midfielder,26/09/1967
Hans-JÃ¼rgen Albrecht,Germany,Forward,29/10/1944
Alex,Brazil,Forward,22/05/1980
Andreas Anicic,Germany,Midfielder,29/10/1984
Christian Apel,Germany,Goalkeeper,02/04/1978
Andrew Aris,New Zealand,Forward,26/07/1977
Thoralf Arndt,Germany,Forward,08/11/1966
Selim Aydemir,Turkey,Forward,26/10/1990
Okan Aydin,Turkey,Forward,08/05/1994
Danny Bach,Germany,Defender,31/01/1973
GÃ¼nter Bach,Germany,Forward,27/02/1937
Sebastian Bach,Germany,Goalkeeper,26/01/1986
Uwe Backhaus,Germany,Defender,23/07/1966
Ivica BanÄiÄ,Croatia,Midfielder,29/10/1971
Marcel BÃ¤r,Germany,Defender,03/06/1999
Angelo Barletta,Italy,Midfielder,11/02/1977
Daniel BÃ¤rwolf,Germany,Forward,13/05/1972
Ronald Baumbach,Germany,Defender,16/07/1967
Maik Baumgarten,Germany,Midfielder,26/04/1993
Sydney Bazonzila,Germany,Defender,22/06/1994
Christian Beck,Germany,Forward,10/03/1988
Pierre Becken,Germany,Defender,28/09/1987
Sebastian Becker,Germany,Midfielder,10/04/1985
Uwe Becker,Germany,Midfielder,18/11/1959
Samir Benamar,Morocco,Midfielder,23/08/1992
Wolfgang Benkert,Germany,Goalkeeper,01/07/1951
Klaus Berger,Germany,Goalkeeper,14/06/1959
Johannes Bergmann,Germany,Defender,29/09/1994
Theodor Bergmann,Germany,Midfielder,08/11/1996
Olaf Berschuk,Germany,Defender,16/08/1963
Thomas Bertram,Germany,Defender,16/08/1964
Tom Bertram,Germany,Defender,30/03/1987
Merveille Biankadi,Congo DR,Midfielder,09/05/1995
Florian Bichler,Germany,Midfielder,18/07/1991
Christopher Bieber,Germany,Forward,03/07/1989
Joachim Bilsing,Germany,Defender,15/05/1953
Hans Birke,Germany,Midfielder,21/08/1922
Wolfgang Birke,Germany,Defender,25/12/1951
Peter Bojara,Germany,Goalkeeper,19/07/1939
Manuel BÃ¶lstler,Germany,Midfielder,26/04/1983
Karsten BÃ¶ttcher,Germany,Midfielder,07/01/1970
Steffen Brademann,Germany,Forward,18/08/1956
Najeh Braham,Tunisia,Forward,20/05/1977
Matthias Brand,Germany,Forward,29/08/1955
