Name,Country,Position,Born
Jonathan Alessandro Alberto,Argentina,Forward,05/01/1987
Alberto Heredia,Spain,Midfielder,02/03/1987
Luca Albieri,Italy,Midfielder,03/02/1975
Salvatore Alfieri,Italy,Defender,26/10/1969
Stefano Amadio,Italy,Midfielder,05/01/1989
Pasquale Apa,Italy,Midfielder,08/12/1973
Matteo Apolloni,Italy,Midfielder,01/04/1979
Daniele Arena,Italy,Forward,06/01/1993
Vincenzo Aureli,Italy,Forward,20/01/1973
Anthony Basso,France,Goalkeeper,04/07/1979
Alessandro Bellemo,Italy,Midfielder,20/12/1969
Pierangelo Belli,Italy,Goalkeeper,29/07/1944
Walter Berardi,Italy,Forward,11/02/1952
Riccardo Berardino,Italy,Midfielder,12/10/1990
Ivan Bertuolo,Italy,Defender,19/04/1947
Marco Biagianti,Italy,Midfielder,19/04/1984
Raffaele Biancolino,Italy,Forward,14/08/1977
Marino Bifulco,Italy,Goalkeeper,09/08/1982
Marco Bigoni,Italy,Defender,03/12/1990
Alec Bolla,Italy,Midfielder,23/06/1975
Gabriele Bolognesi,Italy,Midfielder,13/04/1949
Domenico Botticella,Italy,Goalkeeper,02/03/1976
Stanislao Bozzi,Italy,Forward,02/11/1951
Fabrizio Bramati,Italy,Midfielder,12/06/1993
NicolÃ² Bruschi,Italy,Forward,12/08/1998
Emiliano Buttazzoni,Argentina,Defender,30/04/1981
Angelo Calisti,Italy,Forward,16/02/1948
Stefano Camerlengo,Italy,Goalkeeper,03/04/1999
Matteo Camillini,Italy,Defender,10/01/1984
Gabriele Cantagallo,Italy,Goalkeeper,27/02/1943
Dino Capocchiano,Italy,Forward,16/08/1965
Riccardo Capogna,Italy,Forward,30/03/1988
Andrea Cappa,Italy,Goalkeeper,21/02/1993
Giuseppe Carillo,Italy,Midfielder,24/05/1965
Roberto Castorina,Italy,Forward,28/08/1976
Gianni Cavezzi,Italy,Midfielder,07/08/1969
Gianluca Cherubini,Italy,Defender,28/02/1974
Roberto Chiappara,Italy,Midfielder,08/11/1973
Enrico Chiesa,Italy,Forward,29/12/1970
