Name,Country,Position,Born
Abel Pereira,Portugal,Defender,15/04/1990
AcÃ¡cio,Portugal,Defender,30/09/1944
AdÃ£o,Portugal,Midfielder,03/04/1960
Adilson,Portugal,Forward,25/11/1987
Adriano,Portugal,Goalkeeper,30/01/1983
Ailton,Brazil,Midfielder,20/10/1949
Alan Henrique,Brazil,Defender,19/06/1991
Alexandre,Portugal,Defender,29/11/1973
Alfredo Branco,Brazil,Midfielder,02/01/1981
Alejandro Alvarez,Uruguay,Defender,31/10/1976
Amaral,Portugal,Goalkeeper,20/06/1955
Amian,Ivory Coast,Midfielder,16/08/1992
Amilton,Brazil,Forward,12/08/1989
Amorim,Portugal,Defender,26/07/1992
Anderson Cruz,Angola,Forward,09/04/1996
AndrÃ©,Portugal,Defender,25/03/1966
AndrÃ©,Portugal,Midfielder,24/12/1957
AndrÃ© AndrÃ©,Portugal,Midfielder,26/08/1989
Andre Carvalho,Portugal,Midfielder,12/03/1985
AndrÃ© Saura,Portugal,Midfielder,10/09/1966
AntÃ³nio Barbosa,Portugal,Midfielder,01/10/1956
AntÃ³nio Borges,Portugal,Midfielder,20/04/1955
AntÃ³nio Lima Pereira,Portugal,Defender,25/07/1966
Artur,Portugal,Defender,18/09/1947
Artur Jorge,Portugal,Forward,25/12/1970
Augusto Alexandre,Brazil,Midfielder,27/05/1989
Avelino,Portugal,Goalkeeper,05/02/1976
Stanley Awurum,Nigeria,Forward,24/06/1990
Baiko Bakaramoko,Ivory Coast,Forward,29/12/1997
Bandeirinha,Portugal,Defender,26/11/1962
Benje,Angola,Goalkeeper,21/08/1942
Bijou,Portugal,Midfielder,14/04/1986
BobÃ³,Guinea-Bissau,Midfielder,09/02/1963
Borges,Portugal,Midfielder,01/07/1955
Brassard,Mozambique,Goalkeeper,11/04/1972
Brito,Brazil,Defender,09/01/1952
Bruno ConceiÃ§Ã£o,Portugal,Goalkeeper,23/12/1981
Bruno Miguel,Portugal,Defender,24/09/1982
Bruno Moraes,Brazil,Forward,07/07/1984
Bruno Moreira,Portugal,Forward,06/09/1987
Bruno Novo,Portugal,Defender,27/06/1980
Bruno Vale,Portugal,Goalkeeper,08/04/1983
Buba,Brazil,Forward,23/04/1993
Cacheira,Portugal,Defender,02/04/1952
Caetano,Portugal,Defender,19/11/1982
Caetano,Portugal,Forward,20/04/1991
Campinho,Portugal,Midfielder,12/11/1986
Candeias,Portugal,Forward,25/02/1988
CÃ£ndido,Portugal,Goalkeeper,18/02/1971
Carvalho,Portugal,Midfielder,20/03/1956
Castro,Portugal,Defender,24/02/1972
Celestino,Portugal,Defender,02/04/1965
Cervantes,Portugal,Midfielder,13/07/1982
Michalis Charalambous,Cyprus,Forward,29/01/1999
Tafsir ChÃ©rif,Guinea,Forward,19/06/1995
Chico,Portugal,Forward,18/09/1981
Haykeul Chikhaoui,Tunisia,Midfielder,04/09/1996
Cicero,Brazil,Forward,02/08/1976
Lamine Conteh,Sierra Leone,Midfielder,17/01/1976
David CostÃ©,France,Forward,19/06/1976
Cristiano,Brazil,Midfielder,30/07/1975
Daniel Marinho,Portugal,Goalkeeper,22/03/1995
Danilo Julio,Brazil,Forward,09/01/1986
Anthony de Freitas,France,Midfielder,10/05/1994
DedÃ©,Brazil,Forward,06/07/1989
Delmiro,Cape Verde,Defender,29/08/1988
Denilson,Brazil,Forward,25/12/1979
Daniel Denot,Argentina,Midfielder,11/11/1993
Dias GraÃ§a,Brazil,Goalkeeper,26/01/1964
Diego Barcellos,Brazil,Forward,05/04/1985
Diego MourÃ£o,Brazil,Forward,03/10/1982
Diogo Ramos,Portugal,Forward,08/11/1986
Duarte,Portugal,Forward,27/08/1987
Ãrnest EbonguÃ©,Cameroon,Forward,15/05/1962
Ãder DÃ­ez,Spain,Forward,15/07/1987
Eliseu,Portugal,Defender,01/10/1983
Eliseu,Portugal,Defender,10/04/1952
ElÃ­sio,Portugal,Midfielder,05/05/1989
ElÃ­zio,Portugal,Defender,22/02/1988
Emanuel,Portugal,Midfielder,07/07/1975
Emanuel Novo,Portugal,Goalkeeper,26/08/1992
Eridson,Guinea-Bissau,Defender,25/06/1990
Erivan,Brazil,Defender,21/05/1975
Estrela,Angola,Midfielder,22/09/1995
FÃ¡bio,Portugal,Goalkeeper,11/10/1991
FÃ¡bio Fonseca,Portugal,Midfielder,28/01/1997
Felipe Abreu,Brazil,Forward,31/08/1993
Fernando,Brazil,Midfielder,16/04/1981
Walter Ferreira,Portugal,Midfielder,28/02/1946
Festas,Portugal,Defender,09/10/1967
Fidel,Cape Verde,Forward,07/06/1993
Figueiredo,Angola,Midfielder,28/11/1972
FlÃ¡vio,Portugal,Forward,17/11/1957
Folha,Portugal,Forward,18/01/1958
Fonseca,Portugal,Forward,30/09/1956
FrÃ©dÃ©ric Maciel,France,Forward,15/03/1994
Fumo,Mozambique,Forward,22/09/1979
Gama,Portugal,Forward,05/12/1973
Giesteira,Portugal,Goalkeeper,25/06/1965
Gil Dias,Portugal,Midfielder,28/09/1996
Gilmar,Brazil,Midfielder,17/10/1973
GonÃ§alo Abreu,Portugal,Forward,25/06/1986
GonÃ§alo GraÃ§a,Portugal,Forward,28/03/1990
GonÃ§alo Silva,Portugal,Defender,01/06/1999
Christophe Grau,France,Midfielder,01/11/1980
Guedes,Portugal,Defender,02/05/1952
Jacques Haman,Cameroon,Forward,30/08/1994
HernÃ¢ni,Cape Verde,Midfielder,27/08/1981
HilÃ¡rio,Portugal,Goalkeeper,21/10/1975
HorÃ¡cio,Portugal,Forward,02/12/1947
Jun Hu,China,Midfielder,24/01/1985
Hugo Basto,Portugal,Defender,14/05/1993
Hugo Costa,Portugal,Defender,20/02/1990
Hugo Gomes,Brazil,Defender,04/01/1995
Hugo Lopes,Portugal,Defender,23/01/1990
Ibraima,Guinea-Bissau,Midfielder,30/11/1987
Jaime Poulson,Portugal,Forward,22/06/1989
Jarbas Dantas,Brazil,Forward,14/06/1951
Jean Felipe,Brazil,Defender,18/05/1994
Jeferson Santos,Brazil,Defender,28/05/1992
Jefferson,Brazil,Midfielder,22/11/1970
Jefferson,Brazil,Goalkeeper,05/04/1990
Jesus,Portugal,Goalkeeper,11/02/1955
Jairo JimÃ©nez,Panama,Defender,07/01/1993
JÃ³,Portugal,Midfielder,26/03/1963
JoÃ£o,Portugal,Midfielder,17/12/1949
JoÃ£o Alves,Portugal,Midfielder,05/12/1952
JoÃ£o Amorim,Portugal,Midfielder,11/02/1992
JoÃ£o Carneiro,Portugal,Defender,21/02/1987
JoÃ£o Faria,Portugal,Defender,12/07/1990
JoÃ£o Fonseca,Portugal,Goalkeeper,19/02/1948
JoÃ£o Paulo,Portugal,Forward,04/08/1980
JoÃ£o Paulo,Portugal,Defender,23/06/1988
JoÃ£o Pedro Souza,Brazil,Midfielder,20/08/1999
JoÃ£o Sousa,Portugal,Defender,25/10/1998
Joaquim Soares,Portugal,Midfielder,20/03/1961
Joca,Portugal,Midfielder,24/03/1998
Jocivalter,Brazil,Midfielder,05/06/1979
Jorge LuÃ­z,Brazil,Defender,11/02/1976
Jorge Ribeiro,Portugal,Defender,09/11/1981
Jorginho,Portugal,Forward,01/11/1970
JosÃ© Augusto,Portugal,Defender,31/01/1966
JosÃ© Domingos,Portugal,Forward,31/10/1954
JosÃ© Maria,Portugal,Midfielder,18/04/1957
JosÃ© Postiga,Portugal,Forward,03/05/1996
Juanico,Portugal,Midfielder,05/12/1958
JÃºlio,Portugal,Forward,26/03/1953
JÃºlio Alves,Brazil,Forward,03/11/1994
JÃºlio SÃ©rgio,Portugal,Midfielder,14/08/1965
Justiniano,Portugal,Defender,04/07/1965
Kadu,Angola,Goalkeeper,30/11/1994
KakÃ¡,Brazil,Defender,16/05/1981
Laelson,Brazil,Forward,29/10/1975
Ismael Lekbab,Portugal,Goalkeeper,08/05/1999
Lelo,Brazil,Forward,18/03/1982
Lemos,Portugal,Defender,07/10/1971
Leonardo Dreyer,Brazil,Midfielder,23/04/1997
Leonel,Portugal,Defender,08/11/1968
Leonel OlÃ­mpio,Brazil,Midfielder,07/07/1982
Leopoldo,Portugal,Defender,19/11/1948
Lima,Brazil,Midfielder,21/02/1975
Lima Pereira,Portugal,Defender,29/08/1961
Lima Pereira,Portugal,Defender,01/02/1952
Lima Pereira,Portugal,Defender,03/06/1994
Lino,Guinea-Bissau,Defender,21/11/1976
Lito,Portugal,Midfielder,02/12/1963
Litos,Portugal,Goalkeeper,11/01/1974
LourenÃ§o,Portugal,Midfielder,09/01/1964
Luca,Portugal,Midfielder,23/02/1988
Lucas Lima,Brazil,Defender,29/03/1995
Lucho,Portugal,Midfielder,03/06/1993
LÃºcio,Portugal,Goalkeeper,01/09/1954
Lufemba,Angola,Midfielder,30/05/1961
LuÃ­s Alberto,Brazil,Midfielder,17/11/1983
Luis Carlos,Brazil,Midfielder,29/08/1968
Luis Pedro,Portugal,Midfielder,23/06/1989
LuizÃ£o,Brazil,Defender,20/03/1971
Lukman,Nigeria,Forward,13/03/1994
Levi Lumeka,England,Forward,05/09/1998
MailÃ³,Cape Verde,Forward,10/01/1992
Malafaia,Portugal,Midfielder,11/08/1981
Cephas Malele,Angola,Forward,08/01/1994
Maluka,Angola,Forward,06/08/1956
Manuel Duarte,Portugal,Forward,29/05/1945
Manuel JosÃ©,Portugal,Midfielder,09/04/1946
Marafona,Portugal,Goalkeeper,28/05/1987
MarcÃ£o,Brazil,Forward,16/03/1969
MÃ¡rcio Ramos,Portugal,Goalkeeper,15/10/1980
Marco AurÃ©lio,Portugal,Midfielder,20/01/1950
Marco ClÃ¡udio,Portugal,Midfielder,05/05/1979
Marco Freitas,Portugal,Midfielder,19/12/1976
Marco Matias,Portugal,Forward,10/05/1989
Marcos Severo,Brazil,Forward,13/03/1965
Margarido,Portugal,Defender,24/12/1969
Mariano,Portugal,Midfielder,21/11/1975
MÃ¡rio,Portugal,Midfielder,28/03/1991
MÃ¡rio SÃ©rgio,Portugal,Defender,28/07/1981
MÃ¡rtin Becker,Brazil,Goalkeeper,15/10/1997
Martins,Portugal,Defender,16/08/1970
Matheus Cambuci,Brazil,Defender,26/01/1996
Matos,Portugal,Goalkeeper,15/02/1979
Maycon CanÃ¡rio,Brazil,Midfielder,28/07/1994
Medeiros,Portugal,Defender,14/04/1977
Mendes,Portugal,Midfielder,22/03/1988
MendonÃ§a,Angola,Forward,09/10/1982
Miguel,Portugal,Goalkeeper,17/03/1974
Miguel Bruno,Portugal,Forward,08/12/1971
Miguel SerÃ´dio,Portugal,Defender,21/02/1992
Milhazes,Portugal,Defender,17/03/1981
Minhoca,Portugal,Midfielder,29/04/1988
Miran,Brazil,Forward,10/10/1975
Miranda,Portugal,Midfielder,09/07/1965
MoisÃ©s,Venezuela,Midfielder,13/09/1977
Manuel Monteiro,Portugal,Midfielder,11/10/1967
Moreira,Portugal,Forward,22/04/1988
Morgado,Portugal,Defender,31/12/1969
Luis Morgillo,Venezuela,Defender,15/06/1993
Murdock,Portugal,Defender,19/02/1977
MurraÃ§as,Portugal,Defender,29/11/1946
Amimu Nahimana,Burundi,Forward,01/01/1996
Christophe Nduwarugira,Burundi,Midfielder,22/06/1994
Nelsinho,Portugal,Midfielder,28/07/1979
Nelson Agra,Portugal,Midfielder,06/01/1991
NÃ©lson Fernandes,Portugal,Forward,03/08/1946
Neto,Portugal,Defender,26/05/1988
Nivaldo,Brazil,Forward,21/03/1960
Nuno Gomes,Portugal,Defender,27/09/1978
Nuno Rocha,Portugal,Midfielder,03/01/1977
Nuno Santos,Portugal,Forward,19/06/1980
George Ofosu,Ghana,Forward,05/01/1994
Pablo,Brazil,Midfielder,26/04/1997
Paquito,Portugal,Midfielder,11/09/1960
Keaton Parks,USA,Midfielder,06/08/1997
Paulo Cunha,Portugal,Goalkeeper,19/02/1986
Paulo Ferreira,Portugal,Forward,14/09/1973
Paulo Filipe,Portugal,Defender,15/04/1972
Paulo Henrique,Brazil,Midfielder,02/02/1988
Paulo Oliveira,Portugal,Forward,03/08/1970
Paulo Piedade,Portugal,Midfielder,09/10/1969
Paulo Pires,Portugal,Defender,13/10/1964
Paulo Ricardo,Portugal,Forward,09/05/1960
Paulo Santos,Portugal,Goalkeeper,11/12/1972
Paulo SÃ©rgio,Brazil,Defender,02/04/1969
Paulo Vida,Portugal,Forward,09/12/1971
Paulo VÃ­tor,Brazil,Goalkeeper,21/11/1988
Marko Pavlovski,Serbia,Midfielder,07/02/1994
Stephen Payne,Nigeria,Forward,16/06/1997
Pedrinho,Portugal,Defender,06/03/1985
Pedro Ferreira,Portugal,Midfielder,05/01/1998
Pedro Mendes,Portugal,Midfielder,16/04/1990
Pedro Miranda,Portugal,Defender,09/02/2001
Pedro Renato,Brazil,Forward,15/08/1973
Pedro SÃ¡,Portugal,Midfielder,01/12/1993
Pedro Santos,Portugal,Defender,09/07/1983
Pedro Soares,Portugal,Goalkeeper,03/11/1987
PÃªpa,Portugal,Forward,14/12/1980
Pica,Portugal,Defender,28/04/1986
Pica,Portugal,Defender,08/09/1986
Olivier Pickeu,France,Forward,24/02/1970
Pintassilgo,Portugal,Midfielder,30/06/1985
Marcelo Pontiroli,Argentina,Goalkeeper,22/01/1972
Praia,Portugal,Forward,01/09/1947
Dimitriy Prokopenko,Russia,Midfielder,24/05/1972
Quim Berto,Portugal,Defender,09/10/1971
Quim Machado,Portugal,Defender,10/10/1966
Quim Nunes,Brazil,Defender,28/06/1960
Quinito,Portugal,Midfielder,08/09/1961
Rafa,Portugal,Forward,28/07/1991
Rafael Broetto,Brazil,Goalkeeper,18/08/1990
Ramadas,Portugal,Goalkeeper,08/08/1957
Ramos,Portugal,Forward,15/04/1978
RaÃºl,Portugal,Defender,03/02/1987
Reinaldo,Portugal,Forward,02/11/1954
Reis,Portugal,Goalkeeper,05/01/1960
Renatinho,Brazil,Forward,14/05/1987
Ribeiro,Portugal,Defender,18/04/1975
Ricardo Barros,Portugal,Forward,27/04/1990
Ricardo Formosinho,Portugal,Midfielder,09/09/1956
Ricardo Nascimento,Portugal,Midfielder,19/04/1974
Ricardo Neves,Portugal,Goalkeeper,07/01/1989
Ricardo Nunes,Portugal,Goalkeeper,06/07/1982
Ricardo Silva,Portugal,Goalkeeper,12/05/1980
Rico,Angola,Midfielder,09/05/1940
Roberto,Brazil,Forward,29/07/1978
Roberto Flores,Portugal,Defender,30/10/1995
Rodolfo,Portugal,Midfielder,06/11/1976
Rodolfo Coutinho,Portugal,Defender,20/12/1964
Rodrigo,Portugal,Midfielder,12/08/1953
Rodrigo Dantas,Brazil,Midfielder,20/10/1989
GÃ©rard Roland,France,Defender,05/04/1981
Romarinho,Brazil,Forward,27/10/1992
Romeu Rocha,Portugal,Midfielder,17/02/1986
Ronan,Brazil,Forward,22/04/1995
Ruan Teles,Brazil,Forward,23/10/1997
RÃºben,Portugal,Midfielder,25/03/1955
