Name,Country,Position,Born
Kelland Absolom,Wales,Goalkeeper,05/01/1998
David Accam,Ghana,Forward,28/09/1990
Viktor AgeskÃ¤r,Sweden,Forward,17/04/1993
Ammar Ahmed,Sweden,Midfielder,03/07/1988
Hosam Aiesh,Sweden,Forward,14/04/1995
Rewan Amin,Iraq,Midfielder,08/01/1996
Andreas Andersson,Sweden,Goalkeeper,27/02/1991
Daniel Andersson,Sweden,Midfielder,07/09/1991
Frank Arhin,Ghana,Midfielder,16/02/1999
Walid Atta,Ethiopia,Defender,28/08/1986
Petter Augustsson,Sweden,Goalkeeper,24/06/1980
Sinan Ayranci,Sweden,Forward,09/07/1990
Jonathan Azulay,Sweden,Defender,05/05/1993
Fouad Bachirou,Comoros,Midfielder,15/04/1990
Kujtim Bala,Sweden,Midfielder,24/05/1990
James Baldwin,England,Defender,14/05/1989
Matthew Barnes-Homer,England,Midfielder,25/01/1986
Craig Barr,Scotland,Defender,29/03/1987
Modou Barrow,Gambia,Forward,13/10/1992
Henrik Bellman,Sweden,Midfielder,24/03/1999
Doug Bergqvist,Sweden,Defender,29/03/1993
Johan Bertilsson,Sweden,Midfielder,15/02/1988
Ante BjÃ¶rkebaum,Sweden,Forward,14/04/1988
Tim BjÃ¶rkstrÃ¶m,Sweden,Defender,08/01/1991
Haraldur BjÃ¶rnsson,Iceland,Goalkeeper,11/01/1989
Jamal Blackman,England,Goalkeeper,27/10/1993
Thomas Boakye,Ghana,Midfielder,11/03/1993
Darijan BojaniÄ,Sweden,Midfielder,28/12/1994
Chad Bond,Wales,Forward,20/04/1987
James Burgin,England,Defender,06/09/1989
Steve Burton,England,Defender,10/10/1982
Charlie Colkett,England,Midfielder,04/09/1996
Craig Dean,England,Forward,01/07/1976
Jonas Desai,Sweden,Midfielder,18/02/1986
Alex Dyer,Montserrat,Midfielder,11/06/1990
Curtis Edwards,England,Midfielder,12/01/1994
Kristian Ek,Sweden,Defender,18/06/1989
Hans Eskilsson,Sweden,Defender,23/01/1966
Jordan Flores,England,Midfielder,04/10/1995
Ludvig Fritzson,Sweden,Midfielder,25/08/1995
Christoffer Fryklund,Sweden,Defender,02/04/1988
Robin Fryklund,Sweden,Defender,01/01/1988
Alhaji Gero,Nigeria,Forward,10/10/1993
Saman Ghoddos,Iran,Forward,06/09/1993
Ryan Gilligan,England,Midfielder,18/01/1987
Aleksandrs GramoviÄs,Latvia,Midfielder,25/03/1989
Isac HÃ¤ggman,Sweden,Midfielder,09/01/2002
Joe Hamill,Scotland,Midfielder,25/02/1984
Robert Hammarstedt,Sweden,Defender,15/12/1987
Viktor Hansson,Sweden,Goalkeeper,21/05/1991
Richard Hart,Scotland,Midfielder,30/03/1978
Eirik Haugan,Norway,Defender,27/08/1997
Emil Hedvall,Sweden,Goalkeeper,09/06/1983
Jamie Hopcutt,England,Midfielder,23/06/1992
Felix HÃ¶rberg,Sweden,Midfielder,19/05/1999
Stefan Ilic,Sweden,Midfielder,24/12/1991
Thomas Isherwood,Sweden,Defender,28/01/1998
Dino IslamoviÄ,Sweden,Forward,17/01/1994
Francis Jno-Baptiste,England,Forward,08/11/1999
Piotr Johansson,Sweden,Midfielder,28/02/1995
Kjell JÃ¶nsson,Sweden,Goalkeeper,08/01/1979
Tobi Joseph,England,Forward,04/12/1992
Juanjo HervÃ­as,Spain,Defender,03/06/1983
Jordan Kadiri,Nigeria,Forward,11/03/2000
Dragan KapÄeviÄ,Bosnia-Herzegovina,Forward,10/11/1985
Joakim Karlsson,Sweden,Defender,04/05/1981
Stefan Karlsson,Sweden,Defender,15/12/1988
Aly Keita,Sweden,Goalkeeper,08/12/1986
Pontus Kindberg,Sweden,Defender,
Patrick Kpozo,Ghana,Defender,15/07/1997
Simon Kroon,Sweden,Midfielder,16/06/1993
Rasmus Lindkvist,Sweden,Midfielder,16/05/1990
Ãder LÃ³pez,Mexico,Midfielder,07/01/1993
Jonathan LundbÃ¤ck,Sweden,Forward,29/10/1994
Sebastian LundbÃ¤ck,Sweden,Midfielder,27/05/1996
Per Magnusson,Sweden,Defender,17/08/1983
Lee Makel,England,Midfielder,11/01/1973
Tobias Malm,Sweden,Defender,21/01/1992
Alexis Mendiola,Mexico,Midfielder,08/10/1990
Samuel Mensah,Ghana,Defender,19/05/1989
Samuel Laryeal Mensah,Ghana,Defender,19/05/1989
Andrew Mills,England,Goalkeeper,15/07/1994
Sixten Mohlin,Sweden,Goalkeeper,17/01/1996
Seon-min Moon,South Korea,Midfielder,16/11/1992
Kerry Morgan,Wales,Forward,31/10/1988
Taylor Morgan,England,Forward,21/10/1990
Ravel Morrison,England,Midfielder,02/02/1993
Ronald Mukiibi,Sweden,Defender,16/09/1991
Hampus Nilsson,Sweden,Goalkeeper,17/07/1990
Felix Nordin,Sweden,Midfielder,11/04/1993
Brwa Nouri,Iraq,Midfielder,23/01/1987
Michael Omoh,Nigeria,Forward,29/08/1991
Kalpi Ouattara,Ivory Coast,Defender,29/12/1998
Sotirios Papagiannopoulos,Sweden,Defender,05/09/1990
TomÃ¡Å¡ Peciar,Slovakia,Defender,10/06/1988
Luka PeriÄ,Croatia,Defender,14/12/1987
Tom Perman,Sweden,Midfielder,04/10/1990
Nebiyou Perry,USA,Forward,02/10/1999
Tom Pettersson,Sweden,Defender,25/03/1990
Sam Phillips,Wales,Midfielder,24/02/1999
Alex Purver,England,Midfielder,01/12/1995
Connor Ripley,England,Goalkeeper,13/02/1993
Lee Robinson,England,Goalkeeper,02/07/1986
Filip RogiÄ,Sweden,Midfielder,14/06/1993
Monday Samuel,Nigeria,Midfielder,12/11/1993
Jerell Sellars,England,Midfielder,28/04/1995
Ken Sema,Sweden,Midfielder,30/09/1993
Isaac Shaze,Ghana,Midfielder,25/06/1989
Paul Sheerin,Scotland,Midfielder,28/08/1974
Andrzej Sikorski,Poland,Defender,13/02/1957
Witold Sikorski,Poland,Forward,10/02/1958
James Sinclair,England,Defender,22/10/1987
Linus SjÃ¶berg,Sweden,Midfielder,18/03/1994
Emir SmajiÄ,Sweden,Forward,03/02/1989
Daryl Smylie,England,Midfielder,10/09/1985
Bobo Sollander,Sweden,Midfielder,26/06/1985
Gabriel Somi,Syria,Defender,24/08/1991
Noah Sonko Sundberg,Sweden,Defender,06/06/1996
Isak Ssewankambo,Sweden,Defender,27/02/1996
Andrew Stadler,USA,Midfielder,01/05/1988
Smajl SuljeviÄ,Sweden,Midfielder,15/07/1994
Grace Tanda,Sweden,Forward,30/11/1993
Tesfaldet Tekie,Sweden,Midfielder,04/06/1997
Teto,Spain,Forward,28/02/1983
Michael Tidser,Scotland,Midfielder,15/01/1990
Marcus TÃ¶rnstrand,Sweden,Defender,10/01/1990
Blair Turgott,England,Forward,22/05/1994
Brian Wake,Scotland,Forward,13/08/1982
Jason Walker,England,Midfielder,21/02/1984
Marco Weymans,Belgium,Midfielder,09/07/1997
Dennis Widgren,Sweden,Defender,28/03/1994
Robin Wikberg,Sweden,Defender,03/07/2002
Gustav Wikstrand,Sweden,Defender,
