Name,Country,Position,Born
Tashan Adeyinka,England,Forward,27/08/1991
Dennis Bilanovic,Sweden,Defender,27/10/1996
Vilson CakoviÄ,Serbia,Goalkeeper,22/02/1991
Lukas Eek,Sweden,Defender,09/03/1998
Johannes Ehn,Sweden,Forward,20/05/1998
Kalle Ekman,Sweden,Midfielder,12/04/1998
Adam FÃ¤gerhag,Sweden,Midfielder,02/04/1998
Oscar Fritson,Sweden,Defender,08/03/1996
Staivar Ishak,Sweden,Midfielder,19/06/1997
Pontus Laine Jansson,Sweden,Goalkeeper,12/12/1998
Midhad Jukovic,Sweden,Midfielder,28/03/1997
Simon KlÃ¤nge,Sweden,Defender,12/01/1993
Petrus Kocadag,Sweden,Midfielder,29/06/1996
Kirill Laptev,Russia,Forward,10/11/1993
Sebastian Lindell,Sweden,Defender,12/07/1998
Adam LindstrÃ¶m Leister,Sweden,Defender,21/05/1997
Daniel Ljung,Sweden,Midfielder,29/11/1998
Yves Nkuru,Sweden,Forward,05/05/1995
Pedram Pourjanekikhani,Sweden,Defender,03/06/1992
Noah Leon Shamoun,Sweden,Midfielder,08/12/2002
Malcolm Shaw,Sweden,Forward,1995
Markus TegebÃ¤ck,Sweden,Forward,28/03/1997
Dijan VukojeviÄ,Sweden,Midfielder,12/09/1995
Erik Watson,Sweden,Forward,21/03/1998
