Name,Country,Position,Born
Paul Aabling,Denmark,Midfielder,06/01/1950
Mikkel Adamsen,Denmark,Defender,02/04/1995
Emmanuel Ake,Kenya,Forward,11/06/1980
Hans Andersen,Denmark,Defender,18/11/1952
Ferdinand Bangsgaard,Denmark,Midfielder,17/07/1993
Hassan Bashir,Pakistan,Forward,07/01/1987
TorbjÃ¸rn Billeskov,Denmark,Forward,09/03/1995
Per Christiansen,Denmark,Defender,23/08/1949
Niklas Dannevang,Denmark,Goalkeeper,11/09/1990
Kim Drejs,Denmark,Goalkeeper,15/08/1980
JÃ³hannes EÃ°valdsson,Iceland,Defender,03/09/1950
Simon Engberg,Denmark,Forward,16/07/1999
Gilberto Macena,Brazil,Forward,01/04/1984
Ib Gregers Hansen,Denmark,Midfielder,13/11/1958
Morten Hamm,Denmark,Defender,04/08/1974
Allan Hansen,Denmark,Defender,01/05/1952
Erling Hansen,Denmark,Midfielder,03/08/1949
Torben Hansen,Denmark,Forward,27/10/1951
Atli ÃÃ³r HÃ©Ã°insson,Iceland,Forward,23/09/1953
Andreas Holm,Denmark,Defender,07/12/1988
Erik Jensen,Denmark,Goalkeeper,13/04/1947
Finn Jensen,Denmark,Defender,15/11/1952
Thomas Jensen,Denmark,Midfielder,07/04/1994
Bjarne Johansen,Denmark,Midfielder,02/05/1952
Jens Johansen,Denmark,Midfielder,02/01/1952
JÃ¸rgen JÃ¸rgensen,Denmark,Forward,01/04/1943
Kurt JÃ¸rgensen,Denmark,Forward,01/10/1959
Clement Kafwafwa,Malawi,Defender,11/10/1976
Palle Krath,Denmark,Midfielder,14/01/1947
Benno Larsen,Denmark,Goalkeeper,30/09/1949
SÃ¸ren Lindsted,Denmark,Forward,02/02/1957
John Madsen,Denmark,Midfielder,15/11/1945
Frederik Mehder,Denmark,Goalkeeper,20/11/1994
Kaan Metin,Denmark,Forward,10/06/1975
Flemming Mortensen,Denmark,Defender,07/07/1944
Steen MÃ¸ller,Denmark,Defender,09/08/1965
Anders Nielsen,Denmark,Midfielder,23/11/1972
Benny Nielsen,Denmark,Defender,31/01/1953
Morten Nielsen,Denmark,Defender,14/04/1971
Torben Nielsen,Denmark,Defender,08/05/1948
Kristian Paris,Denmark,Defender,
Leif Pedersen,Denmark,Midfielder,06/01/1948
Claus Petersen,Denmark,Midfielder,30/05/1942
Christian Poulsen,Denmark,Midfielder,28/02/1980
Hans Poulsen,Denmark,Defender,26/07/1952
Peter Rasmussen,Denmark,Midfielder,31/07/1953
Per RÃ¸nnebÃ¦k,Denmark,Forward,26/01/1949
StefÃ¡n Ãrn SigurÃ°sson,Iceland,Defender,20/02/1954
Lasse SÃ¸mmergaard,Denmark,Goalkeeper,08/06/1987
Peer Svenningsen,Denmark,Forward,19/07/1947
Frederik Tingager,Denmark,Defender,22/02/1993
Per Tofte-Hansen,Denmark,Midfielder,11/11/1954
Henrik Tune-Hansen,Denmark,Defender,12/12/1955
Niels Tune-Hansen,Denmark,Defender,19/01/1953
Simon Ustrup,Denmark,Defender,27/08/1996
