Name,Country,Position,Born
Mustapha Afgour,Morocco,Midfielder,29/09/1973
Alen Alomerovic,Bosnia-Herzegovina,Midfielder,21/03/1988
Arthur Abreu,Portugal,Midfielder,11/08/1994
Arthuro,Brazil,Forward,27/08/1982
Simon Banza,France,Forward,13/08/1996
Cosimo Barnabo,Luxembourg,Forward,18/12/1971
Adbdellah Benchamma,Algeria,Forward,05/09/1969
Rachid Benmerieme,,,
Claudio Beretta,Luxembourg,Midfielder,19/10/1993
Mustapha Berrih,Luxembourg,Midfielder,14/09/1975
Alija BeÅ¡iÄ,Luxembourg,Goalkeeper,30/03/1975
Filip Bojic,Croatia,Midfielder,05/10/1992
Diego Bortolozzo,Italy,Midfielder,19/09/1982
Mourad Boukellal,Luxembourg,Midfielder,17/01/1976
Kevin Brosius,Luxembourg,Defender,11/01/1992
Soriba Camara,Guinea,Forward,05/02/1974
David Cangini,France,Midfielder,30/10/1974
Laurent CarÃ¨me,France,Forward,01/06/1970
Carlo Antunes,Portugal,Midfielder,12/10/1982
Vincent Carloni,France,Forward,21/11/1981
Rui Carvalho,Luxembourg,Forward,09/10/1987
Mariuz Cilwyk,Belgium,Defender,16/11/1981
Nedim Cirikovic,Bosnia-Herzegovina,Forward,13/06/1988
Isaac CissÃ©,Ivory Coast,Forward,03/02/1994
Christophe Cum,Luxembourg,Goalkeeper,10/09/1986
StÃ©phane De Oliveira,Luxembourg,Defender,14/10/1997
Tunn Defay,Luxembourg,Midfielder,17/06/1986
Benjamin Delprat,France,Forward,13/04/1989
Ousmane Derra,Burkina Faso,Midfielder,07/11/1978
Ousmane Derra,Burkina Faso,Midfielder,13/05/1993
Jasmin Dervesivic,Serbia,Midfielder,
Aldi Dervisevic,Luxembourg,Midfielder,19/08/1989
Jasmin Dervisevic,Montenegro,Midfielder,01/07/1969
El Hadji Dione,Senegal,Defender,25/03/1973
Papa Dione,Senegal,Defender,08/03/1986
Douglas Peinado,Brazil,Defender,06/06/1973
Laurent Dutheil,France,Forward,04/11/1978
Ericson,Portugal,Midfielder,04/01/1985
Eriton Sousa,Brazil,Midfielder,21/11/1983
Philippe Felgen,Luxembourg,Goalkeeper,08/10/1975
HervÃ© Feller,Luxembourg,Goalkeeper,01/09/1989
Rudy Fink,France,Defender,01/09/1994
Mimo Fiorentino,Luxembourg,Forward,21/11/1981
Christophe Gasparotto,France,Goalkeeper,21/11/1976
Nico Gilbertz,Luxembourg,Goalkeeper,01/11/1965
Kenan HandÅ¾iÄ,Bosnia-Herzegovina,Midfielder,23/01/1991
Tun Held,Luxembourg,Defender,11/01/2001
Jasmin Hodzic,,Defender,28/06/1988
FranÃ§ois Hostert,Luxembourg,Forward,11/11/1945
Steve Ihry,Luxembourg,Defender,18/09/1984
Serge Jentgen,Luxembourg,Midfielder,28/01/1962
Carlo Jungbluth,Luxembourg,Defender,15/10/1958
Dejan Kefert,Slovakia,Forward,01/05/1974
Keiven,Portugal,Forward,26/08/1986
Arnold Kieffer,Luxembourg,Defender,30/09/1910
Jens Kirchen,Germany,Forward,13/02/1989
Bob Kirsch,Luxembourg,Goalkeeper,18/02/1987
Arthur Kruser,Germany,Defender,12/03/1989
Khalid Lahyani,Germany,Midfielder,24/02/1993
Sanel Latic,Belgium,Midfielder,03/09/1982
Tim Lehnen,Luxembourg,Defender,17/06/1986
Marcel Linn,Germany,Forward,10/03/1993
Lucas Lima,Brazil,Defender,29/03/1995
Zarko Lukic,Luxembourg,Forward,22/05/1983
Virgil Magri,Luxembourg,Midfielder,
