Name,Country,Position,Born
Simon Adoue,France,Forward,04/05/1981
Christophe Ajas,France,Forward,23/05/1972
FrÃ©dÃ©ric Alcaraz,France,Defender,19/07/1963
Veljko AleksiÄ,Serbia,Forward,19/09/1941
William Alexandre,France,Forward,03/08/1973
Mourad Alouache,France,Forward,17/12/1992
Jean-Jacques Amorfini,France,Midfielder,02/12/1954
Augustin Andriamiharinosy,Madagascar,Forward,04/03/1947
Claude Andrien,France,Defender,24/03/1944
Souleymane Anne,France,Forward,05/12/1997
Henri Ansaldo,France,Defender,26/03/1952
Jacob Ba,Senegal,Midfielder,20/01/1984
Prudent Bacquet,France,Defender,19/11/1940
Patrick Baldassara,France,Defender,25/07/1952
Francis Baly,France,Defender,08/04/1952
Benjamin Barcq,France,Midfielder,15/08/1997
Ãngel Bargas,Argentina,Defender,29/10/1946
Serge Barrientos,France,Forward,11/04/1949
AndrÃ© BarthÃ©lÃ©my,France,Forward,04/12/1953
Nicolas BastÃ¨re,France,Forward,19/09/1969
Antoine Beaudou,France,Forward,14/09/1999
Gilles BeliÃ©res,France,Forward,27/08/1964
Mohamed Benabdellah,France,Midfielder,03/03/1984
Alain Bernard,France,Midfielder,25/09/1953
Dimitri Bernard,France,Defender,20/07/1973
Dominique Berthaud,France,Defender,02/12/1952
Francis Blanc,France,Midfielder,08/04/1941
Robert Blanc,France,Forward,08/05/1944
AurÃ©lien Boche,France,Defender,16/09/1981
Philippe Bonnet,France,Midfielder,04/02/1971
Goran BoÅ¡kovic,Serbia,Forward,13/07/1966
JÃ©rÃ´me Bottelin,France,Forward,03/05/1978
Nabil Bouaka,France,Defender,21/02/1984
JosuÃ© Boukoko,Central Afr. Republic,Forward,29/10/1973
Karim Boukraa,France,Forward,07/03/1973
Laurent Bourmaud,France,Midfielder,31/05/1975
MickaÃ«l Brisset,France,Forward,26/03/1985
Mehdi Bruimaud,France,Forward,
Hugues Buffat,France,Defender,09/06/1950
Raphael Camacho,France,Midfielder,29/01/1975
Jean-Michel CapouÃ©,France,Midfielder,18/09/1972
Christian-Jacques Castellan,France,Forward,17/10/1945
GÃ©rard Chaffard,France,Defender,12/10/1946
Maurice Charpentier,France,Forward,02/01/1937
Julien Chaumet,France,Goalkeeper,28/12/1990
Crislain Chauray,France,Goalkeeper,29/05/1972
SebastiÃ©n Chauvel,France,Midfielder,22/11/1972
Anthony Chauvet,France,Defender,18/02/1993
Jean-Claude Chemier,France,Goalkeeper,26/06/1954
Romuald Chojnacki,Poland,Midfielder,06/02/1950
Lassana CissÃ©,France,Defender,
Souleymane CissÃ©,Ivory Coast,Defender,10/08/1977
FrÃ©dÃ©rik ClÃ©ment,France,Midfielder,18/02/1978
Yves Colleu,France,Defender,29/01/1961
GwenaÃ«l Corbin,France,Midfielder,21/08/1974
SÃ©kou CoumarÃ©,Mali,Midfielder,13/04/1993
GaÃ«l Coureuil,France,Midfielder,22/01/1974
Bruno Creignou,France,Defender,19/08/1958
Jean Cuenca,France,Forward,22/04/1986
Jordan Cuvier,France,Forward,16/04/1994
Miguel D'Agostino,Argentina,Defender,01/01/1972
Alexandre Da Cunha,France,Midfielder,09/01/1989
Moussa Dagnogo,France,Forward,30/01/1972
Adonis De Body,Ivory Coast,Midfielder,13/07/1989
Bertus de Harder,Netherlands,Forward,14/01/1920
Jean Deloffre,France,Midfielder,05/10/1939
SÃ©bastien Demouchy,France,Forward,21/08/1975
Arnaud Demuth,France,Defender,03/07/1984
Gabriel Desmenez,France,Midfielder,04/01/1954
Didier Desremeaux,France,Defender,10/12/1943
Etienne Desroches,France,Defender,27/04/1997
Gaston Diame,Mauritania,Forward,16/11/1971
Jules Diouf,France,Defender,05/03/1992
Yann Djabou,France,Defender,08/04/1992
Fabrice Do Marcolino,Gabon,Forward,14/03/1983
FrÃ©deric Dobraje,France,Goalkeeper,17/05/1955
Joseph Donnard,France,Defender,22/03/1932
ClÃ©ment Dorangeon,France,Defender,25/03/1992
FrÃ©dÃ©ric Dubo,France,Midfielder,03/11/1977
FranÃ§ois Dubourdeau,France,Goalkeeper,04/12/1980
Florian Duhai,France,Midfielder,10/08/1982
Henri Duhayot,France,Forward,25/03/1944
Henry Dumat,France,Midfielder,20/02/1947
Nicolas Durosier,France,Defender,05/07/1977
JÃ©rÃ´me Dutitre,France,Forward,10/08/1975
Frantz Edom,Guadeloupe,Forward,09/12/1939
Abdelhakim Elouaari,France,Forward,04/09/1980
Constantin Etot,Cameroon,Midfielder,09/06/1966
Gilles Fabien,French Guyana,Forward,27/09/1978
Dimitri Fillon,France,Midfielder,06/02/1985
Herve Flores,France,Forward,15/03/1956
Emmanuel Fluck,France,Midfielder,06/05/1971
Christophe Forest,France,Defender,18/03/1969
Lucas Franco,France,Forward,16/10/1991
Alban Gaborit,France,Midfielder,
