Name,Country,Position,Born
Nathan Abbey,England,Goalkeeper,11/07/1978
Tristan Abrahams,England,Forward,29/12/1998
Kenneth Achampong,England,Forward,26/06/1966
Ebou Adams,England,Midfielder,15/01/1996
Nicky Adams,Wales,Midfielder,16/10/1986
Victor Adeboyejo,Nigeria,Forward,12/01/1998
Montel Agyemang,England,Midfielder,11/01/1997
Adebayo Akinfenwa,Nigeria,Forward,10/05/1982
James Alabi,England,Forward,08/11/1994
Sam Alderson,England,Midfielder,
Gary Alexander,England,Forward,15/08/1979
Ryan Allsop,England,Goalkeeper,17/06/1992
Ben Alnwick,England,Goalkeeper,01/01/1987
Steven Alzate,Colombia,Midfielder,08/09/1998
Kwame Ampadu,Ireland,Midfielder,20/12/1970
Calvin Andrew,England,Forward,19/12/1986
Barry Andrews,England,Goalkeeper,
Jimmy Andrews,Scotland,Forward,01/02/1927
Lee Angol,England,Forward,04/08/1994
Jake Argent,England,Forward,09/12/1991
Andrew Arnott,England,Defender,18/10/1973
Luke Ashworth,England,Defender,04/12/1989
Nigel Atangana,France,Midfielder,09/09/1989
Paul Atkin,England,Defender,03/09/1969
Kevin Austin,England,Defender,12/02/1973
Samuel Ayorinde,Nigeria,Forward,20/10/1974
Adebayo Azeez,England,Forward,08/01/1994
Abdallah Bah,Guinea,Goalkeeper,30/11/1976
Eddie Baily,England,Midfielder,06/08/1925
Harry Baker,England,Midfielder,20/09/1990
Joseph Baker,England,Forward,19/04/1977
Steve Baker,England,Defender,16/06/1962
Neil Banfield,England,Defender,20/01/1962
Arthur Banner,England,Defender,28/06/1918
Andy Barcham,England,Forward,16/12/1986
Charley Barker,England,Midfielder,26/12/1998
Donny Barnard,England,Defender,01/07/1984
Lee Barnard,England,Forward,18/07/1984
Gary Barnett,England,Forward,11/03/1963
Adam Barrett,England,Defender,29/11/1979
Scott Barrett,England,Goalkeeper,02/04/1963
Chris Bart-Williams,England,Midfielder,16/06/1974
Marvin Bartley,England,Midfielder,04/07/1986
Shaun Batt,England,Forward,22/02/1987
Mathieu Baudry,France,Defender,24/02/1988
Ashley Bayes,England,Goalkeeper,19/04/1972
Billy Beall,England,Midfielder,04/12/1977
Harry Beautyman,England,Midfielder,01/04/1992
Paul Beesley,England,Defender,21/07/1965
Syam Ben Youssef,Tunisia,Defender,31/03/1989
Å½an BenediÄiÄ,Slovenia,Midfielder,03/10/1995
Chris Benjamin,England,Forward,13/10/1992
Mickey Bennett,England,Defender,27/07/1969
Peter Bennett,England,Forward,24/06/1946
Greg Berry,England,Midfielder,05/03/1971
Tony Biggs,England,Forward,17/04/1936
Jerome Binnom-Williams,England,Defender,07/03/1995
Sid Bishop,England,Defender,08/04/1934
James Blair,Scotland,Forward,06/01/1918
Jimmy Bloomfield,England,Midfielder,15/02/1934
Romuald Boco,Benin,Midfielder,08/07/1985
Ian Bogie,England,Midfielder,06/12/1967
Gordon Bolland,England,Forward,12/08/1943
Macauley Bonne,England,Forward,26/10/1995
Jordan Bowery,England,Forward,02/07/1991
Ian Bowyer,England,Midfielder,06/06/1951
Adam Boyd,England,Forward,25/05/1982
John Boyle,Scotland,Midfielder,25/12/1946
Peter Boyle,Ireland,Defender,26/04/1876
Peter Brabrook,England,Forward,08/11/1937
Terry Bradbury,England,Midfielder,15/11/1939
Matt Brazier,England,Midfielder,02/07/1976
Matthew Briggs,Guyana,Defender,09/03/1991
Dean Brill,England,Goalkeeper,02/12/1985
Shaun Brisley,England,Defender,06/05/1990
Jason Brissett,England,Midfielder,07/09/1974
Ahmet BrkoviÄ,Croatia,Midfielder,23/09/1974
Shaun Brooks,England,Midfielder,09/10/1962
James Brophy,England,Midfielder,25/07/1994
Aaron Brown,England,Defender,23/06/1983
Eddy Brown,England,Forward,28/02/1926
Jason Brown,Wales,Goalkeeper,18/05/1982
Ryan Brunt,England,Forward,26/05/1993
Billy Bryant,England,Midfielder,01/03/1899
Mickey Bullock,England,Forward,02/10/1946
Wayne Burnett,England,Midfielder,04/09/1971
Lee Butcher,England,Goalkeeper,11/10/1988
David Button,England,Goalkeeper,27/02/1989
Richard Cadette,England,Forward,21/03/1965
FrÃ©dÃ©ric Cadiou,France,Midfielder,20/04/1969
Peter Caldwell,England,Goalkeeper,05/06/1972
Tommy Caldwell,England,Forward,10/06/1885
Gary Campbell,Northern Ireland,Defender,04/04/1966
Kevin Campbell,England,Forward,04/02/1970
Jamal Campbell-Ryce,Jamaica,Midfielder,06/04/1983
Scott Canham,England,Midfielder,05/11/1974
Melvyn Capleton,England,Goalkeeper,24/10/1973
Jean-Michel CapouÃ©,France,Midfielder,18/09/1972
Jake Caprice,England,Midfielder,11/11/1992
Wayne Carlisle,Northern Ireland,Midfielder,09/09/1979
Tom Carroll,England,Midfielder,28/05/1992
Danny Carter,England,Midfielder,29/06/1969
Rob Carter,England,Midfielder,23/04/1982
Stephen Castle,England,Midfielder,17/05/1966
CauÃª Benicio,Brazil,Midfielder,06/05/1978
Andrew Cave-Brown,Scotland,Defender,05/08/1988
Mike Cestor,France,Defender,30/04/1992
Adam Chambers,England,Defender,20/11/1980
Justin Channing,England,Midfielder,19/11/1968
Danny Chapman,England,Midfielder,21/11/1974
Stan Charlton,England,Defender,28/06/1929
Adam Chicksen,Zimbabwe,Defender,27/09/1991
John Chiedozie,Nigeria,Forward,18/04/1960
Daniel Chillingworth,England,Forward,13/09/1981
Ben Chorley,England,Defender,30/09/1982
Iyseden Christie,England,Forward,14/11/1976
Simon Church,Wales,Forward,10/12/1988
Alex Cisak,Australia,Goalkeeper,19/05/1989
Ousseynou CissÃ©,Mali,Midfielder,07/04/1991
Jamie Clapham,England,Midfielder,07/12/1975
David Clark,England,Defender,19/01/1938
Michael Clark,England,Midfielder,05/09/1997
Simon Clark,England,Defender,12/03/1967
Derek Clarke,England,Forward,19/02/1950
Nathan Clarke,England,Defender,30/11/1983
Tom Clarke,England,Defender,21/12/1987
Craig Clay,England,Midfielder,05/05/1992
Sean Clohessy,England,Defender,12/12/1986
Ralph Coates,England,Forward,26/04/1946
Lee Colkin,England,Defender,15/07/1974
Jimmy Collins,England,Midfielder,14/07/1903
Michael Collins,Ireland,Midfielder,30/04/1986
Momo Coly,Senegal,Forward,05/03/1985
Alan Comfort,England,Forward,08/12/1964
Paul Connor,England,Forward,12/01/1979
Mike Conroy,Scotland,Midfielder,31/07/1957
Leon Constantine,England,Forward,24/02/1978
Lee Cook,England,Midfielder,03/08/1982
Mark Cooper,England,Forward,05/04/1967
Mark Cooper,England,Midfielder,18/12/1968
Shaun Cooper,England,Defender,05/10/1983
Patrick Corbett,England,Defender,12/02/1963
Wayne Corden,England,Midfielder,01/11/1975
David Corner,England,Defender,15/05/1966
Harry Cornick,England,Forward,06/03/1995
John Cornwell,England,Defender,13/10/1964
Josh Coulson,England,Defender,28/01/1989
Shaquile Coulthirst,England,Forward,02/11/1994
Dean Cox,England,Midfielder,12/08/1987
Tony Craig,England,Defender,20/04/1985
Edmund Crawford,England,Forward,31/10/1906
Jason Crowe,England,Defender,30/09/1978
Laurie Cunningham,England,Forward,08/03/1956
Thomas Cunningham,England,Defender,07/12/1955
Jamie Cureton,England,Forward,28/08/1975
Danny Curran,England,Midfielder,13/06/1981
Scott Cuthbert,Scotland,Defender,15/06/1987
Chris Dagnall,Northern Ireland,Forward,15/04/1986
Sam Dalby,England,Forward,07/12/1999
Charlie Daniels,England,Midfielder,07/09/1986
Reg Davies,England,Goalkeeper,10/10/1933
Aidan Davison,Northern Ireland,Goalkeeper,11/05/1968
Simon Dawkins,Jamaica,Midfielder,01/12/1987
Stephen Dawson,Ireland,Midfielder,04/12/1985
Mervyn Day,England,Goalkeeper,26/06/1955
James Dayton,England,Midfielder,12/12/1988
Norman Deeley,England,Forward,30/11/1933
Jason Demetriou,Cyprus,Defender,18/11/1987
Mark Dempsey,Ireland,Defender,10/12/1972
Louis Dennis,England,Forward,09/10/1992
Ryan Dickson,England,Defender,14/12/1986
Bill Dodgin,England,Midfielder,17/04/1909
Josh Doherty,Northern Ireland,Midfielder,15/03/1996
Joe Dolan,England,Defender,27/05/1980
Aaron Doran,Ireland,Midfielder,13/05/1991
Chris Dorrian,England,Defender,03/04/1982
Andrea Dossena,Italy,Defender,11/09/1981
Simon Downer,England,Defender,19/10/1981
Derek Duncan,England,Midfielder,23/04/1987
Dave Dunmore,England,Forward,18/02/1934
Alan Dunne,Ireland,Defender,23/08/1982
Neal Eardley,Wales,Defender,06/11/1988
Stan Earl,England,Defender,09/07/1929
Stanley Earle,England,Midfielder,06/09/1897
Craig Easton,Scotland,Midfielder,26/02/1979
Marcus Ebdon,Wales,Midfielder,17/10/1970
Efe Echanomi,Nigeria,Forward,27/09/1986
Marvin Ekpiteta,England,Defender,26/08/1995
George Elokobi,Cameroon,Defender,31/01/1986
Joe Elwood,Northern Ireland,Forward,26/10/1939
