Name,Country,Position,Born
Mohammed Ahmed,Denmark,Midfielder,
Ali al Ali,Denmark,Midfielder,
Nicklas Andersen,Denmark,Midfielder,
Kalle Bak,Denmark,Defender,
Nicklas Bucio,Denmark,Midfielder,
Andreas Busse,Denmark,Midfielder,
Lukas Christensen,Denmark,Forward,
Emil Colding,Denmark,Midfielder,17/08/2000
Louicius Don Deedson,Haiti,Forward,11/02/2001
Frederik ElkÃ¦r,Denmark,Midfielder,
Mads Frandsen,Denmark,Defender,
Jonas Grotrian,Denmark,Midfielder,
Malthe Hannesbo,Denmark,Midfielder,
Magnus Henningsen,Denmark,Goalkeeper,07/05/2001
Anders HorskjÃ¦r,Denmark,Defender,
Christian HÃ¸rby,Denmark,Defender,18/03/2001
Christian Jensen,Denmark,Goalkeeper,
Frederik Jensen,Denmark,Midfielder,
Thomas Junge,Denmark,Midfielder,
Marcus Kalala,Denmark,Forward,
Bleron Kolici,Denmark,Forward,05/10/2000
Bleron Koliqi,Denmark,Midfielder,
Miclas Larsen,Denmark,Midfielder,
Jonathan Lund Poulsen,Denmark,Midfielder,
Victor Lynggaard,Denmark,Forward,
Lasse Majgren,Denmark,Midfielder,
Hassan Mohamad,Denmark,Midfielder,
Aske Mortensen,Denmark,Midfielder,
Magnus Olsson,Denmark,Defender,
Rico Ãstergaard,Denmark,Forward,
Malte Serup,Denmark,Forward,
Nikolaj SÃ¸rensen,Denmark,Midfielder,
Mathias Svendsen,Denmark,Defender,
Leorant Thaqi,Denmark,Midfielder,
Jasper Ugwoke,Denmark,Defender,
Anton Wittrup,Denmark,Midfielder,
