Name,Country,Position,Born
Axel Abad,Argentina,Midfielder,11/07/1997
Patricio Abraham,Argentina,Goalkeeper,19/03/1982
AdriÃ¡n Acevedo,Argentina,Midfielder,21/11/1993
Christian Alba,Uruguay,Forward,17/04/1992
Alejandro Alcayaga,Argentina,Goalkeeper,14/06/1993
Genaro Alessio,Argentina,Midfielder,21/06/1995
Alves,Brazil,Forward,15/01/1983
Gonzalo AÃ±azgo,Argentina,Midfielder,08/03/1997
SebastiÃ¡n Anchoverri,Argentina,Goalkeeper,26/04/1991
Eric Aparicio,Argentina,Forward,25/01/1990
Federico Apaza,Argentina,Midfielder,12/12/1982
Carlos Arce,Argentina,Defender,04/02/1985
Lucas Arce,Argentina,Defender,14/08/1997
Luis Ardente,Argentina,Goalkeeper,17/09/1981
MatÃ­as Arrieta,Argentina,Midfielder,16/02/1999
Ezequiel Arriola,Argentina,Midfielder,07/09/1982
Facundo Ãvalos,Argentina,Forward,26/04/1985
Guillermo Ayala,Argentina,Forward,22/09/1983
Maximiliano Badell,Argentina,Forward,29/08/1988
Jonathan Baldo,Argentina,Midfielder,17/10/1984
Ignacio Barcia,Argentina,Defender,15/06/1989
Lucas Benaducci,Argentina,Midfielder,03/12/1991
Jonatan Benedetti,Argentina,Forward,26/03/1997
Braian BenÃ­tez,Argentina,Midfielder,29/04/1998
Gaston Beraldi,Argentina,Defender,09/07/1982
Juan BerdÃºn,Argentina,Midfielder,24/04/1987
Diego Bielkiewicz,Argentina,Forward,04/01/1991
Federico Bonassies,Argentina,Defender,13/04/1988
Emiliano Bonfigli,Argentina,Forward,15/04/1988
Miguel BordÃ³n,Argentina,Defender,27/10/1952
Osvaldo Brondo,Argentina,Forward,18/05/1972
HÃ©ctor Buzzi,Argentina,Midfielder,23/01/1987
Julio CÃ©sar Caldiero,Argentina,Midfielder,03/03/1976
Rodrigo Callegari,Argentina,Defender,16/03/1997
Jonathan Caprarullo,Argentina,Midfielder,22/04/1991
CÃ©sar Carranza,Argentina,Midfielder,16/08/1980
Ezequiel Carranza,Argentina,Defender,13/03/1977
Guillermo Carrizo,Argentina,Forward,29/01/1987
Lucas Carrizo,Argentina,Defender,20/05/1997
DamiÃ¡n Castellanos,Argentina,Midfielder,12/08/1976
AgustÃ­n Castiglione,Argentina,Defender,13/11/1985
FabiÃ¡n Castillo,Argentina,Forward,05/03/1988
Emiliano CerdÃ¡,Argentina,Defender,22/01/1987
Carlos Ciavarelli,Argentina,Midfielder,22/07/1980
Dante Ciglic,Argentina,Defender,05/01/1978
Mariano Ciglic,Argentina,Midfielder,15/04/1976
Luciano Cipriani,Argentina,Forward,20/02/1980
Oreste Corbatta,Argentina,Forward,11/03/1936
Marcos Cordero,Argentina,Goalkeeper,02/07/1995
AdriÃ¡n Coria,Argentina,Forward,23/05/1977
MatÃ­as Correa,Argentina,Defender,27/05/1985
Facundo Coyra,Argentina,Midfielder,24/01/1984
JosÃ© D'Angelo,Argentina,Midfielder,05/04/1989
Guido Dal CasÃ³n,Argentina,Forward,04/03/1993
Jorge Daolio,Argentina,Forward,07/06/1985
Diego de la Vega,Argentina,Midfielder,01/06/1979
Carlos de Maneses,Argentina,Goalkeeper,20/11/1987
Juan De Tomasso,Argentina,Midfielder,30/06/1993
Nicolas Demalde,Argentina,Defender,02/04/1984
Nico Di Biase,Argentina,Midfielder,09/12/1988
Mariano DÃ­az,Argentina,Midfielder,07/08/1988
Michael DÃ­az,Argentina,Defender,12/03/1986
Gonzalo DÃ­az Nachar,Argentina,Forward,12/07/1985
David DistÃ©fano,Argentina,Midfielder,10/07/1987
Facundo Diz,Argentina,Forward,16/04/1979
Jonathan Dizeo,Argentina,Midfielder,30/05/1988
David Escalante,Argentina,Forward,21/05/1991
Guillermo Esteban,Argentina,Defender,23/02/1987
Leonardo EstÃ©vez,Argentina,Defender,28/11/1972
Leandro Evangelisti,Argentina,Goalkeeper,25/01/1982
Job ElÃ­as Fabio,Paraguay,Forward,05/09/1983
Lucas FarÃ­as,Argentina,Forward,02/11/1994
Marcos Fasanella,Argentina,Goalkeeper,14/10/1986
Fernando Fayart,Argentina,Defender,29/02/1980
AdriÃ¡n FernÃ¡ndez,Argentina,Midfielder,20/05/2001
JuliÃ¡n FernÃ¡ndez,Argentina,Defender,18/07/1989
Lucas FernÃ¡ndez,Argentina,Defender,04/01/1977
SebastiÃ¡n Ferreira,Argentina,Defender,04/11/1981
Juan Ferreyra,Argentina,Goalkeeper,29/02/1988
Pedro Formosa,Argentina,Goalkeeper,01/02/1996
Federico Freire,Argentina,Midfielder,06/11/1990
Pablo Frontini,Argentina,Defender,04/03/1983
Claudio Galeano,Argentina,Midfielder,26/03/1989
Gabriel Gandarillas,Argentina,Midfielder,17/08/1975
