Name,Country,Position,Born
Abela,Spain,Defender,23/05/1976
AdriÃ¡n Tellado,Spain,Midfielder,05/02/1999
Christian Aflenzer,Austria,Midfielder,31/03/1972
Aguilar,Spain,Midfielder,28/01/1970
Aitor GarcÃ­a,Spain,Forward,25/03/1994
Kabiru Akinsola,Nigeria,Forward,21/01/1991
Alberto GarcÃ­a,Spain,Midfielder,22/02/1981
Aldana,Spain,Midfielder,05/01/1966
Ãlex Bernal,Spain,Midfielder,03/03/1991
Ãlex Diez,Spain,Midfielder,17/02/1996
Alex JimÃ©nez,Spain,Defender,06/11/1994
Ãlex LÃ¡zaro,Spain,Goalkeeper,10/02/1996
Ãlex Trejo,Spain,Midfielder,
Aloisio,Spain,Defender,25/03/1979
Ãlvaro GarcÃ­a,Spain,Midfielder,08/12/1981
Ãngel FÃ©rez,Spain,Goalkeeper,20/01/1966
Ãngel Luis,Spain,Midfielder,26/02/1970
Antonio Moreno,Spain,Defender,13/02/1983
Antonio Pino,Spain,Forward,19/07/1987
Antonio Romero,Spain,Midfielder,12/10/1995
Antonio Troyano,Spain,Defender,22/03/1987
Daniel Aquino,Argentina,Forward,09/06/1965
Arenaza,Spain,Forward,11/02/1974
Nana Asare,Ghana,Midfielder,01/01/1994
Ãvila,Spain,Forward,21/03/1978
Ayoze,Spain,Defender,31/07/1991
Abdallah Bah,Guinea,Goalkeeper,30/11/1976
Balaguer,Spain,Goalkeeper,06/05/1966
Barata,Portugal,Forward,05/06/1972
Baroja,Spain,Defender,21/05/1970
Luciano Becchio,Argentina,Forward,28/12/1983
Juan Belencoso,Spain,Forward,01/09/1981
Miguel BenÃ­tez,Paraguay,Forward,19/05/1970
Leonardo Biagini,Argentina,Forward,13/04/1977
BlÃ¡zquez,Spain,Defender,25/08/1993
Roberto Bobadilla,Uruguay,Midfielder,19/07/1974
Borge,Spain,Forward,23/10/1968
Borja,Spain,Midfielder,23/04/1992
Borja Romero,Spain,Defender,23/10/1992
Boro,Spain,Forward,04/05/1991
BrÃ¡ulio,Spain,Forward,14/03/1972
Dany Cadena,Nicaragua,Forward,09/02/1987
Canabal,Spain,Forward,10/11/1974
CaÃ±izares,Spain,Goalkeeper,18/12/1969
Carlos,Spain,Forward,23/03/1972
Carlos RodrÃ­guez,Spain,Forward,17/02/1988
Carlos RubÃ©n,Spain,Forward,26/03/1983
CastaÃ±o,Spain,Midfielder,23/01/1993
Casto,Spain,Goalkeeper,18/06/1982
CÃ©sar Brito,Portugal,Forward,21/10/1964
CÃ©sar de Loma,Spain,Midfielder,14/07/1975
CÃ©sar GarcÃ­a,Spain,Midfielder,
CÃ©sar Morgado,Spain,Defender,26/01/1993
Checa,Spain,Midfielder,26/04/1983
Chema,Spain,Defender,13/04/1970
Chema Mato,Spain,Midfielder,22/03/1984
Chico,Spain,Forward,12/09/1975
Nico Chietino,Argentina,Midfielder,17/04/1982
Chirri,Spain,Forward,06/06/1990
Chupri,Spain,Defender,06/10/1980
Chus Bravo,Spain,Defender,03/05/1979
Clavero,Spain,Defender,10/01/1977
ClÃ©ber Arado,Brazil,Forward,11/10/1972
Carlos Correa,Uruguay,Midfielder,13/01/1968
Cristo,Spain,Midfielder,15/01/1987
Cruz,Spain,Defender,10/08/1988
Cubillas,Spain,Defender,01/05/1975
Ovidiu Cuc,Romania,Forward,14/01/1973
CuÃ©llar,Spain,Forward,02/01/1970
Cuevas,Spain,Forward,30/01/1981
Curro,Spain,Midfielder,07/06/1981
Dani Espinar,Spain,Midfielder,17/04/1995
Dani FernÃ¡ndez,Spain,Defender,30/04/1997
Dani Godoy,Spain,Midfielder,
Dani PÃ©rez,Spain,Forward,04/03/2001
David Camps,Spain,Forward,25/04/1989
David FernÃ¡ndez,Spain,Forward,06/01/1972
David HernÃ¡ndez,Spain,Forward,20/11/1979
David Pirri,Spain,Midfielder,12/02/1974
Gonzalo de los Santos,Uruguay,Midfielder,19/07/1976
De Quintana,Spain,Defender,06/02/1972
Kevin Debris,France,Defender,10/05/1984
Michele Diana,Italy,Defender,22/01/1993
Diego CascÃ³n,Spain,Forward,07/06/1984
Diego GarcÃ­a,Spain,Midfielder,26/08/1993
Diego Rangel,Spain,Defender,23/03/1978
Diezma,Spain,Goalkeeper,22/09/1968
Younousse Diop,Senegal,Midfielder,19/03/1993
Dopico,Spain,Midfielder,22/05/1985
Alfonso Dulanto,Peru,Defender,22/07/1969
EchevarrÃ­a,Spain,Defender,21/05/1964
Edu,Spain,Forward,28/08/1967
Elohor Ekpolo,Nigeria,Defender,14/05/1995
Elton,Colombia,Forward,04/11/1988
Emiliano,Spain,Defender,08/05/1976
Emilio Cubo,Spain,Defender,04/01/1992
Emilio Iglesias,Spain,Midfielder,15/01/1995
Espinar,Spain,Forward,18/04/1988
FalagÃ¡n,Spain,Goalkeeper,04/10/1969
FalcÃ³n,Spain,Midfielder,24/04/1979
Felipe,Spain,Goalkeeper,10/01/1988
FernÃ¡ndez Cuesta,Spain,Defender,20/04/1969
Fernando Cuerda,Spain,Defender,06/03/1984
Fran Miranda,Spain,Midfielder,27/03/1988
Leo Franco,Argentina,Goalkeeper,20/05/1977
IvÃ¡n Gabrich,Argentina,Forward,28/08/1972
Dmitriy Galyamin,Russia,Defender,08/01/1963
Matias Garavano,Argentina,Goalkeeper,24/08/1984
GermÃ¡n,Spain,Forward,25/07/1990
Gerrit,Spain,Midfielder,10/04/1986
Golo,Spain,Midfielder,03/04/1978
Gonzalo,Spain,Forward,13/10/1983
Gonzalo,Spain,Forward,22/04/1994
Gonzalo Poley,Spain,Midfielder,01/04/1991
Granada,Spain,Midfielder,09/04/1980
Davide Grassi,Italy,Defender,13/01/1986
Miguel Guerrero,Colombia,Forward,07/09/1967
Guirado ,Spain,Defender,09/09/1981
Harillo,Spain,Goalkeeper,05/05/1997
HÃ©ctor,Spain,Defender,23/09/1999
HÃ©ctor Taranilla,Spain,Midfielder,18/09/1992
Virgilio HernÃ¡ndez,Spain,Defender,05/09/1968
Kimmo Hovi,Finland,Forward,31/05/1994
Hugo DÃ­az,Spain,Forward,09/02/1988
Hugo RodrÃ­guez,Spain,Midfielder,30/12/1989
I. Shehoah,Spain,Midfielder,18/07/1995
Illanes,Spain,Goalkeeper,22/07/1973
Iosu Villar,Spain,Midfielder,16/02/1987
Iru,Spain,Goalkeeper,29/07/1968
Israel,Spain,Midfielder,16/03/1987
IvÃ¡n Aguilar,Spain,Forward,12/06/1991
IvÃ¡n Matas,Spain,Midfielder,05/02/1992
IvÃ¡n PÃ©rez,Spain,Defender,12/04/1993
Sanel JahiÄ,Bosnia-Herzegovina,Defender,10/12/1981
Jaime Molina,Spain,Defender,15/03/1969
Jandro,Spain,Midfielder,14/09/1983
Jardel,Guinea-Bissau,Forward,20/09/1997
Javi Chino,Spain,Midfielder,22/01/1987
Javi GÃ³mez,Spain,Forward,23/07/1982
Javi HervÃ¡s,Spain,Midfielder,09/06/1989
Javi II,Spain,Forward,14/02/1966
Javi LÃ³pez,Spain,Defender,03/03/1964
Javi SÃ¡nchez,Spain,Goalkeeper,01/01/1992
Jesule,Spain,Defender,26/05/1973
JesÃºs,Spain,Defender,07/01/1994
JesÃºs Mena,Spain,Midfielder,03/05/1997
Joaqui,Spain,Midfielder,04/06/1984
Johny,Spain,Defender,20/03/1984
JokÃ­n Esparza,Spain,Forward,15/06/1988
Jorge,Spain,Goalkeeper,
Jorge RodrÃ­guez,Spain,Defender,15/08/1980
JosÃ© CortÃ©s,Spain,Defender,26/07/1969
JosÃ© Gaspar,Spain,Midfielder,12/07/1987
JosÃ© MarÃ­,Spain,Defender,01/09/1985
JosÃ© MarÃ­a,Spain,Goalkeeper,
JosÃ© MarÃ­a,Spain,Defender,14/07/1965
JosÃ© RamÃ³n,Spain,Forward,31/12/1991
Josema,Spain,Defender,31/12/1991
Juan DÃ­az,Spain,Defender,20/07/1964
Juan EsnÃ¡ider,Spain,Forward,31/01/1992
Juan JesÃºs,Spain,Midfielder,31/03/1977
Juan Marrero,Spain,Defender,24/03/1968
Juanito,Spain,Forward,08/12/1969
Juanlu Hens,Spain,Midfielder,07/02/1984
Juanma,Spain,Midfielder,20/03/1975
Juanma,Spain,Goalkeeper,27/06/1980
Juli Ferrer,Spain,Defender,27/06/1983
Julio De Dios,Spain,Midfielder,26/02/1987
Julio Prieto,Spain,Midfielder,21/11/1960
Predrag JuriÄ,Bosnia-Herzegovina,Forward,05/11/1961
Moti Kakoon,Israel,Forward,16/11/1972
Idrissa Keita,Ivory Coast,Midfielder,10/04/1977
Kike Pina,Spain,Defender,17/02/1997
Young Gyu Kim,South Korea,Midfielder,04/01/1995
Ilian Kiriakov,Bulgaria,Midfielder,04/08/1967
GrÃ©gory Laget,Spain,Midfielder,18/11/1979
Leal,Spain,Goalkeeper,23/07/1964
Leandro Sena,Brazil,Midfielder,08/06/1976
Leonardo,Brazil,Midfielder,17/01/1978
Kevin Levis,Argentina,Forward,20/08/1992
Lezaun,Spain,Forward,06/08/1979
Krsto LjubanoviÄ,Montenegro,Goalkeeper,03/08/1999
Lluis,Spain,Forward,30/06/1969
Lobato,Spain,Defender,10/11/1954
Lombardero,Spain,Midfielder,01/03/1979
Loren,Spain,Defender,16/02/1970
Lozano,Spain,Defender,23/04/1964
Luis Sierra,Spain,Defender,07/12/1965
Cristian Lupidio,Argentina,Defender,07/09/1976
Luque,Spain,Midfielder,08/03/1981
Federico Magallanes,Uruguay,Forward,22/08/1976
Magico DÃ­az,Spain,Midfielder,03/02/1968
Mandaluniz,Spain,Goalkeeper,15/01/1987
Manolo,Spain,Forward,17/01/1965
Mansilla,Spain,Defender,31/07/1981
Manu,Spain,Goalkeeper,27/09/1973
Manu Romero,Spain,Defender,18/09/1996
Manuel Ãngel,Spain,Defender,04/07/1978
Marcos,Spain,Midfielder,17/09/1968
Marcos GÃ³mez,Spain,Midfielder,20/05/1977
Mariano Hoyas,Spain,Defender,19/09/1970
MarÃ­n,Spain,Forward,21/05/1973
Mario,Spain,Defender,06/10/1992
Mario Carrizosa,Spain,Defender,19/05/1978
Mario GonzÃ¡lez,Spain,Goalkeeper,
MejÃ­as,Spain,Defender,10/04/1983
Melchor,Spain,Midfielder,16/10/1987
Mendiondo,Spain,Defender,25/06/1966
Meneses,Spain,Forward,01/05/1976
Migue MarÃ­n,Spain,Defender,19/02/1990
Migue Montes,Spain,Forward,10/10/1989
Goran MilojeviÄ,Serbia,Midfielder,06/12/1964
Molina,Spain,Defender,10/02/1974
Molina,Spain,Defender,04/04/1979
Momparlet,Spain,Defender,18/11/1966
Mongil,Spain,Defender,21/07/1992
Monreal,Spain,Defender,04/04/1969
Monteagudo,Spain,Midfielder,27/09/1974
Ãngel Morales,Argentina,Midfielder,14/06/1975
Morgado,Spain,Forward,31/05/1989
MorÃ³n,Spain,Midfielder,15/09/1959
Mosquera,Spain,Midfielder,16/06/1966
MuiÃ±o,Spain,Defender,21/05/1977
MustafÃ¡,Algeria,Midfielder,08/04/1988
Nacho,Spain,Goalkeeper,23/05/1974
Nacho Aznar,Spain,Forward,25/05/1983
Naixes,Spain,Forward,28/02/1966
Navarro,Spain,Goalkeeper,14/04/1969
Carlos Navarro Montoya,Argentina,Goalkeeper,26/02/1966
Enzo Noir,Argentina,Forward,26/07/1982
Nuno,Portugal,Goalkeeper,25/01/1974
SalomÃ³n Obama,Equatorial Guinea,Forward,04/02/2000
Orlando Quintana,Spain,Goalkeeper,25/03/1978
Ãscar Rico,Spain,Midfielder,05/12/1985
Pablo Alfaro,Spain,Defender,24/04/1969
Pablo Gil,Spain,Defender,08/10/1988
Pablo NiÃ±o,Spain,Midfielder,15/05/1978
Pacheta,Spain,Midfielder,23/03/1968
Paco,Spain,Midfielder,16/03/1967
Paco Aguza,Spain,Defender,09/11/1989
Paco Borrego,Spain,Defender,06/06/1986
Paco Candela,Spain,Midfielder,19/01/1993
Paco Puertas,Spain,Defender,07/11/1995
Palacios,Spain,Defender,07/12/1970
Paqui,Spain,Midfielder,21/04/1933
Paquito,Spain,Forward,04/01/1964
Parada,Spain,Midfielder,04/02/1965
Pardo,Spain,Defender,21/04/1988
Pascual,Spain,Midfielder,19/07/1963
Pedro BenÃ­tez,Spain,Midfielder,02/05/1979
Pedro Conde,Spain,Forward,26/07/1988
Pedro GarcÃ­a,Spain,Midfielder,16/03/1976
Pedro JosÃ©,Spain,Midfielder,19/11/1967
Peli,Spain,Midfielder,03/02/1992
Pepe MartÃ­nez,Spain,Defender,11/02/1980
PepÃ­n,Spain,Defender,20/04/1983
Perera,Spain,Forward,12/04/1980
Pinto,Spain,Defender,17/11/1967
Pirri Mori,Spain,Midfielder,10/11/1970
Nikolay Pisarev,Russia,Forward,23/11/1968
Pitarch,Spain,Forward,14/11/1963
Jerzy PodbroÅ¼ny,Poland,Forward,17/12/1966
Sergey Pogodin,Ukraine,Midfielder,29/04/1968
Pons,Spain,Midfielder,19/02/1976
Prieto,Spain,Forward,30/06/1971
Pruden,Spain,Forward,21/04/1967
Yacine Qasmi,France,Forward,03/01/1991
Quero,Spain,Forward,12/08/1972
Quique MartÃ­n,Spain,Forward,29/12/1972
Dmitri Radchenko,Russia,Forward,02/12/1970
Rafa Mella,Spain,Forward,06/11/1991
Rafa Navarro,Spain,Defender,10/04/1996
RamÃ­rez,Spain,Forward,25/06/1979
RamÃ³n,Spain,Goalkeeper,18/09/1979
RamÃ³n PerdigÃ³n,Spain,Forward,06/03/1999
RamÃ³n Pereira,Spain,Forward,12/09/1978
RaÃºl,Spain,Forward,27/07/1982
RaÃºl BernabÃ©u,Spain,Goalkeeper,12/03/1994
RaÃºl Calvo,Spain,Midfielder,20/09/1979
RaÃºl Iglesias,Spain,Goalkeeper,27/11/1974
RaÃºl Moreno,Spain,Goalkeeper,21/11/1979
Reyes,Spain,Midfielder,16/10/1964
RÃ©mi Ribault,France,Defender,06/01/1985
Ricardo,Spain,Midfielder,12/03/1965
Rigo,Spain,Defender,26/06/1985
Roa,Spain,Midfielder,22/09/1970
Roberto,Spain,Forward,04/02/1980
Roberto,Spain,Defender,15/12/1979
Roberto FernÃ¡ndez,Spain,Midfielder,01/01/2001
Roberto MartÃ­nez,Spain,Forward,21/02/1966
Rodri,Spain,Goalkeeper,08/09/1964
RomÃ¡n Golobart,Spain,Defender,21/03/1992
Ruano,Spain,Midfielder,16/07/1974
RubÃ©n Lobato,Spain,Defender,09/03/1994
Rubio,Spain,Defender,17/05/1976
Sabas,Spain,Forward,13/04/1967
Sabino,Spain,Forward,14/02/1978
Salcedo,Spain,Goalkeeper,01/10/1990
Salguero,Spain,Defender,25/01/1960
Samir,Spain,Defender,18/08/1984
Santi Amaro,Spain,Midfielder,14/06/1981
Santi Villa,Spain,Defender,05/08/1982
Sladjan Å cepovic,Serbia,Forward,05/12/1965
Sebas Gil,Spain,Goalkeeper,06/03/1992
Segovia,Spain,Midfielder,02/09/1979
Segura,Spain,Goalkeeper,01/02/1980
Selu Herrera,Spain,Defender,
Sergio Corino,Spain,Defender,10/10/1974
Sergio LÃ³pez,Spain,Goalkeeper,29/10/1985
Sinval,Brazil,Forward,06/04/1967
Sota,Spain,Defender,01/06/1987
Sotero,Spain,Defender,12/08/1972
Pedrag StankoviÄ,Serbia,Midfielder,17/09/1968
Borislav StevanoviÄ,Serbia,Forward,22/09/1975
Albert Stroni,Albania,Forward,18/11/1971
Idan Tal,Israel,Midfielder,13/09/1975
Tano Vela,Argentina,Defender,05/02/1982
Tejero,Spain,Midfielder,01/01/1969
Tete,Spain,Goalkeeper,27/02/1974
Toni,Spain,Forward,08/07/1981
Toribio,Spain,Defender,13/06/1966
