Name,Country,Position,Born
German Aceros,Colombia,Forward,30/09/1938
Humberto Acevedo,Colombia,Goalkeeper,23/05/1997
Mario Agudelo,Colombia,Midfielder,
Rafael Agudelo,Colombia,Forward,
Abel Aguilar,Colombia,Midfielder,06/01/1985
Danny Aguilar,Colombia,Defender,25/02/1986
NicolÃ¡s AlbarracÃ­n,Uruguay,Midfielder,11/06/1993
Carlos Ãlvarez,Colombia,Forward,02/12/1981
Diego Ãlvarez,Colombia,Forward,23/09/1981
Ernesto Ãlvarez,Argentina,Midfielder,01/10/1948
Jonathan Alvarez,Colombia,Midfielder,27/06/1987
Nestor Alvarez,Colombia,Forward,11/04/1980
Roberto Ãlvarez,Uruguay,Forward,
Eddier Alvear,Colombia,Midfielder,07/09/1973
CÃ©sar Amaya,Colombia,Midfielder,12/10/1990
Diego Amaya,Colombia,Defender,10/11/1985
Jorge Ambuila,Colombia,Defender,16/10/1961
Adolfo Andrade,Colombia,Midfielder,05/01/1950
Darwin Andrade,Colombia,Defender,11/02/1991
Jeison Angulo,Colombia,Defender,27/06/1996
Juan Angulo,Colombia,Defender,26/09/1988
Sergio Angulo,Colombia,Forward,14/09/1960
EstÃ©fano Arango,Colombia,Midfielder,18/01/1994
Paulo Arango,Colombia,Forward,27/08/1984
Jorge Aravena,Chile,Midfielder,22/04/1958
Danilo Arboleda,Colombia,Defender,16/05/1995
Jairo Arboleda,Colombia,Midfielder,20/09/1947
Niver Arboleda,Colombia,Forward,08/12/1967
VÃ­ctor Arboleda,Colombia,Forward,01/01/1997
Luis Arce,Colombia,Midfielder,10/09/1978
CÃ©sar Arce Valverde,Colombia,Defender,23/08/1951
VÃ­ctor AristÃ­zabal,Colombia,Forward,09/12/1971
Camilo Ariza,Colombia,Goalkeeper,16/04/1996
Jair Arrechea,Colombia,Defender,08/11/1980
JesÃºs Arrieta,Colombia,Forward,10/01/1991
AndrÃ©s Arroyo,Colombia,Midfielder,20/01/2002
MartÃ­n Asencio,Argentina,Midfielder,02/02/1982
Jimmy Asprilla,Colombia,Defender,01/06/1980
Miguel Asprilla,Colombia,Forward,21/09/1969
Nelson Asprilla,Colombia,Defender,15/04/1988
Camilo Ayala,Colombia,Midfielder,23/06/1986
Osvaldo Ayala,Argentina,Goalkeeper,05/08/1938
AndrÃ©s Balanta,Colombia,Midfielder,18/01/2000
Juan Balanta,Colombia,Forward,03/03/1997
Kevin Balanta,Colombia,Midfielder,28/04/1997
Felipe Banguero,Colombia,Defender,31/12/1988
Guillermo Barbadillo,Peru,Forward,09/01/1925
Nery Bareiro,Paraguay,Defender,03/03/1988
Hebert Barona,Colombia,Forward,
Ronald Baroni,Peru,Forward,08/04/1966
JuliÃ¡n Barragan,Colombia,Defender,20/02/1978
Junior Barrios,Colombia,Midfielder,26/07/1998
Juan Barroso,Argentina,Midfielder,09/02/1946
Eduardo Basigalup,Argentina,Goalkeeper,14/07/1956
Pablo Batalla,Argentina,Midfielder,16/01/1984
Norberto Bautista,Argentina,Defender,30/12/1940
Gerardo Bedoya,Colombia,Defender,26/11/1975
BrÃ©iner BelalcÃ¡zar,Colombia,Midfielder,22/09/1984
NicolÃ¡s Benedetti,Colombia,Midfielder,25/04/1997
Alberto BenÃ­tez,Argentina,Forward,22/01/1951
Jair BenÃ­tez,Colombia,Defender,12/01/1979
Alejandro Bernal,Colombia,Defender,03/06/1988
RaÃºl Bernao,Argentina,Midfielder,05/11/1941
Arley Betancourth,Colombia,Forward,04/03/1975
NicolÃ¡s Bianchi Arce,Argentina,Defender,28/01/1987
Gustavo BiscayzacÃº,Uruguay,Forward,05/10/1978
SebastiÃ¡n BlÃ¡zquez,Argentina,Goalkeeper,27/11/1979
Gustavo BolÃ­var,Colombia,Midfielder,16/04/1985
VÃ­ctor Bonilla,Colombia,Forward,23/01/1971
Miguel Borja,Colombia,Forward,26/01/1993
Rafael BorrÃ©,Colombia,Forward,15/09/1995
Alejandro Botero,Colombia,Goalkeeper,18/08/1980
Hector Botero,Colombia,Defender,
Daniel BriceÃ±o,Colombia,Defender,06/09/1985
HernÃ¡n Burbano,Colombia,Midfielder,05/03/1988
AndrÃ©s Burgos,Colombia,Defender,17/02/1991
Rafael Bustamante,Colombia,Midfielder,02/10/1999
DarÃ­o Caballero,Paraguay,Defender,01/01/1977
Juan Cabezas,Colombia,Midfielder,27/02/1991
Luis Cabezas,Colombia,Forward,03/03/1986
Gonzalo Cabrera,Argentina,Midfielder,15/01/1989
MatÃ­as Cabrera,Uruguay,Midfielder,16/05/1986
AndrÃ©s Cadavid,Colombia,Defender,28/12/1985
Deiber Caicedo,Colombia,Midfielder,25/03/2000
Eduar Caicedo,Colombia,Defender,23/04/1995
GermÃ¡n Caicedo,Colombia,Midfielder,25/08/1977
Henry Caicedo,Colombia,Defender,18/07/1951
Juan Caicedo,Colombia,Midfielder,04/01/1998
Martin Caicedo,Colombia,Defender,02/10/1968
Luis Caldas,Colombia,Midfielder,12/02/1984
Luis CalderÃ³n,Colombia,Defender,02/06/1990
Miguel Calero,Colombia,Goalkeeper,14/04/1971
Osvaldo Calero,Colombia,Midfielder,24/04/1945
Elkin Calle,Colombia,Defender,19/01/1985
Nestor Camacho,Paraguay,Midfielder,15/10/1987
Rodrigo Campo,Colombia,Midfielder,
Vladimir Campos,Colombia,Defender,29/01/1968
Harrison Canchimbo,Colombia,Defender,14/09/1990
Mayer Candelo,Colombia,Midfielder,20/02/1977
Yerson Candelo,Colombia,Midfielder,24/02/1992
Miguel Caneo,Argentina,Midfielder,17/03/1983
Edgardo CantÃº,Argentina,Defender,21/02/1947
Horacio Capiello,Argentina,Defender,01/10/1950
