Name,Country,Position,Born
Juan Carlos Abello,Colombia,Defender,05/11/1962
Emerson Acuna,Colombia,Forward,16/06/1979
Stiwart AcuÃ±a,Colombia,Forward,06/02/1999
Belmer Aguilar,Colombia,Defender,11/11/1973
Jorge Aguirre,Colombia,Forward,18/06/1987
Kevin Aladesanmi,Colombia,Forward,12/11/1998
Herly AlcÃ¡zar,Colombia,Forward,30/10/1976
David Ãlvarez,Colombia,Defender,13/10/1992
Diego Ãlvarez,Colombia,Forward,23/09/1981
Eliseo Ãlvarez,Uruguay,Defender,09/08/1940
Jonathan Alvarez,Colombia,Midfielder,27/06/1987
Pedro Alvarez,Colombia,Midfielder,05/05/1970
Francisco Alvear,Colombia,Defender,24/02/1982
Fernando Alvez,Uruguay,Goalkeeper,04/09/1959
Gabriel Ãlvez,Uruguay,Forward,26/12/1974
Jonatan Ãlvez,Uruguay,Forward,31/05/1988
Jorge AmarÃ¡,Colombia,Defender,07/07/1982
Armando Amaya,Colombia,Defender,
Diego Amaya,Colombia,Defender,10/11/1985
Jose Amaya,Colombia,Midfielder,16/07/1980
FabiÃ¡n Ãngel,Colombia,Midfielder,10/01/2001
Edison Angulo,Colombia,Forward,
Jeison Angulo,Colombia,Defender,27/06/1996
Anselmo,Brazil,Defender,18/08/1980
Ricardo Aparicio,Uruguay,Midfielder,08/10/1976
Robinson AponzÃ¡,Colombia,Forward,11/04/1989
Alfredo Arango,Colombia,Midfielder,16/02/1945
Paulo Arango,Colombia,Forward,27/08/1984
Alfredo AraÃºjo,Colombia,Defender,
Carlos Araujo,Colombia,Forward,05/03/1964
Jorge Arias,Colombia,Defender,13/12/1992
HÃ©ctor Arregui,Argentina,Midfielder,06/09/1951
Eudalio Arriaga,Colombia,Forward,19/09/1975
Freddys Arrieta,Colombia,Forward,20/08/1985
MartÃ­n Arzuaga,Colombia,Forward,23/07/1981
Carlos Asprilla,Colombia,Defender,19/10/1970
Pierre Aubameyang,Gabon,Defender,29/05/1965
Jonathan Ãvila,Colombia,Defender,01/11/1991
Carlos Bacca,Colombia,Forward,08/09/1986
Deivy Balanta,Colombia,Defender,09/02/1993
Maicol Balanta,Colombia,Forward,02/01/1990
Orlando Ballesteros,Colombia,Forward,24/10/1972
Jorge Banguero,Colombia,Midfielder,04/10/1974
Julian Barahona,Colombia,Midfielder,08/03/1978
Nery Bareiro,Paraguay,Defender,03/03/1988
Deivis Barone,Uruguay,Defender,28/08/1979
Emilio Barraza,Colombia,Forward,
Jarlan Barrera,Colombia,Midfielder,16/09/1995
Jesus Barrios,Colombia,Midfielder,01/10/1961
David Barros,Colombia,Forward,
Edgardo Bauza,Argentina,Defender,26/01/1958
BrÃ©iner BelalcÃ¡zar,Colombia,Midfielder,22/09/1984
Juan Beltran,Colombia,Midfielder,25/10/1974
Felipe Benalcazar,Colombia,Defender,15/01/1977
Adrian Berbia,Uruguay,Goalkeeper,12/10/1977
Fulgencio Berdugo,Colombia,Forward,14/06/1918
Gabriel Berdugo,Colombia,Midfielder,26/11/1947
