Name,Country,Position,Born
Evgeni Abramovich,Belarus,Goalkeeper,17/09/1995
Aleksey Adamitski,Belarus,Defender,25/01/1977
Mikhail Afanasiev,Belarus,Midfielder,04/11/1986
Yann Affi,Ivory Coast,Defender,11/11/1995
Ilya Aleksievich,Belarus,Midfielder,10/02/1991
Dmitriy Aliseyko,Belarus,Defender,28/08/1992
Xhelil Asani,Albania,Defender,12/09/1995
Mikhail Babichev,Belarus,Midfielder,02/02/1995
Pavel Beganskiy,Belarus,Forward,09/01/1981
Roman Begunov,Belarus,Defender,22/03/1993
Aleksey Belevich,Belarus,Midfielder,26/01/1995
Gennadiy Bliznyuk,Belarus,Forward,30/07/1980
Anton Bogdanov,Belarus,Forward,27/04/2001
Aleksandr Borisik,Belarus,Midfielder,29/03/1978
Nikolai Borsukov,Belarus,Defender,30/11/1982
Vadim Boyko,Belarus,Forward,03/12/1978
Nikolay Branfilov,Belarus,Defender,16/12/1977
Evgeniy Branovitskiy,Belarus,Defender,15/05/1981
Anton Brusnikin,Russia,Forward,13/01/1986
Stefan Bukorac,Serbia,Midfielder,15/02/1991
Igor Burko,Belarus,Defender,08/09/1988
Vladimir Bushma,Belarus,Goalkeeper,24/11/1983
Yevgeny Buznikin,Belarus,Midfielder,17/09/1981
Maxim Cebotari,Moldova,Defender,16/11/1982
Giorgi Chedia,Georgia,Forward,28/08/1988
Artem Chelyadinski,Belarus,Defender,29/12/1977
Pavel Chelyadko,Belarus,Defender,03/03/1993
Igor Cherednichenko,Ukraine,Defender,09/05/1984
Vladimir Chernukho,Belarus,Midfielder,22/02/1995
Pavel Chesnovskiy,Belarus,Goalkeeper,04/03/1986
Evgen Chumak,Ukraine,Midfielder,25/08/1995
Daniel Olsina,Spain,Forward,25/02/1989
Sergiy Datsenko,Ukraine,Midfielder,06/09/1987
Aleksandr Degteryov,Belarus,Midfielder,20/03/1986
Vadim Demidovich,Belarus,Midfielder,20/09/1985
Andrey Divakov,Belarus,Defender,07/10/1978
Ilya Djugir,Belarus,Defender,11/02/1999
Pavel Dolgov,Russia,Forward,16/08/1996
Kyrylo Doroshenko,Ukraine,Midfielder,17/10/1989
Yury Doroshkevich,Belarus,Midfielder,30/06/1978
Pavel Dovgulevets,Belarus,Defender,26/12/1977
Ivan Drannikov,Russia,Defender,22/07/1986
Andrey Drozd,Belarus,Goalkeeper,04/08/1975
Nikita Drozdov,Russia,Midfielder,21/04/1992
Iulian Erhan,Moldova,Defender,01/07/1986
Pavel Evseenko,Belarus,Midfielder,30/10/1980
Vadim Evseev,Russia,Defender,08/01/1976
Ilya Fedorenko,Belarus,Forward,10/05/1985
Valeriy Fomichev,Belarus,Goalkeeper,23/03/1988
Soslan Gatagov,Russia,Defender,29/09/1992
Ilya Gavrilov,Belarus,Goalkeeper,26/09/1988
Vitaly Gayduchik,Belarus,Defender,12/07/1989
Inal Getigezhev,Russia,Defender,23/05/1987
Dmitry Gintov,Belarus,Midfielder,14/09/1984
Stanislav Gnedko,Belarus,Midfielder,07/01/1987
Anton Golenkov,Ukraine,Midfielder,17/12/1989
Artem Gomelko,Belarus,Goalkeeper,08/12/1989
Dmitry Gomza,Belarus,Forward,03/05/1987
Valery Gorbachik,Belarus,Forward,19/01/1995
Vyacheslav Gorbanenko,Ukraine,Midfielder,22/02/1984
Andrey Gorbunov,Belarus,Goalkeeper,29/05/1983
Aleksandr Grenkov,Belarus,Midfielder,20/01/1978
Norayr Gyozalyan,Armenia,Forward,15/03/1990
Vyatcheslav Hleb,Belarus,Forward,12/02/1983
Kamo Hovhannisyan,Armenia,Midfielder,05/10/1992
Dmitriy Ignatenko,Belarus,Forward,24/10/1988
Maksym Imerekov,Ukraine,Defender,23/01/1991
Sergey Irkha,Belarus,Forward,25/03/1984
Ruslan Ivashko,Ukraine,Midfielder,10/11/1986
Dmitri Kaigorodov,Russia,Midfielder,04/12/1979
Mikhail Kalugin,Ukraine,Defender,20/11/1994
Dzmitry Karol,Belarus,Midfielder,25/02/1991
Denis Karolik,Belarus,Midfielder,07/05/1979
Maksim Karpovich,Belarus,Defender,27/02/1986
Sergei Karpovich,Belarus,Defender,29/03/1994
Valeri Karshakevich,Belarus,Defender,15/02/1988
Vitaliy Kazantsev,Russia,Defender,04/06/1981
Andrey Kazarin,Belarus,Defender,27/10/1984
Yuri Kendysh,Belarus,Midfielder,10/06/1990
Andrey Khachaturyan,Belarus,Midfielder,02/09/1987
Anri Khagush,Russia,Defender,23/09/1986
Aleksey Khaletskiy,Belarus,Defender,19/06/1984
Egor Khatkevich,Belarus,Goalkeeper,09/07/1988
Dmitri Khlebosolov,Belarus,Forward,07/10/1990
Vasily Khomutovsky,Belarus,Goalkeeper,30/08/1978
Vitaliy Kibuk,Belarus,Forward,07/01/1989
Roman Kirenkin,Belarus,Defender,20/02/1981
Aleksandr Kiriyevich,Belarus,Forward,11/07/1987
Denis Kischkurko,Belarus,Midfielder,16/05/1991
Dmitry Klimovich,Belarus,Defender,09/02/1984
Vladislav Klimovich,Belarus,Forward,12/06/1996
Evgeni Klopotskiy,Belarus,Defender,12/08/1993
Yuriy Kolomyts,Russia,Defender,30/04/1979
Ivan Konovalov,Russia,Goalkeeper,18/08/1994
Artem Kontsevoy,Belarus,Forward,20/05/1983
Sergey Kontsevoy,Belarus,Defender,21/06/1986
Yuriy Korolyuk,Belarus,Forward,10/01/1990
