Name,Country,Position,Born
Michael Abele,Germany,Defender,09/02/1988
Christian Adrianowytsch,Germany,Defender,24/08/1986
Robert Andrich,Germany,Midfielder,22/09/1994
David Atanga,Ghana,Midfielder,25/12/1996
Fabian Aupperle,Germany,Defender,16/02/1986
Alper Bagceci,Germany,Midfielder,16/04/1984
Benjamin Barth,Germany,Midfielder,23/06/1984
Denis Baum,Germany,Goalkeeper,13/04/1987
Robin Becker,Germany,Defender,18/01/1997
Timo Beermann,Germany,Defender,10/12/1990
Christian Beisel,Germany,Defender,08/12/1982
Shqipon Bektashi,Kosovo,Forward,14/09/1990
Stanislaus Bergheim,Germany,Forward,18/08/1984
Merveille Biankadi,Congo DR,Midfielder,09/05/1995
Jens Bodemer,Germany,Goalkeeper,20/01/1989
Jonas BrÃ¤ndle,Germany,Defender,06/05/2000
Marnon Busch,Germany,Defender,08/12/1994
Cassio da Silva,Brazil,Defender,22/11/1978
Ãnal Demirkiran,Turkey,Midfielder,24/06/1979
Michael Deutsche,Germany,Midfielder,01/04/1992
Niklas Dorsch,Germany,Midfielder,15/01/1998
Nikola Dovedan,Austria,Forward,06/07/1994
Vitus Eicher,Germany,Goalkeeper,05/11/1990
Christian Endler,Germany,Defender,11/09/1979
Marc Endres,Germany,Defender,22/02/1991
Christian Essig,Germany,Midfielder,24/01/1986
Patrick Faber,Germany,Forward,
Arne Feick,Germany,Defender,01/04/1988
Ingo Feistle,Germany,Defender,14/12/1981
BÃ¥rd Finne,Norway,Forward,13/02/1995
Jonas FÃ¶hrenbach,Germany,Defender,26/01/1996
Daniel Frahn,Germany,Forward,03/06/1987
Nico Frommer,Germany,Forward,08/04/1978
Robert Glatzel,Germany,Forward,08/01/1994
Andreas Glockner,Germany,Midfielder,25/02/1988
Christian GmÃ¼nder,Germany,Midfielder,12/02/1980
Dave Gnaase,Germany,Midfielder,26/12/1996
Tim GÃ¶hlert,Germany,Defender,15/09/1984
Sebastian Griesbeck,Germany,Midfielder,03/10/1990
Adriano Grimaldi,Germany,Forward,05/04/1991
Nicolai GroÃ,Germany,Forward,03/02/1990
Faruk GÃ¼l,Germany,Midfielder,15/08/1988
GÃ¶khan GÃ¼ndÃ¼z,Germany,Defender,13/03/1984
Ibrahim HajtiÄ,Germany,Defender,04/04/1998
Ben Halloran,Australia,Midfielder,14/06/1992
Rene Hammerl,Germany,Defender,01/01/1979
Rainer Hannig,Germany,Midfielder,31/05/1976
Bastian Heidecker,Germany,Forward,23/01/1983
Bastian Heidenfelder,Germany,Forward,08/01/1986
Sebastian Heidinger,Germany,Defender,11/01/1986
Manuel Heimpel,Germany,Midfielder,16/08/1983
Philip Heise,Germany,Defender,20/06/1991
Robert Henning,Germany,Defender,07/12/1985
Louis HÃ¶rger,Ghana,Forward,22/01/1985
Benjamin Huber,Germany,Goalkeeper,27/08/1985
Oliver HÃ¼sing,Germany,Defender,17/02/1993
Kevin Ibrahim,Germany,Goalkeeper,26/05/2000
Adam Jabiri,Germany,Forward,03/06/1984
Leon Jankowski,Poland,Goalkeeper,30/08/1998
Dieter Jarosch,Germany,Forward,14/09/1980
Jaumann,Germany,Defender,
Marius Jurczyk,Germany,Defender,05/10/1985
Sandro Kaiser,Germany,Midfielder,21/09/1989
Konstantin Kerschbaumer,Austria,Midfielder,01/07/1992
Felix Kielkopf,Germany,Goalkeeper,22/12/1996
GÃ¶kalp Kilic,Germany,Midfielder,21/01/2000
Martin Klarer,Germany,Midfielder,19/04/1982
Kleebauer,Germany,Midfielder,
Tobias Klein,Germany,Goalkeeper,14/06/1981
Tim Kleindienst,Germany,Forward,31/08/1995
Klinger,Germany,Forward,
Mathias Kluge,Germany,Forward,01/03/1977
Matthias KÃ¶bbing,Germany,Goalkeeper,28/05/1997
Lukas Kohler,Germany,Defender,24/05/1987
Felix-Adrian KÃ¶rber,Germany,Goalkeeper,08/02/1993
Davor Kraljevic,Croatia,Defender,07/07/1978
Karsten Krannich,Germany,Goalkeeper,29/07/1965
Kevin Kraus,Germany,Defender,12/08/1992
Florian Krebs,Germany,Defender,15/11/1988
Ahmet Kulabas,Turkey,Forward,08/10/1987
Maximilian Laible,Germany,Forward,15/01/1986
Kevin Lankford,Germany,Midfielder,16/11/1998
Kevin Lehanka,Germany,Forward,05/09/1990
Frank Lehmann,Germany,Goalkeeper,29/04/1989
Robert Leipertz,Germany,Forward,01/02/1993
Andreas Ludwig,Germany,Midfielder,11/09/1990
Mauro Macchia,Italy,Forward,11/04/1985
Andreas Maier,Germany,Midfielder,24/04/1992
Bernd Maier,Germany,Midfielder,30/11/1974
Patrick Mainka,Germany,Defender,06/11/1994
Dennis Malura,Germany,Defender,20/06/1984
Patrick Mayer,Germany,Forward,28/03/1988
Johannes Meier,Germany,Defender,24/09/1984
Tobias Mohr,Germany,Defender,24/08/1995
Smail Morabit,France,Forward,05/07/1988
Gerrit MÃ¼ller,Germany,Midfielder,26/04/1984
Kevin MÃ¼ller,Germany,Goalkeeper,15/03/1991
Maurice Multhaup,Germany,Midfielder,15/12/1996
Florian Niederlechner,Germany,Forward,24/10/1990
Kevin Njie,Germany,Defender,18/04/1996
Branko Okic,Bosnia-Herzegovina,Midfielder,16/02/1969
Lucas Oppermann,Germany,Midfielder,28/08/1986
David Otto,Germany,Forward,03/03/1999
Andrew Owusu,Germany,Forward,07/03/2000
Serkan ÃzgÃ¼r,Germany,Midfielder,17/06/1990
Serhat Pamukcu,Turkey,Forward,
Ali Parhizi,Germany,Midfielder,29/03/1983
Ivo Pekic,Bosnia-Herzegovina,Midfielder,20/07/1983
Ronny Philp,Germany,Defender,28/01/1989
Philipp Pless,Germany,Goalkeeper,03/04/1991
Kolja Pusch,Germany,Midfielder,12/02/1993
Alexander Raaf,Germany,Forward,21/01/1974
Dinko RadojeviÄ,Croatia,Midfielder,17/08/1978
Diant Ramaj,Germany,Goalkeeper,19/09/2001
Martin Rasner,Austria,Midfielder,18/05/1995
Julius Reinhardt,Germany,Midfielder,29/03/1988
Tobias Reithmeir,Germany,Defender,13/08/1999
Philipp Riese,Germany,Midfielder,12/11/1989
Dennis Rudel,Germany,Goalkeeper,20/01/1977
Sebastian Ruess,Germany,Goalkeeper,21/03/1989
Tobias RÃ¼hle,Germany,Forward,07/02/1991
Erol Sabanov,Germany,Goalkeeper,16/05/1974
Marco Sailer,Germany,Forward,16/11/1985
Christian Sameisla,Germany,Forward,10/04/1984
Rouven Sattelmaier,Germany,Goalkeeper,07/08/1987
Christian Sauter,Germany,Midfielder,11/02/1988
JÃ¼rgen Scheuring,Germany,Forward,22/04/1953
Tobias Schilk,Germany,Defender,24/03/1992
Stefan Schimmer,Germany,Forward,28/04/1994
David Schittenhelm,Germany,Midfielder,13/03/1987
Frank Schmidt,Germany,Defender,03/01/1974
Patrick Schmidt,Germany,Forward,10/09/1993
Marc Schnatterer,Germany,Midfielder,18/11/1985
Oliver Schnitzler,Germany,Goalkeeper,13/10/1995
Michael SchÃ¶ffel,Germany,Goalkeeper,02/03/1983
Felix SchrÃ¶ter,Germany,Forward,23/01/1996
Nico Schuska,Germany,Forward,20/03/1979
Manuel Schwenk,Germany,Midfielder,07/03/1992
Maurizio Scioscia,Italy,Defender,06/12/1991
Oliver Seitz,Germany,Midfielder,14/11/1980
Ertac Seskir,Germany,Midfielder,12/11/1982
Kevin Sessa,Germany,Midfielder,06/07/2000
Sandro Sirigu,Germany,Midfielder,07/10/1988
Tim Skarke,Germany,Midfielder,07/09/1996
Sven SÃ¶kler,Germany,Midfielder,09/11/1984
Andreas Spann,Germany,Forward,17/05/1984
Oliver Steurer,Germany,Defender,06/01/1995
Robert StrauÃ,Germany,Defender,07/10/1986
Peter Struck,Germany,Defender,16/02/1984
Benjamin Sturm,Germany,Defender,01/06/1988
Werner Stutzmann,Germany,Midfielder,30/10/1953
Florian Tausendpfund,Germany,Defender,05/01/1987
Norman Theuerkauf,Germany,Midfielder,24/01/1987
Maxi Thiel,Germany,Midfielder,03/02/1993
Denis Thomalla,Germany,Forward,16/08/1992
Michael Thurk,Germany,Forward,28/05/1976
Marcel Titsch-Rivero,Germany,Midfielder,02/11/1989
Sven Ullrich,Germany,Goalkeeper,28/05/1997
Michael Urban,Germany,Defender,01/08/1983
John Verhoek,Netherlands,Forward,25/03/1989
Daniel Vier,Germany,Defender,16/05/1982
Michael Vitzthum,Germany,Defender,20/06/1992
Andreas Voglsammer,Germany,Forward,09/01/1992
Hauke Wahl,Germany,Defender,15/04/1994
Richard Weil,Germany,Midfielder,06/02/1988
Christian Weiller,Germany,Midfielder,22/12/1979
Dominik Widemann,Germany,Forward,30/07/1996
Mathias Wittek,Germany,Defender,30/03/1989
Linus WollschlÃ¤ger,Germany,Midfielder,23/09/1953
Jan Zimmermann,Germany,Goalkeeper,19/04/1985
