Name,Country,Position,Born
Adalberto,Brazil,Defender,16/11/1987
Adriano,Brazil,Forward,21/01/1982
Alex MaranhÃ£o,Brazil,Midfielder,30/04/1985
Alexandre,Brazil,Midfielder,19/02/1973
Brener,Brazil,Midfielder,27/11/1975
Bruno,Brazil,Defender,20/08/1985
Bruno Ribeiro,Brazil,Defender,01/04/1983
CÃ©sar Romero,Brazil,Midfielder,12/03/1980
Chapinha,Brazil,Midfielder,14/11/1983
ClÃ©bson,Brazil,Midfielder,04/09/1985
Cristian,Brazil,Midfielder,28/08/1979
Deleu,Brazil,Defender,01/03/1984
Douglas Mendes,Brazil,Defender,04/10/1988
Esquerdinha,Brazil,Midfielder,16/11/1990
Fernandes,Brazil,Midfielder,24/04/1985
Fernando,Brazil,Midfielder,06/01/1988
Geraldo,Brazil,Forward,20/03/1991
Giancarlo,Brazil,Forward,14/01/1990
Glaydson,Brazil,Midfielder,16/06/1983
Guto,Brazil,Defender,30/08/1985
Jeferson,Brazil,Midfielder,18/07/1984
Jhonnes,Brazil,Defender,22/04/1984
JoÃ£o Paulo,Brazil,Defender,01/07/1986
Jonathan,Brazil,Midfielder,11/05/1991
Julinho,Brazil,Midfielder,31/10/1965
JÃºlio CÃ©sar,Brazil,Midfielder,12/05/1980
JÃºnior Gaucho,Brazil,Defender,22/05/1988
LÃª,Brazil,Forward,18/12/1984
LÃ©o,Brazil,Goalkeeper,30/03/1987
Leozinho,Brazil,Midfielder,12/12/1985
Luciano Amaral,Brazil,Defender,20/10/1982
MarcÃ£o,Brazil,Defender,17/08/1995
Marcelinho,Brazil,Midfielder,17/05/1975
Osmar,Brazil,Defender,23/02/1982
Peres,Portugal,Midfielder,08/01/1943
Pio,Brazil,Midfielder,23/01/1988
Rafael Oliveira,Brazil,Forward,06/07/1983
Raphael,Brazil,Forward,11/05/1983
RincÃ³n,Brazil,Forward,20/04/1977
Rone Dias,Brazil,Midfielder,20/05/1984
Rosembrick,Brazil,Midfielder,03/04/1979
Talisson,Brazil,Defender,15/05/1995
Teco,Brazil,Midfielder,26/06/1995
Thiago Almeida,Brazil,Defender,04/02/1984
Thiaguinho,Brazil,Defender,29/01/1991
Wagsley,Brazil,Forward,03/09/1989
WÃ¡lber,Brazil,Defender,18/06/1987
Waldemar,Brazil,Goalkeeper,04/03/1936
Wanderson,Brazil,Defender,07/02/1991
Washington,Brazil,Forward,14/11/1978
Weverson,Brazil,Defender,03/06/1988
