Name,Country,Position,Born
Gerhard Balandies,Germany,Midfielder,21/06/1952
Peter Baschista,Germany,Defender,05/02/1949
Gunnar Bast,Germany,Defender,09/08/1970
Steffen Baumgart,Germany,Forward,05/01/1972
Kurt Behnisch,Germany,Midfielder,10/07/1950
Steffen Benthin,Germany,Midfielder,18/05/1970
Frank Beutling,Germany,Defender,30/10/1968
Bernd Boche,Germany,Midfielder,28/10/1965
Jens Bochert,Germany,Defender,15/12/1964
Frank Bockholt,Germany,Midfielder,28/10/1957
Sven Buchsteiner,Germany,Defender,27/12/1969
Glenn Burger,Germany,Defender,21/08/1965
Ralf Dechau,Germany,Forward,10/11/1961
Norbert Diederich,Germany,Defender,01/05/1952
Klaus Dirschauer,Germany,Goalkeeper,01/06/1957
Mario Drews,Germany,Defender,28/12/1969
Herbert Eggert,Germany,Defender,01/12/1958
Andreas Finster,Germany,Midfielder,02/06/1967
Heinz FrÃ¶hlich,Germany,Forward,15/02/1926
Andreas Gleibs,Germany,Defender,28/03/1959
Dirk Gottschalk,Germany,Forward,29/09/1970
Ralf Griewald,Germany,Goalkeeper,10/11/1961
Rolf Hacker,Germany,Midfielder,26/09/1948
Peter Herzberg,Germany,Defender,15/09/1959
Dietmar Hirsch,Germany,Forward,25/02/1957
Frank Hollnagel,Germany,Midfielder,10/12/1966
Rolf Hollnagel,Germany,Defender,26/09/1964
Karl-Heinz Holze,Germany,Forward,30/06/1930
Lothar Jenett,Germany,Midfielder,15/12/1939
Udo Jung,Germany,Midfielder,07/06/1952
Henry Kelling,Germany,Midfielder,26/08/1963
Hilmar Kirchhof,Germany,Midfielder,01/11/1946
Torsten Klatt,Germany,Forward,03/12/1970
Peter Klein,Germany,Defender,17/02/1960
AndrÃ© Kort,Germany,Forward,10/04/1962
Peter Kreuzmann,Germany,Midfielder,29/11/1950
Andreas Kruse,Germany,Midfielder,01/11/1971
Torsten Ladwig,Germany,Defender,09/10/1967
Falko Leuschner,Germany,Midfielder,30/10/1955
Edmund Liberka,Germany,Defender,03/03/1944
Jan Lindemann,Germany,Defender,20/12/1971
Horst LÃ¶hle,Germany,Defender,21/05/1939
Klaus LÃ¼dke,Germany,Midfielder,21/04/1954
Ralf Mackensen,Germany,Defender,22/02/1967
Steffen Marquardt,Germany,Midfielder,16/08/1967
Dirk Minklei,Germany,Goalkeeper,23/11/1970
Andreas MÃ¼ller,Germany,Midfielder,14/02/1968
Enrico Neitzel,Germany,Forward,11/04/1977
Uwe Neumann,Germany,Defender,15/09/1962
Andreas Nofz,Germany,Goalkeeper,17/11/1968
Ronny Nuske,Germany,Midfielder,13/08/1972
Torsten Paepke,Germany,Midfielder,07/08/1964
Mario PÃ¤tzold,Germany,Forward,01/04/1963
Lars Petereit,Germany,Midfielder,19/12/1970
Stefan Pickut,Germany,Defender,22/09/1969
Peter Pietrusska,Germany,Forward,05/11/1957
Hans-JÃ¼rgen Pohl,Germany,Forward,01/08/1952
Frank Prange,Germany,Forward,26/10/1964
Thomas Raatz,Germany,Goalkeeper,12/11/1970
Manfred Radtke,Germany,Defender,28/07/1954
Klaus Rehm,Germany,Goalkeeper,06/10/1950
Andreas Reinke,Germany,Goalkeeper,10/01/1969
Ingo Rentzsch,Germany,Goalkeeper,03/09/1966
Ulrich Ruppach,Germany,Midfielder,11/07/1956
Rainer Schmedemann,Germany,Defender,04/09/1955
Maik Schmiedung,Germany,Defender,15/08/1968
Bernd-Uwe Schulze,Germany,Forward,19/07/1958
Olaf Schwerdtner,Germany,Goalkeeper,20/09/1961
Reinhard Schwerdtner,Germany,Goalkeeper,07/12/1956
Lutz Schwerinski,Germany,Forward,18/02/1966
Dieter See,Germany,Forward,21/12/1939
Hans-Peter Sinn,Germany,Forward,02/06/1944
Fred Smolinski,Germany,Midfielder,26/10/1965
Hartmut Sperlich,Germany,Defender,10/11/1950
JÃ¶rg Springstubbe,Germany,Midfielder,08/04/1961
Matthias Stammann,Germany,Midfielder,08/05/1968
JÃ¼rgen Stanislav,Germany,Midfielder,15/11/1957
Mayk Wiese,Germany,Forward,21/12/1965
Volker Witt,Germany,Defender,26/07/1956
Rainer Wroblewski,Germany,Forward,23/05/1952
Jens-Uwe Zietz,Germany,Midfielder,11/07/1968
