Name,Country,Position,Born
Fatmire Alushi,Germany,Midfielder,01/04/1988
Nadine Anstatt,Germany,Forward,14/05/1995
Maral Artin,Germany,Midfielder,09/06/2000
Rachel Avant,Germany,Midfielder,22/09/1993
Ivonne BÃ¤rthel,Germany,Defender,26/04/1981
Saskia Bartusiak,Germany,Defender,09/09/1982
Patrizia Barucha,Germany,Forward,07/04/1983
Denise Bauer,Germany,Goalkeeper,07/05/1992
Isabel Bauer,Germany,Goalkeeper,27/10/1998
Michelle Baumann,Germany,Forward,01/01/1991
Anna Becker,Germany,Midfielder,28/02/1993
Johanna Berg,Germany,Forward,26/09/2000
Larissa Besic,Germany,Goalkeeper,27/12/2002
Celina Beuter,Germany,Midfielder,23/01/1998
Johanna Biermann,Germany,Defender,19/01/2001
Luisa Blumenthal,Germany,Midfielder,27/07/2000
Jill Bohling,Germany,Forward,21/02/1997
Franziska Bohrer,Germany,Midfielder,30/08/1995
Cara BÃ¶sl,Germany,Goalkeeper,11/02/1997
Celine Brandt,Germany,Midfielder,14/03/1998
Kristina Brenner,Germany,Forward,20/07/1990
Xueer Chen,China,Midfielder,23/02/1996
Silvana Chojnowski,Poland,Midfielder,17/04/1994
Ana-Maria CrnogorÄeviÄ,Switzerland,Forward,03/10/1990
Aline Czaplicki,Germany,Midfielder,17/11/1996
Selina Dambier,Germany,Forward,17/07/1989
Laura de Rinaldis,Germany,Midfielder,14/04/2000
Samantha Dick,Germany,Midfielder,22/06/1997
Janine Dutschmann,Germany,Defender,26/02/1991
Lisa Ebert,Germany,Midfielder,06/07/2000
Ramona Emig,Germany,Goalkeeper,10/08/1991
Alexandra Emmerling,Germany,Forward,16/07/1999
Anne Engel,Germany,Defender,04/07/1985
Evita Engel,Germany,Midfielder,11/02/1999
Karla Erichsen,Germany,Goalkeeper,07/05/2000
Angela Fedel,Germany,Midfielder,06/10/1998
Melissa Friedrich,Germany,Defender,06/05/1997
Larissa Galves-Estrada,Germany,Forward,21/04/1998
Alexa Gantner,Germany,Forward,12/08/1989
Alina Garciamendez,Mexico,Defender,16/04/1991
Luisa Gaudl,Germany,Defender,28/02/1999
Margarita Gidion,Germany,Midfielder,18/12/1994
Aylin GÃ¶ktas,Germany,Forward,18/05/1996
Larissa GÃ¶rdel,Germany,Midfielder,09/02/1995
Chiara Hahn,Germany,Midfielder,02/01/2002
Miriam Hanemann,Germany,Goalkeeper,24/03/1997
Melanie Hauser,Germany,Forward,20/11/1989
Janina Hechler,Germany,Defender,28/01/1999
Alina HeiÃig,Germany,Midfielder,22/06/1997
Maren Heller,Germany,Defender,13/04/1988
Jasmin Herbert,Germany,Midfielder,02/05/1991
Samantha Herrmann,Germany,Midfielder,31/07/1998
Amelie Heun,Germany,Defender,25/01/1996
Mai Hirata,Japan,Midfielder,06/07/1998
Michelle Hochstadt,Germany,Midfielder,21/01/2003
Svenja Huth,Germany,Midfielder,25/01/1991
Nicole Janischewski,Germany,Goalkeeper,28/08/1975
Stephanie Jarosch,Germany,Defender,02/05/1994
Mirella Junker,Germany,Midfielder,02/07/1990
Anna-Lena Kaffarnik,Germany,Forward,30/07/1991
Melanie Kantor,Germany,Midfielder,19/09/1990
Celine Karich,Germany,Forward,01/06/1999
Katharina Kiel,Germany,Midfielder,02/05/1992
Valeria Kleiner,Germany,Defender,27/03/1991
Sophia Kleinherne,Germany,Defender,12/04/2000
Hannah Klinke,Germany,Goalkeeper,14/08/2002
Helene KÃ¶nig,Germany,Defender,07/08/1998
Sophia Krausmann,Germany,Forward,31/08/1995
Caroline Krawczyk,Germany,Midfielder,14/11/1997
Anne-Kathrine Kremer,Germany,Goalkeeper,30/12/1987
Ali Krieger,USA,Defender,28/07/1984
Romina Kunze,Germany,Goalkeeper,18/09/1990
Jobina Lahr,Germany,Midfielder,19/10/1991
Selina Latzko,Germany,Defender,08/10/1997
Simone Laudehr,Germany,Midfielder,12/07/1986
Mai LÃª,USA,Midfielder,07/08/1991
Da-Hye Lee,Germany,Goalkeeper,19/12/1992
Barbara Legrand,Germany,Goalkeeper,04/06/1983
Valentina Limani,Germany,Forward,02/02/1997
Lina Linke,Germany,Defender,22/05/2000
Jana LÃ¶ber,Germany,Defender,13/07/1997
Julia Losert,Germany,Defender,16/01/1992
Laura LÃ¼cker,Germany,Goalkeeper,17/03/1999
Diana Marcellino,Germany,Defender,28/09/2001
Shekiera Martinez,Germany,Forward,04/07/2001
Hannah Marx,Germany,Defender,29/10/2002
Selina Maslo,Germany,Defender,13/07/1998
Saskia Matheis,Germany,Midfielder,06/06/1997
Julia Matuschewski,Poland,Forward,15/01/1997
Jessica May,Germany,Midfielder,02/12/1999
Jasmin Meyer,Germany,Defender,11/03/1993
Mara Milbredt,Germany,Defender,11/06/1986
Isabella MÃ¶ller,Germany,Midfielder,04/02/1998
Kerstin Neuper,Germany,Forward,21/07/1987
Safi Nyembo,Germany,Forward,23/09/1984
Kim Ãlafsson,Iceland,Forward,27/08/1998
Alina Ortega Jurado,Germany,Forward,22/04/1997
Selina Ostermeier,Germany,Defender,15/01/1999
Deniz Ãzer,Turkey,Midfielder,02/03/1987
Theresa Panfil,Germany,Midfielder,13/11/1995
Leonie Pankratz,Germany,Defender,25/01/1990
Tanja Pawollek,Germany,Defender,18/01/1999
Stefanie Peil,Germany,Defender,25/08/1996
Suzan PekgÃ¼zelyigit,Germany,Forward,
Valeria Perri,Germany,Defender,08/02/1997
Babett Peter,Germany,Defender,12/05/1988
NataÅ¡a Petrov,Serbia,Midfielder,28/10/1997
Yasmin Pietsch,Germany,Midfielder,03/08/1991
Lorena PreiÃ,Germany,Midfielder,17/05/1997
Anke PreuÃ,Germany,Goalkeeper,22/09/1992
Jessica Reinhardt,Germany,Midfielder,11/06/1994
Anne Rheinheimer,Germany,Defender,26/02/1993
Emily Riemer,Germany,Goalkeeper,14/03/2002
Lorina Romeis,Germany,Defender,11/08/2001
Celine Rumpf,Germany,Midfielder,15/06/1997
Jana Scharly,Germany,Midfielder,07/11/2000
