Name,Country,Position,Born
Mark Addo,Ghana,Midfielder,19/08/1981
Kirill Akanin,Russia,Midfielder,07/02/1995
Gennadiy Aleinikov,Belarus,Goalkeeper,24/07/1996
Denis Aleksandrov,Ukraine,Forward,05/05/1992
Yury Antonovich,Belarus,Defender,02/06/1967
Aleksandr Anufriev,Belarus,Midfielder,21/07/1995
Valery Apanas,Belarus,Defender,01/10/1975
Iakob Apkhazava,Georgia,Midfielder,30/04/1991
Sergei Astapchik,Belarus,Goalkeeper,31/10/1973
Igor Balin,Belarus,Defender,29/01/1978
Vyacheslav Banul,Belarus,Defender,13/01/1972
Mikhail Baranovskiy,Russia,Goalkeeper,04/01/1983
Levan Berishvili,Georgia,Forward,01/06/1975
Vladimir Beshta,Belarus,Defender,10/05/1997
Artiom Boiko,Belarus,Defender,22/04/1986
Vladislav Borisenko,Belarus,Defender,05/03/1997
Ivan Borisevich,Belarus,Midfielder,09/04/1997
Evgeniy Branovitskiy,Belarus,Defender,15/05/1981
Mihajlo CakiÄ,Serbia,Midfielder,27/05/1990
Dmitriy Chaley,Belarus,Midfielder,14/02/1978
David Chegoev,Georgia,Midfielder,28/09/1994
Pavel Chelyadko,Belarus,Defender,03/03/1993
Oleg Cherepnev,Belarus,Defender,03/06/1972
Andrey Chukhley,Belarus,Midfielder,02/10/1987
Dumitru Ciumac,Moldova,Midfielder,07/12/1981
Serghei Condrea,Moldova,Defender,01/10/1978
Aleksandar Äovin,Serbia,Forward,31/08/1990
Yuriy Dadamyan,Belarus,Midfielder,12/09/1996
Ruslan Danilyuk,Belarus,Defender,13/05/1975
Dmitri Denisyuk,Belarus,Midfielder,02/08/1977
Andrey Dovnar,Belarus,Midfielder,29/01/1973
Vasili Drozdov,Belarus,Defender,03/05/1975
Sergey Duboenko,Belarus,Midfielder,10/04/1986
Vasily Dyatlov,Belarus,Defender,28/08/1969
Otar Dzavashvili,Georgia,Defender,17/08/1993
Å½ivorad ÄorÄeviÄ,Serbia,Midfielder,16/10/1973
Kakhaber Esiaiashvili,Georgia,Midfielder,15/09/1976
Pavel Evseenko,Belarus,Midfielder,30/10/1980
Vladimir Gaev,Belarus,Goalkeeper,28/10/1977
Artem Galyak,Belarus,Forward,29/08/1995
Vyacheslav Geraschenko,Belarus,Midfielder,25/07/1972
Dmitriy German,Belarus,Midfielder,12/06/1988
Roman Godovaniy,Ukraine,Defender,04/10/1990
Samson Godwin,Nigeria,Midfielder,11/11/1983
Vyacheslav Golik,Belarus,Midfielder,01/05/1989
Vladimir Golmak,Belarus,Defender,11/10/1966
Sergey Gomonov,Belarus,Defender,29/06/1961
Konstantin Gonchar,Belarus,Defender,12/12/1993
Boris Gorovoi,Belarus,Defender,08/04/1974
Pavel Grechishko,Belarus,Defender,23/03/1989
Sergey Grinevich,Belarus,Defender,11/02/1982
Sergiu Grituc,Moldova,Forward,06/04/1984
Aleksandar Gruber,Serbia,Midfielder,03/02/1974
Aleksei Gudkov,Russia,Midfielder,26/06/1972
Petr Hvorosteanov,Moldova,Midfielder,28/08/1986
Andrei Ilyaskin,Russia,Midfielder,25/07/1967
Jafar Irismetov,Uzbekistan,Forward,23/08/1976
Sergey Irkha,Belarus,Midfielder,25/03/1984
Yevgeniy Ivanenko,Belarus,Goalkeeper,22/12/1995
Goran JovanoviÄ,Serbia,Midfielder,08/05/1977
NebojÅ¡a JovoviÄ,Montenegro,Forward,28/08/1974
Vyacheslav Kaminsky,Belarus,Goalkeeper,05/07/1988
Vasiliy Kanapatskiy,Belarus,Midfielder,12/05/1996
Dmitriy Karsakov,USSR,Midfielder,29/12/1971
Uladzimir Karytska,Belarus,Midfielder,06/07/1979
Yakov Kazak,Belarus,Midfielder,01/08/1985
Yuri Kendysh,Belarus,Midfielder,10/06/1990
Ruslan Khadarkevich,Belarus,Defender,18/06/1993
Sergey Khaletskiy,Belarus,Defender,14/04/1984
Dmitri Kharitonchik,Belarus,Forward,11/06/1986
