Name,Country,Position,Born
Luciano Ãbalos,Argentina,Forward,13/08/1978
Miguel Abrigo,Argentina,Defender,29/03/1974
Joel Acosta,Argentina,Midfielder,16/01/1991
Alejandro Aguirre,Argentina,Midfielder,30/04/1985
Leandro Aguirre,Argentina,Defender,08/02/1989
Andres Aimar,Argentina,Midfielder,18/11/1982
Walter Alcaraz,Argentina,Defender,07/04/1983
Alan Alegre,Argentina,Defender,03/02/1991
Guillermo Ãlvarez,Argentina,Goalkeeper,03/11/1976
IvÃ¡n Amado,Argentina,Midfielder,24/09/1986
Gabriel Amato,Argentina,Forward,22/09/1970
Hugo Amaya,Argentina,Forward,30/10/1974
Emiliano Amor,Argentina,Defender,16/05/1995
Pablo AÃ±aÃ±os,Argentina,Midfielder,19/05/1979
Federico Andrada,Argentina,Forward,03/03/1994
MatÃ­as Angelico,Argentina,Goalkeeper,18/03/1984
Norberto Araujo,Argentina,Defender,13/10/1978
AdriÃ¡n ArÃ­as,Argentina,Goalkeeper,21/01/1987
Federico Arias,Argentina,Forward,24/04/1979
Ramiro Arias,Argentina,Defender,06/01/1993
Juan ArÃ³stegui,Argentina,Forward,12/02/1980
Luis Aseff,Argentina,Goalkeeper,22/09/1983
FabiÃ¡n Assmann,Argentina,Goalkeeper,23/03/1986
NicolÃ¡s Ayr,Argentina,Defender,11/10/1982
Leonardo Baima,Argentina,Midfielder,05/10/1992
Gustavo BalvorÃ­n,Argentina,Forward,06/09/1977
Neri Bandiera,Argentina,Forward,03/07/1989
Cristian Barinaga,Argentina,Midfielder,30/04/1985
NicolÃ¡s Bazzana,Argentina,Defender,24/02/1996
Pablo Becker,Argentina,Forward,29/04/1992
Jonatan Benedetti,Argentina,Forward,26/03/1997
JoaquÃ­n BenÃ­tez,Argentina,Defender,27/11/1993
NicolÃ¡s Bertochi,Argentina,Midfielder,09/06/1989
Facundo Bertoglio,Argentina,Midfielder,30/06/1990
Daniel Bertoya,Argentina,Goalkeeper,13/04/1975
Jonathan Blanco,Argentina,Midfielder,29/04/1987
Ariel Eduardo Boldrini,Argentina,Forward,26/07/1965
Emiliano Borjas,Argentina,Defender,25/01/1996
Gonzalo Bozzoni,Spain,Defender,12/02/1990
AgustÃ­n Briones,Argentina,Midfielder,04/10/1988
Juan Briones,Argentina,Midfielder,16/01/1986
Roberto Brum,Uruguay,Midfielder,05/07/1983
Enzo Bruno,Argentina,Midfielder,19/03/1987
Ariel Bulasio,Argentina,Goalkeeper,04/06/1994
HernÃ¡n Burbano,Colombia,Midfielder,05/03/1988
Gabriel Bustos,Argentina,Midfielder,05/04/1982
Gustavo CaamaÃ±o,Argentina,Midfielder,23/07/1979
MartÃ­n Cabrera,Argentina,Midfielder,08/08/1979
Fernando Cafasso,Argentina,Midfielder,09/02/1983
Dario Cajaravilla,Argentina,Defender,14/03/1980
Mauro Camoranesi,Italy,Midfielder,04/10/1976
Mariano CampodÃ³nico,Argentina,Forward,05/04/1974
Pablo CampodÃ³nico,Argentina,Goalkeeper,17/10/1977
Gustavo Canales,Chile,Forward,30/03/1982
Franco Canever,Argentina,Midfielder,17/02/1989
Manuel Capasso,Argentina,Defender,19/04/1996
DarÃ­o Capogrosso,Argentina,Goalkeeper,26/09/1978
JosÃ© Capriccioni,Argentina,Midfielder,08/04/1993
Alejandro Capurro,Argentina,Midfielder,31/10/1980
JosÃ© CÃ¡rdenas,Argentina,Defender,17/11/1977
Marcelo Cardozo,Argentina,Defender,08/12/1987
Joel Carli,Argentina,Defender,19/10/1986
CÃ©sar Carranza,Argentina,Midfielder,16/08/1980
Silvio Carrario,Argentina,Forward,31/08/1971
Mauricio Carrasco,Argentina,Forward,24/09/1987
Nilo Carretero,Argentina,Midfielder,27/02/1986
Facundo CastillÃ³n,Argentina,Forward,21/08/1985
NicolÃ¡s Castro,Argentina,Midfielder,23/01/1984
Leonardo Cauterucchi,Argentina,Goalkeeper,04/05/1973
Cristian CayetÃ¡,Argentina,Forward,26/11/1981
Osvaldo CenturiÃ³n,Argentina,Defender,05/08/1988
Daniel Chaves,Argentina,Midfielder,01/08/1978
Cristian ChÃ¡vez,Argentina,Forward,04/06/1987
Federico Chiapello,Argentina,Forward,01/09/1993
Ignacio Chiappa,Argentina,Goalkeeper,21/04/1987
NicolÃ¡s Ciribe,Argentina,Goalkeeper,14/03/1995
Diego Cogliandro,Argentina,Defender,10/10/1976
IvÃ¡n Colman,Argentina,Midfielder,06/05/1995
Rodrigo Contreras,Argentina,Forward,27/10/1995
Alejandro CorbalÃ¡n,Argentina,Forward,05/07/1993
Claudio Correa,Paraguay,Forward,03/05/1993
Pablo Corti,Argentina,Forward,03/10/1973
MartÃ­n Curuchet,Argentina,Defender,28/05/1988
Leandro D'Amico,Argentina,Forward,03/03/1981
Pablo de Hoyos,Argentina,Midfielder,24/02/1992
Jorge De Olivera,Argentina,Goalkeeper,21/08/1982
Alejandro DÃ©bole,Argentina,Forward,08/12/1962
Horacio del Carlo,Argentina,Goalkeeper,28/04/1972
Nicolas Demalde,Argentina,Defender,02/04/1984
Lucas Di Yorio,Argentina,Forward,28/04/1991
Daniel DÃ­az,Argentina,Midfielder,17/12/1980
GastÃ³n DÃ­az,Argentina,Midfielder,26/03/1981
Juan Dinenno,Argentina,Forward,28/08/1994
Daniel Dobrik,Argentina,Midfielder,02/02/1975
Federico DomÃ­nguez,Argentina,Midfielder,17/05/1991
Jorge Drovandi,Argentina,Midfielder,05/11/1985
Silvio Duarte,Argentina,Defender,08/06/1978
Emiliano Ellacopulos,Argentina,Midfielder,14/01/1992
GastÃ³n Ervitti,Argentina,Midfielder,05/11/1981
Sergio Esteche,Argentina,Midfielder,19/02/1986
Fernando Evangelista,Argentina,Defender,21/10/1991
