Name,Country,Position,Born
Shpend Asani,North Macedonia,Forward,14/11/1996
Leotrim Bekteshi,Kosovo,Midfielder,21/04/1992
Tomislav BuÅ¡iÄ,Croatia,Forward,02/02/1986
Bedri Greca,Albania,Midfielder,23/10/1990
Semir HadÅ¾ibuliÄ,Serbia,Midfielder,16/08/1986
Jackson,Brazil,Defender,12/04/1991
Arago Jamal,Ghana,Defender,28/08/1993
Jefferson,Brazil,Midfielder,27/10/1989
Fjoart Jonuzi,Albania,Forward,09/07/1996
LucÃ£o,Brazil,Forward,22/09/1995
Faton Maloku,Kosovo,Goalkeeper,14/06/1991
Emmanuel Mbella,France,Forward,18/06/1992
Ansi Nika,Albania,Midfielder,22/08/1990
Jurgen Peqini,Albania,Midfielder,24/08/1998
Gerhard Progni,Albania,Forward,06/11/1986
Oltion Rapa,Albania,Defender,30/09/1989
ï»¿ï»¿Shkelzen Ruci,Albania,Goalkeeper,01/07/1992
Ylli Shameti,Albania,Defender,07/06/1984
Petrit Terziu,Kosovo,Goalkeeper,13/12/2000
Armend ThaÃ§i,Kosovo,Defender,10/10/1992
Muhamed Useini,North Macedonia,Midfielder,21/11/1988
