Name,Country,Position,Born
Denis Antyukh,Ukraine,Forward,30/07/1997
Rostislav Bagdasarov,Ukraine,Defender,24/05/1993
Maxym Banasevich,Ukraine,Midfielder,31/01/1995
Andriy Bogdanov,Ukraine,Midfielder,21/01/1990
Oleksandr Bondarenko,Ukraine,Forward,28/07/1989
Yegor Chegurko,Ukraine,Forward,27/01/1995
Oleksandr Chornomorets,Ukraine,Defender,05/04/1993
Yehor Demchenko,Ukraine,Midfielder,25/07/1997
Arsentii Doroshenko,Ukraine,Midfielder,27/06/2000
Vitaly Gavrish,Ukraine,Midfielder,18/03/1986
Oleg Ilin,Ukraine,Midfielder,08/06/1997
Kamil Khuchbarov,Ukraine,Midfielder,28/08/1999
Ruslan Kisil,Ukraine,Forward,23/10/1991
Yegor Klymenchuk,Ukraine,Defender,11/11/1997
Ruslan Kostishin,Ukraine,Forward,08/01/1977
Denys Kostyshyn,Ukraine,Forward,31/08/1997
Stanislav Koval,Ukraine,Forward,2002
Oleg Kozhushko,Ukraine,Forward,17/02/1998
Dzhemal Kyzylatesh,Ukraine,Midfielder,14/09/1994
Dmytro Leonov,Ukraine,Midfielder,06/11/1988
Vladimir Lisenko,Ukraine,Forward,20/04/1988
Vitaliy Lisitskiy,Ukraine,Defender,16/04/1982
Egor Lugachev,Ukraine,Midfielder,24/12/1988
Maksym Maksymenko,Ukraine,Defender,28/05/1990
Illia Malyshkin,Ukraine,Defender,10/03/2000
Oleksandr Migunov,Ukraine,Midfielder,13/04/1994
Vadim Milko,Ukraine,Midfielder,22/08/1986
Yevgeniy Morozko,Ukraine,Midfielder,15/02/1993
Vladyslav Nekhtiy,Ukraine,Midfielder,19/12/1991
Vladyslav Okhronchuk,Ukraine,Defender,14/07/1997
Pavel Orekhovskiy,Ukraine,Midfielder,13/05/1996
Vadym Paramonov,Ukraine,Defender,18/03/1991
Kyrylo Petrov,Ukraine,Defender,22/06/1990
Oleksandr Pozdeiev,Ukraine,Midfielder,14/06/1986
Vyacheslav Ryabov,Ukraine,Midfielder,21/06/1989
Andriy Sakhnevych,Ukraine,Defender,17/04/1989
Sergiy Sitalo,Ukraine,Goalkeeper,20/12/1986
Yevhenii Smyrnyi,Ukraine,Midfielder,18/08/1998
Stanislav Sorokin,Ukraine,Midfielder,03/05/2000
Artem Terekhov,Ukraine,Defender,31/03/1992
Ãrni VilhjÃ¡lmsson,Iceland,Forward,09/05/1994
Evgen Volinets,Ukraine,Goalkeeper,26/08/1993
Oleksandr Volkov,Ukraine,Midfielder,07/02/1989
Anton Yashkov,Ukraine,Goalkeeper,30/01/1992
Yevhen Yefremov,Ukraine,Defender,17/01/1994
Vladyslav Yemets,Ukraine,Defender,09/09/1997
Evgeniy Zadoya,Ukraine,Midfielder,05/01/1991
Oleksy Zozulya,Ukraine,Defender,15/04/1992
