Name,Country,Position,Born
Alois Beranek,Austria,Forward,13/02/1900
Josef BrandstÃ¤tter,Austria,Midfielder,07/11/1891
Franz Cisar,Austria,Defender,28/11/1908
Anton Desnohlidek,Austria,Goalkeeper,
"Vinzenz ""Gigerl"" Dittrich",Austria,Defender,23/02/1893
Otto Fischer,Austria,Forward,01/01/1901
Johann Kastner,Austria,Forward,25/11/1911
Karl Kolicek,Austria,Goalkeeper,
Karl Ostricek,Austria,Goalkeeper,
Rudolf Raftl,Austria,Goalkeeper,07/02/1911
Karl Schneider,Austria,Defender,16/12/1902
Willi Sevcik,Austria,Defender,
Matthias Sindelar,Austria,Forward,10/02/1903
Stefan Skoumal,Austria,Midfielder,29/11/1909
Rudolf Vsolek,Austria,Midfielder,17/10/1902
