Name,Country,Position,Born
HÃ©ctor Acosta,Venezuela,Defender,29/03/1995
Alexis AcuÃ±a,Venezuela,Forward,08/01/1977
JosÃ© Aguirre,Argentina,Midfielder,26/09/1971
Janner Aislant,Venezuela,Defender,11/02/1982
Bryan Aldave,Uruguay,Forward,29/09/1983
Rafael Almeida,Venezuela,Midfielder,
Roberto Alterio,Venezuela,Midfielder,31/08/1990
Luis Altuve,Venezuela,Defender,12/04/1994
Franklin Ãlvarez,Venezuela,Midfielder,
JesÃºs Ãlvarez,Venezuela,Defender,17/08/1983
Rolando Ãlvarez,Venezuela,Defender,14/12/1975
Atilio Ãlvez,Uruguay,Midfielder,02/03/1984
Cesar Alzate,Colombia,Forward,30/09/1989
Henry Alzolay,Venezuela,Defender,04/06/1993
Carlos Ancheta,Uruguay,Midfielder,04/07/1942
AndrÃ©s Angulo,Colombia,Forward,09/01/1986
Marco Angulo,Venezuela,Midfielder,
Sergio Annarelli,Venezuela,Midfielder,08/09/1975
Irwin AntÃ³n,Venezuela,Forward,10/01/1988
Miguel Aponte,Venezuela,Goalkeeper,01/02/1985
AdriÃ¡n Araque,Venezuela,Midfielder,18/07/1991
Alejandro Araque,Venezuela,Goalkeeper,14/09/1995
Armando Araque,Venezuela,Forward,06/03/1989
Ricardo Araque,Venezuela,Midfielder,
Luis Arce,Colombia,Midfielder,10/09/1978
Jhoan Arenas,Colombia,Midfielder,16/01/1990
Franco ArÃ©valo,Venezuela,Forward,10/01/1990
AgustÃ­n Arias,Venezuela,Forward,
Jimmy Asprilla,Colombia,Defender,01/06/1980
Walter Avalos,Paraguay,Midfielder,08/02/1976
Ever AvendaÃ±o,Venezuela,Defender,22/07/1984
Winston Azuaje,Venezuela,Midfielder,06/04/1993
Luis Barrios,Venezuela,Midfielder,19/05/1994
Wilson Barrios,Venezuela,Forward,
Marlon Bastardo,Venezuela,Defender,05/04/1991
Wilmer Bertre,Venezuela,Forward,11/05/1987
HÃ©ctor Bidoglio,Venezuela,Midfielder,05/02/1968
Luis Blanco,Venezuela,Midfielder,28/02/1993
Leminger Bolivar,Venezuela,Defender,18/02/1990
Mario Bosetti,Venezuela,Forward,
Mario Bosetti,Venezuela,Defender,01/11/1986
