Name,Country,Position,Born
Peter Abelsson,Sweden,Defender,14/07/1977
Samuel Adrian,Sweden,Midfielder,02/03/1998
Enoch Adu,Ghana,Midfielder,14/09/1990
Afonso Alves,Brazil,Forward,30/01/1981
Per Ãgren,Sweden,Defender,12/04/1962
Lars Ahlfeldt,Sweden,Goalkeeper,
Robert Ãhman-Persson,Sweden,Midfielder,26/03/1987
Anel AhmedhodÅ¾iÄ,Sweden,Defender,26/03/1999
Per-Ãke Ãkesson,Sweden,Midfielder,
Pertti Alaja,Finland,Goalkeeper,18/02/1952
Miiko Albornoz,Chile,Midfielder,30/11/1990
John Allen,Wales,Forward,14/11/1964
Stefan AlvÃ©n,Sweden,Defender,12/12/1968
StÃ¥le Andersen,Norway,Midfielder,07/03/1970
Andersson,Sweden,Forward,
Anders Andersson,Sweden,Midfielder,15/03/1974
Conny Andersson,Sweden,Forward,08/04/1945
Daniel Andersson,Sweden,Midfielder,28/08/1977
Erik Andersson,Sweden,Midfielder,03/05/1997
Fredrik Andersson,Sweden,Goalkeeper,25/10/1988
Hugo Andersson,Sweden,Defender,01/01/1999
J. Andersson,Sweden,Forward,
Johan Andersson,Sweden,Forward,22/08/1983
Kent Andersson,Sweden,Forward,
Magnus Andersson,Sweden,Defender,23/04/1958
Mattias Andersson,Sweden,Defender,13/03/1998
Mikael Andersson,Sweden,Forward,21/08/1978
Ove Andersson,Sweden,Forward,14/03/1916
Patrick Andersson,Sweden,Midfielder,16/07/1970
Patrik Andersson,Sweden,Defender,18/08/1971
Roland Andersson,Sweden,Defender,28/03/1950
Rolf Andersson,Sweden,Forward,05/10/1929
Roy Andersson,Sweden,Defender,02/08/1949
Tommy Andersson,Sweden,Forward,03/02/1950
AndrÃ© Nascimento,Brazil,Forward,10/04/1982
Greger Andrijevski,Sweden,Forward,29/04/1973
Marcus Antonsson,Sweden,Forward,08/05/1991
KÃ¡ri Ãrnason,Iceland,Defender,13/10/1982
Mats Arvidsson,Sweden,Midfielder,19/04/1958
Muamet Asanovski,Sweden,Midfielder,14/07/1991
Sanny Ãslund,Sweden,Forward,29/08/1952
Mattias Asper,Sweden,Goalkeeper,20/03/1974
Jeffrey Aubynn,Sweden,Midfielder,12/05/1977
Jonas Axeldal,Sweden,Forward,02/09/1970
Zlatan AzinoviÄ,Sweden,Goalkeeper,31/01/1988
Fouad Bachirou,Comoros,Midfielder,15/04/1990
Christian Bank,Denmark,Forward,25/04/1974
Samuel Barlay,Sierra Leone,Midfielder,15/09/1986
Lee Baxter,Sweden,Goalkeeper,17/06/1976
Jesper Bech,Denmark,Forward,25/05/1982
Felix Beijmo,Sweden,Defender,31/01/1998
Erol Bekir,Sweden,Midfielder,25/01/1974
Helge Bengtsson,Sweden,Goalkeeper,19/12/1916
Jan Bengtsson,Sweden,Defender,
