Name,Country,Position,Born
Godwin Abadaki,England,Midfielder,12/10/1993
Henry Abbott,England,Goalkeeper,15/03/1895
Nicky Adams,Wales,Midfielder,16/10/1986
Dele Adebola,Nigeria,Forward,23/06/1975
Daniel Adshead,England,Midfielder,02/09/2001
Alan Ainscow,England,Midfielder,15/07/1953
Jean-Louis Akpa-Akpro,Ivory Coast,Forward,04/01/1985
Lewis Alessandra,England,Forward,08/02/1989
Jamie Allen,England,Midfielder,29/01/1995
Kevin Amankwaah,Ghana,Defender,19/05/1982
Helio AndrÃ©,England,Forward,03/12/1992
Calvin Andrew,England,Forward,19/12/1986
Lee Andrews,England,Defender,23/04/1983
Steve Arnold,England,Midfielder,05/01/1951
Alf Arrowsmith,England,Forward,11/12/1942
Kenny Arthur,Scotland,Goalkeeper,07/12/1978
Taiwo Atieno,Kenya,Forward,06/08/1985
Graeme Atkinson,England,Midfielder,11/11/1971
Will Atkinson,England,Midfielder,14/10/1988
John-Christophe Ayina,France,Forward,09/04/1991
Kwadwo Baah,England,Forward,
Mark Bailey,England,Defender,12/08/1976
Billy Baker,England,Goalkeeper,17/08/1905
John Baker,England,Goalkeeper,23/11/1982
Pim Balkestein,Netherlands,Defender,29/04/1987
David Ball,England,Forward,14/12/1989
Alan Ball sr.,England,Forward,26/09/1924
Steve Banks,England,Goalkeeper,09/02/1972
Neville Bannister,England,Forward,21/07/1937
Keith Barker,England,Forward,21/10/1986
Andrew Barlow,England,Defender,24/11/1965
Ron Barnes,England,Midfielder,21/09/1936
Matthew Barnes-Homer,England,Midfielder,25/01/1986
Brian Barry-Murphy,Ireland,Midfielder,27/07/1978
David Bayliss,England,Defender,08/06/1976
Chris Beaumont,England,Midfielder,05/12/1965
Keith Bebbington,England,Forward,04/08/1943
Chris Beech,England,Midfielder,16/09/1974
Nyal Bell,England,Forward,18/01/1997
Ahmad Benali,Libya,Midfielder,07/02/1992
Neil Bennett,England,Goalkeeper,
Rhys Bennett,England,Defender,01/09/1991
Thomas Bennett,England,Forward,04/1891
Roland Bergkamp,Netherlands,Forward,03/04/1991
Leo Bertos,New Zealand,Midfielder,20/12/1981
Chris Bettney,England,Forward,27/10/1977
Robert Betts,England,Midfielder,21/12/1981
Louis Bimpson,England,Forward,14/05/1929
Brian Birch,England,Forward,09/04/1938
Brian Birch,England,Forward,18/11/1931
Andy Bishop,England,Forward,19/10/1982
Ronnie Blair,Northern Ireland,Midfielder,26/09/1949
Colin Blant,England,Defender,07/10/1946
Jonathan Boardman,England,Midfielder,27/01/1981
Norman Bodell,England,Defender,29/01/1938
Daniel BogdanoviÄ,Malta,Forward,26/03/1980
John Bowden,England,Midfielder,21/01/1963
Jim Bowie,Scotland,Midfielder,11/10/1941
George Bowyer,England,Midfielder,11/11/1990
Lewis Bradley,England,Midfielder,29/05/2001
Febian Brandy,St. Kitts & Nevis,Forward,04/02/1989
Ged Brannan,England,Midfielder,15/01/1972
Guy Branston,England,Defender,09/01/1979
Ethan Brierley,England,Midfielder,
Neil Brisco,England,Midfielder,26/01/1978
Josh Brizell,England,Defender,15/10/1991
Chris Brown,England,Defender,21/02/1992
Gary Brown,England,Defender,29/10/1985
Malcolm Brown,England,Defender,13/12/1956
Mickey Brown,England,Forward,08/02/1968
Reece Brown,England,Defender,01/11/1991
Ian Bryson,Scotland,Midfielder,26/11/1962
Will Buckley,England,Forward,21/11/1989
Harry Bunn,England,Midfielder,21/11/1992
Joe Bunney,England,Forward,26/09/1993
Daryl Burgess,England,Defender,24/01/1971
Ted Burgin,England,Goalkeeper,29/04/1927
Dennis Butler,England,Forward,24/06/1944
Paul Butler,Ireland,Defender,02/11/1972
David Button,England,Goalkeeper,27/02/1989
Callum Byrne,England,Midfielder,05/02/1992
Neill Byrne,Ireland,Defender,02/02/1993
Stephen Bywater,England,Goalkeeper,07/06/1981
Ronnie Cairns,England,Forward,04/04/1934
Callum Camps,England,Midfielder,
Callum Camps,Northern Ireland,Midfielder,30/11/1995
Niall Canavan,Ireland,Defender,11/04/1991
Andy Cannon,England,Midfielder,14/03/1996
Shane Cansdell-Sherriff,Australia,Defender,10/11/1982
Paul Carden,England,Midfielder,29/03/1979
Everton Carr,England,Defender,11/01/1961
Mark Carter,England,Forward,17/12/1960
Lee Cartwright,England,Midfielder,19/09/1972
Brian Cash,Ireland,Midfielder,24/11/1982
Peter Cavanagh,England,Defender,14/10/1981
Mike Cecere,England,Forward,04/01/1968
Herbert Chapman,England,Forward,19/01/1878
Les Chapman,England,Midfielder,27/09/1948
Iyseden Christie,England,Forward,14/11/1976
Chris Clarke,England,Goalkeeper,01/05/1974
Darrell Clarke,England,Midfielder,16/12/1977
Jamie Clarke,England,Defender,18/09/1982
Timothy Clarke,England,Goalkeeper,19/09/1968
Louie Clarkson,England,Midfielder,
Edward Cliff,England,Defender,30/09/1951
Zach Clough,England,Forward,08/03/1995
Simon Coleman,England,Defender,13/03/1968
