Name,Country,Position,Born
Vitaliy Abramov,Russia,Midfielder,12/07/1974
Aleksandr Ageev,Russia,Midfielder,22/05/1996
Roman Akbashev,Russia,Midfielder,01/11/1991
Dmitry Akhba,Russia,Forward,06/09/1985
Ilnur Alshin,Russia,Forward,31/08/1993
Andriy Annenkov,Ukraine,Midfielder,21/01/1969
Anton Antipov,Russia,Goalkeeper,20/04/1990
Khyzyr Appaev,Russia,Forward,27/01/1990
Mikhail Bagaev,Russia,Defender,28/02/1985
Andrey Batyutin,Russia,Defender,28/05/1995
Ilya Bobryshov,Russia,Defender,22/07/1997
Ruslan Bolov,Russia,Forward,07/05/1994
Igor Borozdin,Russia,Midfielder,05/10/1988
Albert Borzenkov,Russia,Defender,03/01/1973
Sergey Breev,Russia,Midfielder,22/04/1987
Yevgeny Buda,Latvia,Forward,18/03/1977
Aleksandr Burakov,Russia,Midfielder,27/08/1987
Sergey Burchenkov,Russia,Defender,24/07/1977
Georgi Burnash,Russia,Defender,08/08/1993
Nikita Chagrov,Russia,Goalkeeper,24/04/1995
Grigoriy Chirkin,Russia,Midfielder,26/02/1986
Valeriy Chizhov,Russia,Goalkeeper,14/04/1975
Aslan Dashaev,Russia,Defender,19/02/1989
Evgeni Dukhnov,Russia,Midfielder,14/09/1986
Aleksey Epifanov,Russia,Defender,21/07/1983
Valeriy Esipov,Russia,Forward,04/10/1971
Artem Fedchuk,Russia,Forward,20/12/1994
Vitali Fedotov,Ukraine,Midfielder,16/07/1991
Aleksey Foroponov,Russia,Forward,04/03/1987
Ilya Gavrilov,Belarus,Goalkeeper,26/09/1988
Artur Gazdanov,Russia,Midfielder,26/07/1992
Kirill Gotsuk,Russia,Defender,10/09/1992
Maksim Grigoriev,Russia,Midfielder,06/07/1990
Azamat Gurfov,Russia,Midfielder,27/02/1994
Iliya Ilin,Russia,Goalkeeper,10/08/1982
Nikita Imullin,Russia,Midfielder,07/06/1995
Vasiliy Ivanov,Russia,Midfielder,18/06/1958
Oleg Kalugin,Russia,Forward,23/12/1989
Alan Kasaev,Russia,Forward,08/04/1986
Aleksandr Kasyan,Ukraine,Forward,27/01/1989
Dmitriy Kayumov,Russia,Midfielder,11/05/1992
Igor Khaimanov,Russia,Defender,26/03/1994
Andrey Kireev,Russia,Midfielder,06/07/1985
Igor Kireev,Russia,Midfielder,17/02/1992
Igor Kiselyov,Russia,Defender,19/08/1979
Aleksandr Kobzev,Russia,Goalkeeper,04/05/1989
Aleksey Kolomiychenko,Russia,Midfielder,12/07/1982
Denis Kondakov,Russia,Defender,29/06/1978
Aleksey Kontsedalov,Russia,Defender,24/07/1990
