Name,Country,Position,Born
Hans-Joachim Altendorff,Germany,Midfielder,22/12/1940
Fritz Bache,Germany,Defender,29/03/1898
Hans Baron,Germany,Forward,19/12/1914
Bickert,Germany,Forward,
Peter Bien,Germany,Defender,28/02/1951
Karl Boelk,Germany,Forward,08/02/1927
Erwin Borchardt,Germany,Forward,07/07/1953
Kurt Boutry,Germany,Forward,10/12/1951
Kurt Burnitzki,Germany,,
Heinrich Czech,Germany,Forward,
Uwe Dlugosch,Germany,Forward,15/12/1960
Herbert Druse,Germany,Forward,
Franz DÃ¼rrmann,Germany,Defender,04/06/1924
Dietrich Ebeling,Germany,Midfielder,
Karl-Friedrich Eggert,Germany,Forward,
Eichhorst,Germany,Midfielder,
Peter Etzdorf,Germany,Midfielder,02/11/1952
Wolfgang Feldhahn,Germany,Defender,30/09/1935
Bernd Fetkenheuer,Germany,Defender,26/06/1947
Herbert Fischer,Germany,Forward,
Rainer Fischer,Germany,Forward,28/08/1953
Karl-Heinz Fraude,Germany,Midfielder,25/05/1941
Willy Frey,Germany,Defender,
Heinz Gedenk,Germany,Midfielder,24/09/1926
Geiger,Germany,Forward,
Manfred Greif,Germany,Forward,14/10/1939
Dirk Greiser,Germany,Defender,24/02/1963
Wolfgang GÃ¼nther,Germany,Midfielder,
Joachim HÃ¤gler,Germany,Forward,06/10/1952
Klaus-Peter Hanisch,Germany,Defender,29/01/1952
Wolfgang Hansen,Germany,Defender,29/09/1948
Klaus Hartmann,Germany,Forward,
Karl-Heinz Hausmann,Germany,Midfielder,04/09/1943
Peter Heinrich,Germany,Forward,05/10/1947
Robert Hemfler,Germany,Defender,15/08/1947
Hettner,Germany,Forward,
Norbert Ivangean,Germany,Forward,12/10/1954
Bernd Jarke,Germany,Defender,04/12/1944
Wolfgang John,Germany,Forward,14/01/1945
Rainer Karstens,Germany,Goalkeeper,
Manfred Kipp,Germany,Forward,05/05/1947
Norbert Klos-Schmidt,Germany,Forward,24/03/1952
Hans-Dieter Kluge,Germany,Defender,05/05/1941
Kluth,Germany,Goalkeeper,
Uwe Knodel,Germany,Forward,28/07/1955
Horst KÃ¶hler,Germany,Midfielder,25/04/1948
Gerhard Kohn,Germany,Defender,
Horst Kollmannsperger,Germany,Forward,16/11/1924
Manfred Kosmowski,Germany,Goalkeeper,05/10/1948
Emil Krause,Germany,Defender,21/01/1908
Peter Kronsbein,Germany,Defender,12/03/1943
Ingo KrÃ¼ger,Germany,Defender,26/02/1951
Gerhard Kuley,Germany,Midfielder,16/02/1932
Michael Kuntze,Germany,Midfielder,08/06/1958
Axel Lange,Germany,Goalkeeper,29/09/1943
Dieter Lange,Germany,Defender,
Werner Lange,Germany,Forward,18/07/1936
Albert Leder,Germany,Midfielder,26/04/1952
Bruno Lehmann,Germany,Forward,08/02/1896
Hans Georg Lehmann,Germany,Defender,
Joachim Lehmann,Germany,Forward,
Manfred Leumann,Germany,Midfielder,01/08/1948
Rainer Liedtke,Germany,Midfielder,29/09/1950
Reinhardt Lindner,Germany,Midfielder,26/03/1945
Horst Lunenburg,Germany,Forward,18/01/1943
Klaus Mehlhose,Germany,Forward,24/04/1936
Merz,Germany,Forward,
Erich Michelbach,Germany,Forward,
Hans-Peter Mielke,Germany,Midfielder,30/11/1951
MÃ¼ller,Germany,Forward,
Michael MÃ¼ller,Germany,Midfielder,28/10/1944
Manfred Musiol,Germany,Goalkeeper,28/07/1927
Christian Neidhart,Germany,Forward,01/10/1968
Helmut Pabst,Germany,Goalkeeper,29/04/1951
Dieter Pannewitz,Germany,Defender,15/01/1946
PÃ¤tzel,Germany,Forward,
Paul,Germany,Forward,
Eberhard Plehn,Germany,Defender,15/03/1952
Thomas Prill,Germany,Forward,07/05/1957
Manfred Prochnow,Germany,Goalkeeper,
GÃ¼nter Przybilla,Germany,Goalkeeper,
Kurt Raasch,Germany,Forward,23/12/1916
Serge Racine,Haiti,Midfielder,09/10/1951
Wolfgang Rosenfeldt,Germany,Forward,12/10/1935
Michael RoÃbach,Germany,Forward,12/11/1954
RÃ¼ppel,Germany,Forward,
Ulrich Sand,Germany,Forward,08/02/1944
Peter Scholich,Germany,Goalkeeper,24/09/1944
Manfred SchÃ¶ngraf,Germany,Midfielder,
JÃ¼rgen SchrÃ¶der,Germany,Midfielder,19/12/1941
Lutz Schultz,Germany,Goalkeeper,30/08/1954
Heinz Schulz,Germany,Defender,02/02/1930
Gerhard Schwabe,Germany,Forward,
Manfred Schwarze,Germany,Midfielder,28/03/1950
Hans Semela,Germany,Defender,30/05/1912
Rudolf Sendsitzki,Germany,Midfielder,11/12/1923
Thomas Serno,Germany,Forward,13/02/1955
Werner Siebke,Germany,Forward,23/09/1926
Norbert Siegmann,Germany,Midfielder,20/05/1953
Bernd Sobeck,Germany,Defender,06/03/1943
Gerhard Sowitzki,Germany,Midfielder,21/03/1931
Hans Sprenger,Germany,Defender,12/10/1948
Ratomir StankoviÄ,Serbia,Midfielder,10/10/1941
GÃ¼nter Sydow,Germany,Defender,17/08/1945
Joachim Thiel,Germany,Defender,07/08/1951
Gerhard Thieme,Germany,Forward,02/08/1918
Rainer Thieme,Germany,Defender,27/09/1946
Reinhard Thieme,Germany,Forward,27/07/1946
Uwe Todten,Germany,Goalkeeper,28/01/1952
Kurt Trotschinsky,Germany,Midfielder,14/03/1916
Erwin Trzos,Germany,Defender,
Gunthard von Wedelstedt,Germany,Midfielder,1937
Horst Waclawiak,Germany,Forward,01/01/1938
Horst WeiÃ,Germany,Midfielder,06/03/1917
Raimund Wiehberg,Germany,Defender,03/10/1948
Helmut Wigrim,Germany,Midfielder,24/12/1920
Uwe Wirtz,Germany,Midfielder,01/03/1953
Wittwer,Germany,Midfielder,
Michael Woythe,Germany,Forward,15/11/1957
Dieter ZieÃnitz,Germany,Midfielder,
