Name,Country,Position,Born
Johannes Abfalterer,Austria,Forward,26/12/1962
Karl Achatzy,Austria,Defender,
Christian Aflenzer,Austria,Midfielder,31/03/1972
Daniel Aichinger,Austria,Defender,03/02/1991
Aigner,Austria,Forward,
Halil Akaslan,Austria,Forward,12/08/1983
Henri Alberto,Italy,Goalkeeper,18/11/1933
Alexandre Dorta,Brazil,Midfielder,08/04/1975
Haris AlihodÅ¾iÄ,Bosnia-Herzegovina,Defender,12/04/1968
Yasin Allam,Egypt,Defender,14/05/1990
Anton Artes,Austria,Midfielder,
Anton Auer,Austria,Defender,28/02/1947
JÃ¼rgen Auffinger,Austria,Midfielder,10/10/1965
Eric Auss,Austria,Defender,17/04/1997
Lorin AvÄdanei,Romania,Defender,22/02/1956
Selman Aydin,Austria,Midfielder,05/02/1996
Turan Aydin,Austria,Midfielder,18/06/1999
Johann Baar,Austria,Midfielder,1895
Kristian Babic,Austria,Defender,13/08/1994
Ben Balnik,Austria,Midfielder,09/04/1995
Stefan Barac,Bosnia-Herzegovina,Midfielder,09/10/1997
Stasys Baranauskas,Lithuania,Midfielder,07/05/1962
Eric Barber,Ireland,Forward,18/01/1942
Patrik Barbic,Austria,Midfielder,13/09/1981
Zoran BariÅ¡iÄ,Austria,Midfielder,22/05/1970
Leopold Barschandt,Austria,Defender,12/08/1925
Peter Barthold,Austria,Goalkeeper,17/02/1954
Karl Bauer,Austria,Midfielder,11/11/1951
Karl Bauer,Austria,Midfielder,
Roberto Baumgartner,Austria,Defender,05/07/1988
Raul Baur,Austria,Defender,05/12/1996
Karl Beck,Austria,Forward,08/05/1888
Richard Beer,Austria,Defender,03/01/1897
Miroslav Beljan,Austria,Midfielder,20/12/1993
Werner Bendekovits,Austria,Forward,09/01/1974
Dietmar Berchtold,Austria,Midfielder,06/08/1974
Mirza Berkovic,Bosnia-Herzegovina,Midfielder,24/11/1991
August Bichler,Austria,Defender,09/03/1920
Michael Binder,Austria,Midfielder,14/05/1969
Walter Binder,Austria,Midfielder,14/12/1958
Horst Blankenburg,Germany,Defender,10/07/1947
Max Blauensteiner,Austria,Midfielder,20/11/1985
Matthias Bleyer,Austria,Forward,01/08/1969
Dolfi Blutsch,Austria,Midfielder,18/08/1940
Franz BÃ¶ck,Austria,Forward,21/04/1939
Dragan Bodul,Croatia,Midfielder,12/03/1975
Kurt Bogner,Austria,Goalkeeper,07/01/1938
BÃ¶hm,Austria,Midfielder,
Friedrich Borgan,Austria,Forward,18/10/1956
Karsten BÃ¶ttcher,Germany,Midfielder,07/01/1970
Osman Bozkurt,Turkey,Forward,10/08/1984
Otto Brad,Austria,Forward,09/09/1967
Amir Bradaric,Austria,Midfielder,11/09/1974
Karl Brauneder,Austria,Defender,13/03/1960
August Braunsteiner,Austria,Defender,
Karl Braunsteiner,Austria,Midfielder,27/10/1891
Brian Brem,Austria,Midfielder,07/01/1993
Brenner,Austria,Goalkeeper,
Karl Brezina,Austria,Defender,
