Name,Country,Position,Born
Adriana MartÃ­n,Spain,Forward,07/11/1986
Ale,Spain,Defender,26/02/1989
Amanda Sampedro,Spain,Midfielder,26/06/1993
Ana Borges,Portugal,Defender,15/06/1990
Ana FernÃ¡ndez,Spain,Defender,03/03/2000
Andrea Pereira,Spain,Defender,19/09/1993
Andrea SÃ¡nchez,Spain,Forward,28/02/1997
Ãngela Sosa,Spain,Midfielder,16/11/1993
Genoveva AÃ±onma,Equatorial Guinea,Forward,19/04/1989
Carla Bautista,Spain,Forward,14/03/2000
Beatriz BeltrÃ¡n,Spain,Defender,10/12/1997
Viola Calligaris,Switzerland,Midfielder,17/03/1996
Carmen Menayo,Spain,Defender,14/04/1998
Alexandra Chidiac,Australia,Midfielder,15/01/1999
Mariela Coronel,Argentina,Midfielder,20/06/1981
Charlyn Corral,Mexico,Forward,11/09/1991
Sana Daoudi,France,Midfielder,12/03/1998
DÃ©bora GarcÃ­a,Spain,Midfielder,17/10/1989
Dolores Silva,Portugal,Defender,07/08/1991
Toni Duggan,England,Forward,25/07/1991
Esther GonzÃ¡lez,Spain,Forward,08/12/1992
Jana Gallego,Spain,Goalkeeper,29/03/2003
Sonia GarcÃ­a MajarÃ­n,Spain,Forward,06/12/2002
Gema Prieto,Spain,Midfielder,06/06/1996
Cristina Hernando,Spain,Defender,19/06/2000
Jade,Equatorial Guinea,Forward,30/08/1986
Jenni Hermoso,Spain,Forward,09/05/1990
Jucinara,Brazil,Defender,03/08/1993
AurÃ©lie Kaci,France,Midfielder,19/12/1989
Laia Aleixandri,Spain,Defender,25/08/2000
Leire,Spain,Defender,19/12/1986
Elena Linari,Italy,Defender,15/04/1994
Lola,Spain,Goalkeeper,10/06/1993
Ludmila,Brazil,Forward,11/12/1994
Mar Prieto,Spain,Forward,01/03/1969
Ana Marcos,Spain,Forward,09/07/2000
MarÃ­a LeÃ³n,Spain,Defender,13/06/1995
Marta Carro,Spain,Defender,06/01/1991
Marta Cazalla,Spain,Defender,05/04/1997
Marta Corredera,Spain,Midfielder,08/08/1991
Miriam RodrÃ­guez,Spain,Forward,18/11/1994
Misa,Spain,Goalkeeper,22/07/1999
MÃ´nica,Brazil,Defender,21/04/1987
Nagore CalderÃ³n,Spain,Midfielder,02/06/1993
Natalia ExpÃ³sito,Spain,Goalkeeper,20/10/1997
Noelia Gil,Spain,Goalkeeper,23/05/1994
Noelia Tudela,Spain,Defender,24/09/1990
Noelia Villegas,Spain,Defender,07/11/1996
Jennifer Oehrli,Switzerland,Goalkeeper,13/01/1989
Olga GarcÃ­a,Spain,Forward,01/06/1992
Olga GarcÃ­a,Spain,Forward,01/06/1992
Rosa OtermÃ­n,Spain,Midfielder,02/10/2000
Olha Ovdiychuk,Ukraine,Forward,16/12/1993
Natiya Pantsulaya,Ukraine,Midfielder,28/12/1991
Andreea PÄrÄluÈÄ,Romania,Goalkeeper,27/11/1994
Leire PeÃ±a,Spain,Midfielder,20/06/2001
Itziar Pinillos Moreno,Spain,Defender,21/09/2000
Priscila Borja,Spain,Forward,28/04/1985
Rilany,Brazil,Defender,26/06/1986
Rita Fontemanha,Portugal,Defender,13/11/1993
Kenti Robles,Mexico,Defender,15/02/1991
RocÃ­o GÃ¡lvez,Spain,Defender,15/04/1997
Sandra,Spain,Midfielder,01/01/1981
Leicy Santos,Colombia,Midfielder,16/05/1996
Paula Serrano,Spain,Midfielder,27/01/1991
Silvia Meseguer,Spain,Midfielder,12/03/1989
Soni,Spain,Forward,15/11/1984
Kylie Strom,USA,Defender,18/03/1992
Susana Guerrero,Spain,Defender,10/05/1980
Tamara Ãlvarez,Spain,Midfielder,09/01/1995
AÃ¯ssatou Tounkara,France,Defender,16/03/1995
Sari van Veenendaal,Netherlands,Goalkeeper,03/04/1990
Vanesa GarcÃ­a,Spain,Defender,28/02/1983
Virginia Torrecilla,Spain,Midfielder,04/09/1994
