Name,Country,Position,Born
Abel,Spain,Defender,24/02/1996
Abel,Spain,Midfielder,18/07/1980
Facundo Ackermann,Uruguay,Goalkeeper,26/03/1993
AdriÃ¡n JimÃ©nez,Spain,Defender,01/12/1992
AdriÃ¡n PÃ©rez,Spain,Midfielder,26/01/1996
AgustÃ­n,Spain,Midfielder,08/07/1982
Aitor Embela,Equatorial Guinea,Goalkeeper,17/04/1996
Alberto,Spain,Midfielder,01/02/1992
Alberto Gil,Spain,Forward,14/06/1997
Alberto Prada,Spain,Defender,19/01/1989
Alberto Sanz,Spain,Defender,10/12/1973
Alejandro Casado,Spain,Defender,01/01/2001
Keven AlemÃ¡n,Canada,Midfielder,25/03/1994
Aloisio,Spain,Defender,25/03/1979
Jaime Alvarado,Colombia,Midfielder,26/07/1999
Ãlvaro AntÃ³n,Spain,Midfielder,28/12/1983
Ãlvaro Gil,Spain,Forward,23/03/2001
Amaro,Spain,Midfielder,23/04/1992
Ãngel,Spain,Midfielder,03/02/1993
Antonio DomÃ­nguez,Spain,Midfielder,04/04/1993
Apa,Spain,Defender,08/03/2000
Aridane,Spain,Defender,23/03/1989
Arquero,Spain,Forward,02/09/1973
Asenjo,Spain,Goalkeeper,28/06/1989
Asier,Spain,Midfielder,28/03/1987
Ayala,Spain,Defender,12/09/1983
Ayub,Spain,Midfielder,26/08/1994
Baba Alhassan,Ghana,Midfielder,01/01/2000
Bacari,Gambia,Forward,14/03/1988
Baraja,Spain,Midfielder,24/08/1980
Baraja,Spain,Midfielder,11/07/1975
Bardanca,Philippines,Defender,20/03/1993
BayÃ³n,Spain,Defender,12/04/1984
Juan Becerra,Colombia,Forward,23/02/1998
BenjamÃ­n,Equatorial Guinea,Midfielder,02/03/1976
Borja PÃ©rez,Spain,Forward,01/04/1982
Borja Prieto,Spain,Midfielder,10/02/1987
Juan Boselli,Uruguay,Forward,28/10/1994
Bruno Meoqui,Spain,Midfielder,16/11/1998
Carlos Arias,Spain,Defender,10/12/1977
Carlos Calvo,Spain,Midfielder,18/09/1985
Carlos Delgado,Spain,Defender,22/04/1990
Carlos Doncel,Spain,Forward,04/12/1996
Carrascal,Spain,Midfielder,24/04/1995
Casi,Spain,Forward,08/06/1993
Castri,Spain,Forward,01/10/2002
Caye Quintana,Spain,Forward,20/12/1993
Cela,Spain,Forward,17/12/1969
CÃ©sar Esteban,Spain,Defender,22/04/1969
CÃ©sar SÃ¡nchez,Spain,Goalkeeper,02/09/1971
Chaves,Spain,Defender,25/02/1977
Cobo,Spain,Defender,21/03/1998
Creus,Spain,Forward,11/01/1989
Cristian Moreno,Spain,Defender,18/05/1995
Dali,Brazil,Midfielder,06/04/2000
Dani Calleja,Spain,Midfielder,13/04/1987
Dani Espinar,Spain,Midfielder,17/04/1995
Dani HernÃ¡ndez,Spain,Goalkeeper,26/03/1996
Dani Pedrosa,Spain,Forward,04/09/1996
Dani Vega,Spain,Forward,11/01/1997
David Costa,Spain,Forward,28/03/1997
David de Vega,Spain,Defender,13/05/1996
David GarcÃ­a,Spain,Goalkeeper,26/04/2000
David GÃ³mez,Spain,Defender,04/04/1974
David GÃ³mez,Spain,Defender,18/02/2000
David JimÃ©nez,Spain,Goalkeeper,
David JimÃ©nez,Spain,Forward,10/08/1976
David MartÃ­n,Spain,Forward,06/06/1974
Fernando de los RÃ­os,Spain,Forward,20/06/1976
Delfi,Equatorial Guinea,Midfielder,02/07/1992
Dennis,Spain,Goalkeeper,08/08/1992
Diego Alende,Spain,Defender,25/08/1997
Diego Barrios,Spain,Goalkeeper,30/07/1994
Diego Rangel,Spain,Defender,23/03/1978
Moctar El Hacen,Mauritania,Midfielder,31/12/1997
Eloy Robles,Spain,Defender,21/01/1987
Emilio JosÃ©,Spain,Forward,11/03/1978
Ernesto,Spain,Midfielder,05/03/1982
Fano,Spain,Defender,12/10/1972
Felipe Alfonso,Spain,Defender,14/04/1993
