Name,Country,Position,Born
Arne Andersen,Norway,Forward,21/04/1900
Martin Andersen,Norway,Midfielder,04/12/1995
Kristinn BjÃ¶rnsson,Iceland,Forward,13/09/1955
Ulf Camitz,Sweden,Midfielder,25/10/1960
Robert Danielsen,Norway,Forward,22/07/1905
Holgar Durhuus,Faroe Islands,Forward,29/10/1992
Alf Flinth,Norway,Midfielder,02/01/1897
Roy Fosdahl,Norway,Goalkeeper,20/04/1911
Patrik Fredholm,Sweden,Midfielder,10/05/1978
Roar Hagen,Norway,Goalkeeper,09/08/1971
Joacim Heier,Norway,Goalkeeper,27/01/1986
Johnny Helgesen,Norway,Forward,01/01/1897
Alf Johansen,Norway,Midfielder,01/01/1903
Arne Johansen,Norway,Goalkeeper,22/05/1902
Simen Johansen,Norway,Midfielder,03/06/1978
Grant Kerr,Scotland,Midfielder,01/12/1985
Sabri Khattab,Norway,Midfielder,12/01/1990
Nikola Ladan,Sweden,Midfielder,15/03/1993
Rune Lange,Norway,Forward,24/06/1977
Frode Larsen,Norway,Goalkeeper,09/07/1988
Martin Mathisen,Norway,Midfielder,19/02/1991
Dardan Mehmeti,Albania,Midfielder,19/06/1989
Wilhelm Nielsen,Norway,Forward,22/05/1901
Jonas Olsen,Norway,Forward,23/04/1988
Peder Puck,Norway,Forward,24/09/1892
Samy Slama,France,Defender,23/01/1991
Wilhelm Strand,Norway,Midfielder,27/08/1892
Thorleif Svendsen,Norway,Forward,07/06/1910
Yngvar TÃ¸rnros,Norway,Defender,28/06/1894
Brice Wembangomo,Norway,Defender,18/12/1996
Dagur ÃÃ³rhallsson,Iceland,Midfielder,02/05/2000
