Name,Country,Position,Born
Franklyn Akammadu,Nigeria,Forward,11/08/1998
Albert MozÃ³,Spain,Defender,15/01/1991
Alejandro RodrÃ­guez,Spain,Forward,30/07/1991
Nicola Andreoli,Italy,Forward,17/12/1999
Tommaso Arrigoni,Italy,Midfielder,26/02/1994
Lorenzo Babbi,Italy,Forward,21/05/2000
Marco Ballini,Italy,Defender,12/06/1998
Matteo Bartoletti,Italy,Defender,03/03/2000
Luca Bartolini,Italy,Midfielder,01/06/1997
Gianmarco Bevitori,Italy,Defender,14/08/1996
Andrea Bianchini,Italy,Goalkeeper,03/07/1999
Marco Carnesecchi,Italy,Goalkeeper,01/07/2000
Alessandro Carnicelli,Italy,Forward,09/09/1999
Riccardo Carroli,Italy,Goalkeeper,21/06/1996
Daniele Cavallari,Italy,Defender,11/02/1998
Tommaso Ceccacci,Italy,Defender,03/01/1999
Davide Cesarini,San Marino,Defender,16/02/1995
Jacopo Ciarmela,Italy,Midfielder,11/01/1998
Sasa Cicarevic,Montenegro,Midfielder,13/08/1994
Andrea Ciofi,Italy,Defender,28/06/1999
Edoardo Colombo,San Marino,Goalkeeper,24/01/2001
Alessandro Conti,Italy,Midfielder,07/01/1998
Simone Corina,Italy,Goalkeeper,17/01/1997
Tommaso Costantini,Italy,Forward,23/06/1996
Nicola Dalmonte,Italy,Forward,13/09/1997
Mirco De Angelis,San Marino,Goalkeeper,03/03/2000
Aleksandros Dhamo,Albania,Midfielder,14/08/1998
Francesco Dondini,Italy,Midfielder,22/03/1998
Mirko Drudi,Italy,Midfielder,22/02/1987
Marco ÄuriÄ,Serbia,Midfielder,18/09/1992
Younes El Bouhali,Morocco,Midfielder,25/01/2001
Gianmarco Fabbri,Italy,Defender,25/06/1997
Leonardo Fagioli,Italy,Defender,02/11/1997
Akira Fantini,Japan,Goalkeeper,24/05/1998
Tommaso Farabegoli,Italy,Defender,26/03/1999
Lorenzo Felli,Italy,Midfielder,12/03/1999
Francesco Ferrari,Italy,Defender,05/09/1998
Lorenzo Ferretti,Italy,Midfielder,26/02/1997
Mattia Gabrielli,Italy,Defender,26/01/1996
Riccardo Gaiola,Italy,Midfielder,01/04/1996
Andrea Galassi,Italy,Midfielder,22/02/1964
Alessandro Garattoni,Italy,Defender,23/01/1998
Matteo Gasperi,Italy,Midfielder,17/07/1997
Matteo Gasperoni,Italy,Midfielder,11/09/1998
Mattia Gasperoni,Italy,Forward,02/07/1999
Emanuele Giaccherini,Italy,Forward,05/05/1985
Daniele Grieco,Italy,Defender,04/03/2000
Alberto Iglio,Italy,Goalkeeper,20/04/1996
Riccardo Improta,Italy,Forward,19/12/1993
Igor KondiÄ,Slovenia,Midfielder,02/01/1998
Filippo Lanzoni,Italy,Midfielder,04/09/1999
Kalil Louati,Italy,Midfielder,28/04/1999
Pietro Magnani,Italy,Goalkeeper,18/12/1997
Andrea Magrini,Italy,Defender,26/08/1997
Salvatore Maiorana,Italy,Forward,20/05/1996
Artem Makarov,Russia,Goalkeeper,17/11/1996
Youssef Maleh,Italy,Midfielder,22/08/1998
Andrea Mandelli,Italy,Midfielder,12/07/1997
Nicola Maretti,Italy,Midfielder,05/01/1999
Mattia MartedÃ¬,Italy,Defender,12/04/1998
Florentin Matei,Romania,Midfielder,15/04/1993
Gabrielli Mattia,Italy,Defender,26/01/1996
Francesco Mazzavillani,Italy,Defender,04/08/1998
Filippo Medri,Italy,Defender,23/08/1971
Gabriele Moncini,Italy,Midfielder,26/04/1996
Andrea Montanari,Italy,Midfielder,10/11/1986
Davide Mordini,Italy,Defender,03/08/1996
Alessandro Morri,Italy,Goalkeeper,01/09/1998
Luca Moscatiello,Italy,Midfielder,25/05/1991
