Name,Country,Position,Born
Abaroa,Spain,Midfielder,02/10/1988
Abasolo,Spain,Forward,29/06/1984
Aimar,Spain,Defender,05/07/1984
Aitor Aranzabe,Spain,Forward,28/06/1998
Aitor Morcillo,Spain,Defender,10/09/1994
Aitor Sanz,Spain,Midfielder,13/09/1984
Aizarna,Spain,Goalkeeper,
AizpurÃºa,Spain,Goalkeeper,05/05/1970
Alain,Spain,Defender,05/07/1977
AlaÃ­n BarrÃ³n,Spain,Midfielder,18/11/1985
Alain Eizmendi,Spain,Midfielder,10/06/1990
Alberdi,Spain,Midfielder,14/04/1980
Alberdi,Spain,Defender,10/12/1973
Alberto,Spain,Defender,31/03/1983
Albistegui,Spain,Midfielder,01/07/1987
Edouard Aldalur,France,Goalkeeper,02/02/1984
Alejandro SantamarÃ­a,Spain,Goalkeeper,23/01/1996
Alex BolaÃ±os,Spain,Defender,06/01/1990
Alex Iriondo,Spain,Midfielder,21/05/1994
Ãlex Letamendia,Spain,Midfielder,
Alfaro Romero,Spain,Forward,18/11/1910
AlsÃºa,Spain,Forward,18/08/1923
Altuna,Spain,Midfielder,26/12/1910
Ãlvaro TÃ©lis,Uruguay,Forward,28/01/1997
Alza,Spain,Defender,27/07/1906
Amunarriz,Spain,Forward,
Ander Gayoso,Spain,Defender,20/07/1993
Ander SÃ¡nchez,Spain,Midfielder,
Andoni Gorosabel,Spain,Midfielder,04/08/1996
Andriu,Spain,Defender,07/08/1990
Angulo,Spain,Midfielder,26/01/1984
AntÃ­a,Spain,Defender,13/02/1973
Antxon,Spain,Defender,06/09/1976
AnzÃ¡,Spain,Defender,06/05/1909
Aritz Borda,Spain,Defender,03/01/1985
Arrauso,Spain,Midfielder,
Arregui,Spain,Forward,07/02/1974
Arriaga,Spain,Forward,28/07/1982
Arrieta,Spain,Midfielder,24/10/1974
IÃ±igo Arteaga,Spain,Goalkeeper,16/12/1972
Asier Etxaburu,Spain,Midfielder,07/04/1994
Asier Garitano,Spain,Midfielder,06/12/1969
Azcarate,Spain,Forward,19/10/1938
Azcona,Spain,Midfielder,19/12/1912
Azkoiti,Spain,Defender,17/03/1987
Azpilikueta,Spain,Defender,28/10/1981
Alex Babos,Wales,Midfielder,21/01/1998
Badiola,Spain,Midfielder,07/04/1975
Balerdi,Spain,Forward,22/05/1993
Barranco,Spain,Midfielder,03/02/1987
Beitia,Spain,Midfielder,29/09/1990
BeÃ±at Garro,Spain,Defender,25/06/1997
Bengoechea,Spain,Defender,13/12/1965
Beobide,Spain,Midfielder,19/02/1987
Berges,Spain,Defender,27/12/1900
Berruet,Spain,Defender,23/04/1973
Cabrero,Spain,Goalkeeper,22/09/1987
Cajo,Spain,Forward,
Careaga,Spain,Forward,09/03/1981
Carlos MenÃ©ndez,Spain,Forward,17/02/1987
Carrasco,Spain,Forward,09/05/1902
Casiano,Spain,Midfielder,
Celihueta,Spain,Defender,
Cenzano,Spain,Goalkeeper,24/10/1904
Chuchi,Spain,Midfielder,23/10/1978
Chupe,Spain,Midfielder,13/01/1986
Chupri,Spain,Defender,06/10/1980
Colinas,Spain,Forward,16/04/1988
CordÃ³n,Spain,Defender,12/11/1975
Costa,Spain,Goalkeeper,11/04/1977
Costanilla,Spain,Defender,16/09/1976
Cristian,Spain,Midfielder,28/03/1997
Cuesta,Spain,Defender,12/11/1978
Dani Estrada,Spain,Defender,03/01/1987
Dani Guerrero,Spain,Midfielder,19/12/1981
David Karanka,Spain,Forward,20/04/1978
David Malo,Spain,Defender,21/08/1981
David Ruiz,Spain,Defender,12/10/1974
De Carlos,Spain,Forward,01/08/1977
De Luz,Spain,Midfielder,05/04/1973
Descarga,Spain,Defender,25/08/1976
Mohamed Diaby,Morocco,Midfielder,21/02/1986
Julen Diez,Spain,Goalkeeper,
DomÃ­nguez,Spain,Forward,29/12/1983
Donosti,Spain,Midfielder,21/09/1970
Echeveste,Spain,Forward,21/04/1928
Echeveste,Spain,Forward,19/03/1889
Echezarreta,Spain,Midfielder,09/04/1894
Edu RoldÃ¡n,Spain,Midfielder,13/09/1977
EguiazÃ¡bal,Spain,Midfielder,14/04/1896
Eizaguirre,Spain,Midfielder,
Eizaguirre,Spain,Midfielder,25/01/1984
Ekaitz JimÃ©nez,Spain,Midfielder,15/03/1996
Ekhi,Spain,Defender,26/04/1990
El Haddadi,Spain,Midfielder,16/06/1997
ElÃ­cegui,Spain,Forward,05/12/1910
Pascal Elissalde,France,Goalkeeper,14/01/1987
Emery Arocena,Spain,Goalkeeper,26/07/1905
Endika,Spain,Midfielder,30/10/1978
Endika Galarza,Spain,Defender,26/10/1994
Eneko Eizmendi,Spain,Forward,10/06/1990
Eneko Romo,Spain,Midfielder,19/09/1979
Errazquin,Argentina,Forward,22/06/1906
Esnaola,Spain,Defender,31/10/1986
Etxabe,Spain,Defender,12/09/1978
Etxarri,Spain,Midfielder,15/03/1969
Eulate,Spain,Midfielder,01/04/1980
Eusko,Spain,Defender,23/06/1977
Fran MartÃ­nez,Spain,Midfielder,
GabaraÃ­n,Spain,Defender,21/05/1977
Gabilondo,Spain,Midfielder,30/04/1987
Gabino,Spain,Midfielder,
Gabino,Spain,Defender,22/03/1974
Gabri LizÃ¡rraga,Spain,Forward,03/09/1999
Gabriel Alonso,Spain,Defender,09/11/1923
Gaizka Iriarte,Spain,Midfielder,16/12/1977
Galiano,Spain,Defender,25/05/1979
JosÃ© Gallardo,Spain,Defender,12/09/1971
Gallastegui,Spain,Forward,25/03/1939
Gamborena,Spain,Midfielder,14/03/1901
GarcÃ©s,Colombia,Forward,13/01/1998
Garmendia,Spain,Forward,08/08/1905
Garmendia,Spain,Defender,17/03/1978
Danilo Gerlo,Argentina,Defender,07/03/1979
GermÃ¡n,Spain,Midfielder,12/03/1973
Goicoechea,Spain,Goalkeeper,23/05/1940
Goikoetxea,Spain,Forward,06/05/1982
Mathieu Gomes,France,Forward,06/03/1985
Gorka Brit,Spain,Forward,19/04/1978
Gorka Kijera,Spain,Defender,26/05/1986
Gorka Larrucea,Spain,Midfielder,24/02/1993
Gorka Luariz,Equatorial Guinea,Forward,20/12/1992
Gorka Pintado,Spain,Forward,24/03/1978
Gorka SorÃ­a,Spain,Midfielder,20/09/1976
GorriÃ±o,Spain,Defender,
Gorriti,Spain,Defender,03/04/1943
Goyenechea,Spain,Defender,13/03/1903
Granado,Spain,Defender,
Gurrutxaga,Spain,Defender,23/11/1980
HÃ©ctor Ladero,Spain,Defender,13/05/1989
Herrandonea,Spain,Forward,22/11/1910
Herrandonea,Spain,Forward,05/06/1909
