Name,Country,Position,Born
Mohamed Abou-Shoura,Egypt,Forward,01/11/1982
Dinalo Adigo,Benin,Defender,25/07/1972
Godfried Aduobe,Ghana,Midfielder,29/10/1975
Donald Agu,Nigeria,Defender,12/12/1975
Aykut AkgÃ¼n,Turkey,Midfielder,18/09/1987
Alfonso GarcÃ­a,Spain,Forward,24/10/1969
Gabriel Alleoni,Brazil,Forward,07/09/1992
Tevfik AltÄ±ndaÄ,Turkey,Midfielder,26/10/1988
Herbert Ammer,Germany,Forward,13/11/1938
Markus Anetzmann,Germany,Forward,
Shpejtim Arifi,Germany,Forward,03/05/1979
Alan Arnautovic,Germany,Goalkeeper,10/06/1989
Wolfram Arnthof,Germany,Forward,14/09/1937
Haris Avdic,Switzerland,Defender,03/01/1983
Marcel AvdiÄ,Bosnia-Herzegovina,Forward,28/02/1991
Ilker Aybar,Turkey,Defender,26/01/1976
JÃ¼rgen Aymar,Germany,Forward,
Tahir Bahadir,Germany,Forward,25/10/1996
Tufan Balmuk,Turkey,Forward,15/01/1984
Mike Baradel,Germany,Defender,14/02/1985
JiÅÃ­ BarboÅÃ­k,Czech Republic,Midfielder,17/03/1972
Rudolf Bast,Germany,Forward,11/02/1937
Thomas Bauer,Germany,Defender,07/03/1966
Wolfram Bauer,Germany,Midfielder,04/10/1963
Timo BÃ¤uerle,Germany,Defender,19/07/1989
Eugen Baum,Germany,Forward,13/10/1922
Gerd Baum,Germany,Defender,07/09/1924
Josef Baur,Germany,Midfielder,
Markus BÃ¤urle,Germany,Midfielder,15/10/1969
Roland Bazlen,Germany,Midfielder,15/08/1960
Artur Beck,Germany,Midfielder,24/02/1966
Ralf Becker,Germany,Midfielder,26/09/1970
Alessio Bennardo,Germany,Forward,13/01/1994
Dominik Bentele,Germany,Defender,21/02/1991
Rolf Bertram,Germany,Midfielder,23/04/1935
Ewald Beskid,Germany,Forward,12/09/1980
Leon Beuter,Germany,Goalkeeper,07/07/1998
Ulrich Biesinger,Germany,Midfielder,06/08/1933
Bastian Bischoff,Germany,Forward,04/12/1984
Colin Bitzer,Germany,Forward,12/03/1996
Alexander Blessin,Germany,Forward,28/05/1973
Daniel Bogdanovic,Serbia,Defender,28/02/1981
Karl BÃ¶gelein,Germany,Goalkeeper,28/01/1927
Wolfgang BÃ¶hni,Germany,Midfielder,06/03/1948
Udo BÃ¶hs,Germany,Goalkeeper,15/08/1943
Roland Boley,Germany,Defender,13/03/1958
Sascha Boller,Germany,Midfielder,16/02/1984
Maikel Boric,Germany,Forward,02/06/1989
Domenico Botta,Germany,Forward,27/11/1987
Dieter BÃ¶ttle,Germany,Midfielder,03/02/1942
GaÅ¡per BoÅ¾iÄ,Slovenia,Goalkeeper,20/06/1996
Marcel Brandstetter,Germany,Forward,05/03/1988
Harald Braner,Germany,Forward,19/08/1943
Bernhard Braun,Germany,Goalkeeper,18/11/1929
David BrÃ¶er,Germany,Defender,05/01/1998
Yannic Buchwald,Germany,Midfielder,11/03/1987
MichaÅ Bukraba,Poland,,04/01/1984
Deniz Bulut,Turkey,Midfielder,28/06/1999
Christian Butz,Germany,Defender,15/06/1983
Marvin BÃ¼yÃ¼ksakarya,Germany,Defender,11/04/1995
Hakan Cakmak,Turkey,Forward,09/01/1991
Soner Calisir,Germany,Midfielder,30/06/1987
Volkan Candan,Turkey,Midfielder,06/06/1989
Joachim Cast,Germany,Defender,04/03/1968
Christos Chatzimalousis,Greece,Midfielder,24/02/1998
Torsten Chmielewski,Germany,Defender,21/01/1968
Tomislav Cilic,Croatia,Forward,12/08/1995
Ivo Colic,Croatia,Midfielder,02/11/1998
Meksud ÄoliÄ,Bosnia-Herzegovina,Forward,14/04/1992
Pietro Conte,Germany,Defender,24/07/1982
Anthony Coppola,Netherlands,Midfielder,23/11/1992
Ivan ÄosiÄ,Croatia,Defender,13/10/1989
Cristian GilÃ©s,Spain,Forward,18/10/1992
Goran Äurko,Serbia,Goalkeeper,21/08/1968
Ãnal Demirkiran,Turkey,Midfielder,24/06/1979
Holger Demme,Germany,Forward,25/11/1962
Marco di Biccari,Germany,Midfielder,11/05/1983
Francesco di Frisco,Italy,Midfielder,26/05/1987
Giuseppe di Leone,Italy,Defender,09/01/1989
Theo Diegelmann,Germany,Goalkeeper,23/11/1939
Bernd Dirscherl,Germany,Defender,28/02/1947
Olivier Djappa,Cameroon,Forward,22/11/1969
Dogukan Dogan,Germany,Forward,17/07/1999
Willi Drehmann,Germany,Midfielder,01/02/1938
SÃ¶ren DreÃler,Germany,Defender,26/12/1976
Hans-Georg Dulz,Germany,Forward,31/10/1936
Hans DÃ¼ren,Germany,Forward,26/04/1948
Enes Durmaz,Germany,Goalkeeper,10/05/1995
Kristijan ÄorÄeviÄ,Serbia,Midfielder,06/01/1976
Gerd Efferenn,Germany,Midfielder,16/06/1949
Pierre Eiberger,Germany,Midfielder,13/07/1991
Ulrich EimÃ¼llner,Germany,Defender,12/05/1949
Thomas Eininger,Germany,Forward,
Hans Eippert,Germany,Forward,02/12/1945
Philipp Eisele,Germany,Defender,12/02/1984
Daniel Elfadli,Germany,Midfielder,06/04/1997
Ebi Empere,Nigeria,Forward,08/11/1981
Ingo Endress,Germany,Forward,18/02/1969
Jochen Endress,Germany,Defender,03/11/1972
Yannick Erkenbrecher,Germany,Midfielder,01/01/1983
GÃ¼nther Falke,Germany,Defender,27/05/1928
Jochen Falke,Germany,Defender,23/06/1956
Hans Fauser,Germany,Defender,27/02/1925
Fabian Fecker,Germany,Defender,18/07/1989
Florian Feigl,Germany,Midfielder,15/01/1996
Robert Feik,Germany,Defender,11/02/1988
Wolfgang Feuerlein,Germany,Midfielder,10/10/1924
Otto Fink,Germany,Forward,28/07/1930
Manuel Fischer,Germany,Forward,19/09/1989
Dennis FÃ¶rster,Germany,Forward,31/08/1987
Roberto Forzano,Germany,Forward,07/01/1991
Andreas Frick,Germany,Midfielder,19/12/1991
David Fridrich,Germany,Defender,14/02/1997
Tobias FriebertshÃ¤user,Germany,Defender,16/09/1987
Werner Fritschi,Germany,Midfielder,30/03/1933
Thomas Fritz,Germany,Defender,27/11/1969
Maximilian FrÃ¶lich,Germany,Defender,11/10/1993
GÃ¼nther Fromm,Germany,Midfielder,30/09/1959
Nico Frommer,Germany,Forward,08/04/1978
Tobias FÃ¼rste,Germany,Goalkeeper,12/04/1997
Ante Galic,Croatia,Defender,20/11/1994
Bashiru Gambo,Ghana,Forward,24/09/1978
Elvir Gashi,Kosovo,Midfielder,12/09/1999
Horst Gernhardt,Germany,Forward,17/11/1923
Frank Gerster,Germany,Midfielder,15/04/1976
Emmerich Gerzoskovicz,Germany,Midfielder,15/12/1918
Markus Gisdol,Germany,Midfielder,17/08/1969
Valentin Gjokaj,Albania,Defender,23/08/1993
Sebastian GleiÃner,Germany,Defender,18/11/1994
