Name,Country,Position,Born
Steinar Aase,Norway,Forward,15/04/1955
Bismar Acosta,Costa Rica,Midfielder,19/12/1986
Per-Egil Ahlsen,Norway,Defender,04/03/1958
Chukwuma Akabueze,Nigeria,Forward,06/05/1989
Yaw Amankwah,Norway,Defender,07/07/1988
Aleksander Andersen,Norway,Midfielder,28/03/1987
BjÃ¸rn Odmar Andersen,Norway,Forward,14/03/1943
Trygve Andersen,Norway,Midfielder,10/07/1934
Petter Andreassen,Norway,Forward,26/02/1978
Martin Andresen,Norway,Midfielder,02/02/1977
Kennedy Ashia,Ghana,Forward,13/12/1993
Amin Askar,Norway,Midfielder,01/10/1985
Egil AustbÃ¸,Norway,Forward,12/01/1947
Rodolph Austin,Jamaica,Midfielder,01/06/1985
StÃ©phane Badji,Senegal,Midfielder,18/01/1990
Vidar Bahus,Norway,Goalkeeper,05/06/1965
Maximiliano Bajter,Uruguay,Midfielder,01/03/1986
Eirik Bakke,Norway,Midfielder,13/09/1977
Marcus Bakke,Norway,Midfielder,10/01/1981
Lars Bakkerud,Norway,Midfielder,01/06/1971
Daouda Bamba,Ivory Coast,Midfielder,05/03/1995
Kristoffer Barmen,Norway,Midfielder,19/08/1993
JÃ¸rn Berge,Norway,Midfielder,12/06/1974
Veton Berisha,Norway,Forward,13/04/1994
Gjert Berntsen,Norway,Midfielder,04/07/1970
Finn Berstad,Norway,Forward,17/07/1901
Marius BildÃ¸y,Norway,Forward,29/03/2000
Atle Bilsback,Norway,Defender,09/11/1946
Eirik Birkelund,Norway,Midfielder,13/01/1994
Ãlafur Bjarnason,Iceland,Defender,15/05/1975
Joachim BjÃ¶rklund,Sweden,Defender,15/03/1971
Ãrmann BjÃ¶rnsson,Iceland,Forward,07/01/1981
Henrik BjÃ¸rnstad,Norway,Defender,23/03/1967
Endre Blindheim,Norway,Midfielder,05/04/1947
Torgeir BÃ¸rven,Norway,Forward,03/12/1991
Daniel Braaten,Norway,Midfielder,25/05/1982
