Name,Country,Position,Born
Marcel Adelmann,Germany,Goalkeeper,14/04/1992
Gabriel Akman,Germany,Defender,24/11/1983
UÄur Albayrak,Turkey,Forward,08/06/1988
Albert,Germany,Defender,
Marcus-Anthony Alexander,Germany,Midfielder,07/03/1991
Abassin Alikhil,Germany,Defender,19/04/1991
Soheyl Alipour-Rafi,Germany,Defender,19/01/1994
Manfred Allig,Germany,Midfielder,24/07/1957
Zubayr Amiri,Afghanistan,Midfielder,02/05/1990
Fulbert Amouzouvi,Germany,Forward,10/04/1996
Patrick Amrhein,Germany,Midfielder,20/10/1989
Andreas Angersbach,Germany,Defender,03/10/1987
Andreas Anicic,Germany,Midfielder,29/10/1984
AnnhÃ¤user,Germany,Midfielder,
Arnold,Germany,Midfielder,
Faruk Arslan,Turkey,Midfielder,22/01/1993
Arturo,Spain,Goalkeeper,15/08/1981
Ken Asaeda,Japan,Midfielder,27/07/1983
Gianluca Asta,Germany,Forward,27/08/1993
Marcello Asta,Germany,Defender,18/06/1989
Ingo Aulbach,Germany,Midfielder,05/08/1962
GÃ¶khan Aydin,Turkey,Forward,04/08/1988
Aziz Azaouagh,Morocco,Midfielder,28/08/1979
Michael Bachmann,Germany,Midfielder,30/09/1968
Steffen Bachmann,Germany,Midfielder,02/09/1989
Benjamin Baier,Germany,Midfielder,23/07/1988
JÃ¼rgen Baier,Germany,Midfielder,29/06/1958
Andrzej Banasik,Poland,Defender,17/05/1958
Ersan Banbal,Germany,Defender,17/11/1987
David Baranski,Germany,Midfielder,09/07/1987
Salvatore Bari,Italy,Forward,07/11/1987
Patrick Barnes,Germany,Forward,06/09/1984
Tayfun Basol,Germany,Forward,03/03/1990
Dennis Baumann,Germany,Goalkeeper,29/08/1989
Philipp Beinenz,Germany,Midfielder,13/08/1995
Masse Bell Bell,Germany,Midfielder,12/04/1994
Helmut Bellon,Germany,Midfielder,
Belz,Germany,Goalkeeper,
Benjamin Bertholdt,Germany,Defender,14/05/1982
Luca Bieber,Germany,Goalkeeper,26/03/1997
Thomas Biehrer,Germany,Defender,11/07/1964
Matthias Bienek,Germany,Midfielder,03/06/1990
Jan Biggel,Germany,Midfielder,13/08/1990
Kevin Birk,Germany,Goalkeeper,25/12/1991
Alexander Blocher,Germany,Defender,11/01/1990
Rudi Bommer,Germany,Midfielder,19/08/1957
Dirk Borkenhagen,Germany,Midfielder,16/01/1965
Frank BÃ¶Ãenecker,Germany,Forward,11/05/1976
Hamza Boutakhrit,Morocco,Defender,17/03/1993
JÃ¼rgen Brauburger,Germany,Defender,07/06/1962
Lutz Braun,Germany,Defender,03/06/1966
Christian Breunig,Germany,Forward,03/02/1991
BrÃ¶nner,Germany,Forward,
Markus BrÃ¼digam,Germany,Defender,07/04/1986
Manfred Brunner,Germany,Forward,23/01/1944
Daniele Bruno,Germany,Forward,23/04/1996
Stephan Buchwalter,Germany,Forward,
Heinz Budion,Germany,Forward,
Maximilian BÃ¼ge,Germany,Forward,14/08/1983
Luigi Campagna,Italy,Defender,11/12/1989
Kemal Celikkiran,Turkey,Defender,16/09/1985
Daniel Cheron,Germany,Midfielder,23/12/1986
Vasilios Cholidis,Greece,Goalkeeper,13/06/1991
Marko Corlija,Serbia,Defender,25/01/1987
Mario Cuc,Germany,Defender,11/06/1984
Kevin da Silva,Germany,Forward,18/04/1991
Enes Dacic,Germany,Midfielder,29/07/1987
Luca DÃ¤hn,Germany,Defender,26/07/1995
Alp Dalkilic,Germany,Defender,30/11/1971
Zamir Daudi,Afghanistan,Defender,05/08/1987
Friedhelm Depp,Germany,Defender,
Roberto Desch,Germany,Midfielder,27/01/1993
Marco di Maria,Italy,Forward,23/04/1988
Domenico di Rosa,Italy,Forward,28/12/1981
Malick Diarra,Germany,Forward,20/04/1998
Mirko Dimter,Germany,Defender,20/01/1992
Heinrich Dittel,Germany,Defender,25/09/1937
Uwe Dittus,Germany,Midfielder,03/08/1959
Marius Diwersi,Germany,Defender,07/09/1994
Ricardo DÃ¶bert,Germany,Goalkeeper,05/04/1991
Volkan Dogan,Turkey,Midfielder,10/05/1985
Georg Dorn,Germany,Midfielder,28/03/1983
Werner DreÃel,Germany,Forward,30/08/1958
Radomir Dubovina,Bosnia-Herzegovina,Midfielder,01/08/1953
Semir Duljevic,Germany,Midfielder,27/08/1993
Sebastian DÃ¼rnagel,Germany,Goalkeeper,02/03/1981
GÃ¼nter DutinÃ©,Germany,Midfielder,30/01/1937
Ahmed Dzafic,Germany,Forward,28/02/1993
Zaki Ech-Chad,Germany,Defender,25/04/1997
Christian Eckerlin,Germany,Defender,16/11/1986
Eckert,Germany,Forward,
Michael Eckhard,Germany,Goalkeeper,15/09/1978
Hendrik Ehmann,Germany,Defender,10/01/2000
Sven Ehser,Germany,Forward,11/01/1987
Khalid El Hirech,Morocco,Forward,23/05/1978
Rudi Elbert,Germany,Defender,01/09/1966
Patrick Emmel,Germany,Goalkeeper,08/02/1985
Fred Englert,Germany,Forward,20/08/1943
Nicolai Ermert,Germany,Midfielder,12/03/1992
Reinhold Ertel,Germany,Midfielder,02/12/1924
Benjamin Ertler,Germany,Midfielder,27/11/1985
Max Ertler,Germany,Defender,01/09/1995
Florian Ettl,Germany,Forward,28/09/1982
Werner Feth,Germany,Midfielder,20/11/1910
Sebastian Feyh,Germany,Midfielder,15/09/1984
Giulio Fiordellisi,Italy,Forward,15/07/1983
