Name,Country,Position,Born
Ahmed Abdulla,Saudi Arabia,Forward,12/11/1991
Anthony Acheampong,England,Defender,23/03/1990
Patrick Ada,Cameroon,Defender,14/01/1985
Charlee Adams,England,Midfielder,16/02/1995
Kieran Adams,England,Midfielder,20/10/1977
Kwame Adjeman-Pamboe,USA,Forward,24/10/1987
Albert Adomah,England,Midfielder,13/12/1987
Benjamin Aghadiuno,England,Forward,30/01/2000
Junior Agogo,Ghana,Forward,01/08/1979
John Akinde,England,Forward,08/07/1989
Sam Akinde,England,Midfielder,14/04/1993
Simeon Akinola,Nigeria,Forward,06/08/1992
Jean-Louis Akpa-Akpro,Ivory Coast,Forward,04/01/1985
Cliff Akurang,England,Forward,27/02/1981
Cheye Alexander,England,Defender,24/05/1995
Timothy Alexander,England,Defender,29/03/1974
Iffy Allen,England,Midfielder,15/03/1994
Oliver Allen,England,Forward,07/09/1986
Julian Alsford,England,Defender,24/12/1972
Justin Amaluzor,England,Forward,17/10/1996
Stevland Angus,England,Defender,16/09/1980
Gary Ansell,England,Midfielder,08/11/1978
Mark Arber,South Africa,Defender,09/10/1977
Taiwo Atieno,Kenya,Forward,06/08/1985
Francis Awaritefe,Australia,Forward,18/04/1964
Aymen Azaze,Belgium,Goalkeeper,20/12/2001
Nicky Bailey,England,Midfielder,10/06/1984
Ademola Bankole,Nigeria,Goalkeeper,09/09/1969
Jack Barham,England,Forward,09/02/1996
George Barker,England,Forward,26/09/1991
Dillon Barnes,England,Goalkeeper,08/04/1996
Dave Barnett,England,Defender,16/04/1967
Grant Basey,England,Defender,30/11/1988
CÃ©dric Baseya,Congo DR,Forward,19/12/1987
Michael Basham,England,Defender,27/09/1973
Damian Batt,England,Defender,16/09/1984
Shaun Batt,England,Forward,22/02/1987
Peter Beadle,England,Forward,13/05/1972
Craig Beattie,Scotland,Forward,16/01/1984
Rob Beckwith,England,Goalkeeper,12/09/1984
Leon Bell,England,Midfielder,19/12/1980
Austin Berkley,England,Forward,28/01/1973
Mohamed Bettamer,England,Forward,01/04/1993
Mauro Bilhete,England,Midfielder,10/05/1993
Adam Birchall,England,Forward,02/12/1984
Neal Bishop,England,Midfielder,07/08/1981
Nicky Bissett,England,Defender,05/04/1964
Tommy Black,England,Midfielder,26/11/1979
Andre Blackman,England,Defender,10/11/1990
Kevin Blackwell,England,Goalkeeper,21/12/1958
Michael Bodley,England,Defender,14/09/1967
Yannick Bolasie,Congo DR,Midfielder,24/05/1989
Ian Bolton,England,Defender,13/07/1953
Gary Borrowdale,England,Defender,16/07/1985
Bertrand Bossu,France,Goalkeeper,14/10/1980
Andre Boucaud,Trinidad & Tobago,Midfielder,10/10/1984
Ben Bowditch,England,Defender,12/02/1984
Martyn Box,England,Defender,15/11/2001
Gary Brazil,England,Midfielder,19/09/1962
Gary Breen,Ireland,Defender,12/12/1973
Matthew Briggs,Guyana,Defender,09/03/1991
Dean Brill,England,Goalkeeper,02/12/1985
Richard Brindley,England,Defender,05/05/1993
Bobby Brown,England,Forward,02/05/1940
Danny Brown,England,Midfielder,12/09/1980
Jordan Brown,England,Defender,11/10/1991
Benjamin BÃ¼chel,Liechtenstein,Goalkeeper,04/07/1989
Gary Bull,England,Forward,12/06/1966
Rob Burch,England,Goalkeeper,08/10/1983
Ryan Burge,England,Midfielder,12/10/1988
Harry Burgoyne,England,Goalkeeper,28/12/1996
Sagi Burton,St. Kitts & Nevis,Defender,25/11/1977
Calum Butcher,England,Defender,26/02/1991
Guy Butters,England,Defender,30/10/1969
Mark Byrne,Ireland,Midfielder,09/11/1988
Kieron Cadogan,England,Midfielder,16/08/1990
Jamie Campbell,England,Defender,21/10/1972
Jamal Campbell-Ryce,Jamaica,Midfielder,06/04/1983
Ashley Carew,Barbados,Midfielder,17/12/1985
Phil Carpenter,England,Goalkeeper,15/01/1990
Mark Carter,England,Forward,17/12/1960
Peter Cawley,England,Defender,15/09/1965
Tom Champion,England,Midfielder,15/05/1986
Kenneth Charlery,England,Forward,28/11/1964
Anthony Charles,England,Defender,11/03/1981
Ashley Charles,England,Midfielder,15/09/1999
Elliott Charles,Grenada,Forward,01/04/1990
Lee Charles,England,Forward,20/08/1971
Okem Chime,England,Forward,26/10/2001
Martin Chivers,England,Forward,27/04/1945
Andy Clarke,England,Forward,22/07/1967
Josh Clarke,England,Midfielder,05/07/1995
Connor Clifford,Ireland,Midfielder,01/10/1991
Simon Clist,England,Midfielder,13/06/1981
Shaun Close,England,Forward,08/09/1966
Charlie Clough,England,Midfielder,04/09/1990
Robert Codner,England,Forward,23/01/1965
Barry Cogan,Ireland,Midfielder,04/11/1984
Shane CojocÄrel,Romania,Forward,20/03/1997
Tobi Coker,England,Midfielder,
Jake Cole,England,Goalkeeper,11/09/1985
Raven Constable,Jamaica,Goalkeeper,01/09/1994
Lee Cook,England,Midfielder,03/08/1982
Geoff Cooper,England,Defender,27/12/1960
Mark Cooper,England,Forward,05/04/1967
Tony Cottee,England,Forward,11/07/1965
Luke Coulson,England,Defender,06/03/1994
Tom Coulson,England,Midfielder,28/07/1985
Shaquile Coulthirst,England,Forward,02/11/1994
Tom Coulton,England,Goalkeeper,15/11/1992
David Court,England,Midfielder,01/03/1944
Mark Cousins,England,Goalkeeper,09/01/1987
Sam Cowler,England,Goalkeeper,26/10/1992
Sam Cox,Guyana,Defender,10/10/1990
Harry Crawford,Ireland,Forward,10/12/1991
Max Crocombe,New Zealand,Goalkeeper,12/08/1993
Darren Currie,England,Midfielder,29/11/1974
Ross D'arcy,Ireland,Defender,21/03/1978
Dani LÃ³pez,Spain,Forward,25/05/1985
Edgar Davids,Netherlands,Midfielder,13/03/1973
Ross Davidson,England,Defender,13/11/1973
Kevin Dawson,England,Defender,18/06/1981
Thomas Day,England,Midfielder,24/10/1997
JÃ©rÃ©my De Magalhaes,France,Defender,21/11/1983
Kyle De Silva,England,Midfielder,29/11/1993
Ahmed Deen,Sierra Leone,Defender,30/06/1985
Sam Deering,England,Midfielder,26/02/1991
Bira DembÃ©lÃ©,France,Defender,22/03/1988
Darren Dennehy,Ireland,Defender,21/09/1988
Joe Devera,England,Defender,06/02/1987
Nick Deverdics,England,Midfielder,24/11/1987
Sean Devine,Ireland,Forward,06/09/1972
Danny Dichio,England,Forward,19/10/1974
Craig Dobson,Jamaica,Midfielder,23/01/1984
Tony Dolby,England,Midfielder,16/04/1974
John Doolan,England,Midfielder,07/05/1974
Paul Downing,England,Defender,26/10/1991
Mathew Doyle,England,Goalkeeper,
Manny Duku,Netherlands,Forward,28/12/1992
John Dunleavy,Ireland,Defender,03/07/1991
James Dunne,England,Midfielder,18/09/1989
Richard Dunwell,England,Forward,17/06/1971
Alex Dyer,England,Defender,14/11/1965
Anthony Edgar,England,Midfielder,30/09/1990
Ronnie Edwards,England,Midfielder,
Medy Elito,England,Midfielder,20/07/1990
Roy Essandoh,Northern Ireland,Forward,17/02/1976
Lester Finch,England,Forward,26/08/1909
Tony Finnigan,England,Midfielder,17/10/1962
Tom Flanagan,Northern Ireland,Defender,17/01/1992
Carl Fletcher,Wales,Midfielder,07/04/1980
Ross Flitney,England,Goalkeeper,01/06/1984
Wesley Fonguck,England,Midfielder,16/07/1997
Jon Ford,England,Midfielder,12/04/1968
David Forde,Ireland,Goalkeeper,20/12/1979
Jonathan Fortune,England,Defender,14/12/1980
George Francomb,England,Defender,08/09/1991
Tommy Fraser,England,Midfielder,05/12/1987
Dougie Freedman,Scotland,Forward,25/05/1974
Barry Fuller,England,Midfielder,25/08/1984
Paul Furlong,England,Forward,01/10/1968
Shaun Gale,England,Defender,08/10/1969
Kevin Gallen,England,Forward,21/09/1975
Luke Gambin,Malta,Midfielder,16/03/1993
Michael Gash,England,Forward,03/09/1986
Joe Gater,England,Defender,24/03/1997
Exodus Geohaghon,England,Defender,27/02/1985
Terry Gibson,England,Forward,23/12/1962
Kenny Gillet,France,Defender,03/01/1986
Morgaro Gomis,France,Midfielder,14/07/1985
Ryan Gondoh,England,Forward,06/06/1997
Warren Goodhind,South Africa,Defender,16/08/1977
Shane Gore,England,Goalkeeper,28/10/1981
Mark Gower,England,Midfielder,05/10/1978
Richard Graham,Northern Ireland,Midfielder,05/08/1979
Giuliano Grazioli,England,Forward,23/03/1975
Jimmy Greaves,England,Midfielder,20/02/1940
Phil Gridelet,England,Midfielder,17/09/1971
Adam Gross,England,Defender,16/02/1986
Kelly Haag,England,Forward,06/10/1970
Chris Hackett,England,Midfielder,01/03/1983
Warren Hackett,England,Defender,16/12/1971
Sead Hajrovic,Switzerland,Defender,04/06/1993
Mark Hall,England,Defender,13/01/1973
Des Hamilton,England,Midfielder,15/08/1976
Paul Harding,England,Midfielder,06/03/1964
Paul Hardyman,England,Defender,11/03/1964
Mike Harle,England,Defender,31/10/1972
James Harper,England,Midfielder,09/11/1980
Byron Harrison,England,Forward,15/06/1987
Lee Harrison,England,Goalkeeper,12/09/1971
Danny Hart,England,Midfielder,26/04/1989
Liam Hatch,England,Forward,03/04/1982
Austin Hayes,Ireland,Midfielder,15/07/1958
Junior Haynes,England,Midfielder,16/04/1976
Greg Heald,England,Defender,26/09/1971
Michael Hector,Jamaica,Defender,19/07/1992
Ian Hendon,England,Defender,05/12/1971
Loic Hernandez,England,Defender,07/11/1999
Andy Hessenthaler,England,Midfielder,17/08/1965
David Hillier,England,Midfielder,19/12/1969
Malakai Hinckson-Mars,England,Forward,01/12/1998
Carl Hoddle,England,Midfielder,08/03/1967
Lee Hodges,England,Midfielder,04/09/1973
Lewis Hogg,England,Midfielder,13/09/1982
Ricky Holmes,England,Forward,20/06/1987
Melvin Holwijn,Netherlands,Forward,02/01/1980
Duncan Horton,England,Defender,18/02/1967
Lee Howarth,England,Defender,03/01/1968
Gavin Hoyte,Trinidad & Tobago,Defender,06/06/1990
Will Huffer,England,Goalkeeper,30/10/1998
Mark Hughes,Northern Ireland,Midfielder,16/09/1983
David Hunt,England,Midfielder,10/09/1982
Jonathan Hunt,England,Forward,02/11/1971
Richard Huxford,England,Midfielder,25/07/1969
Jake Hyde,England,Forward,01/07/1990
Micah Hyde,Jamaica,Midfielder,10/11/1974
Andy Iro,England,Defender,26/11/1984
Mikhael Jaimez-Ruiz,Venezuela,Goalkeeper,12/07/1984
Chris James,New Zealand,Midfielder,04/07/1987
Albert Jarrett,Sierra Leone,Midfielder,23/10/1984
Rossi Jarvis,England,Midfielder,11/03/1988
Ross Jenkins,England,Midfielder,09/11/1990
Collins John,Netherlands,Forward,17/10/1985
Elliot Johnson,England,Defender,17/08/1994
Robert Johnson,England,Defender,22/02/1962
Zak Jules,Scotland,Defender,02/07/1997
Nick Jupp,England,Goalkeeper,06/05/1989
Steve Kabba,England,Forward,07/03/1981
Ran Kadoch,Israel,Goalkeeper,04/10/1985
Foday Kamara,Sierra Leone,Forward,29/10/1987
Clovis Kamdjo,Cameroon,Defender,15/12/1990
TrÃ©sor Kandol,Congo DR,Forward,30/08/1981
Dennis Kelleher,Ireland,Forward,20/11/1918
Danny Kelly,Ireland,Forward,18/10/1990
Charlie Kennedy,England,Midfielder,15/04/1997
Marlon King,Jamaica,Forward,26/04/1980
Simon King,England,Defender,11/04/1983
Kostas Konstantinou,Cyprus,Defender,24/09/1968
Michel Kuipers,Netherlands,Goalkeeper,26/06/1974
Nana Kyei,England,Midfielder,10/01/1998
Matthew Langston,England,Defender,02/04/1981
Ian Lawlor,Ireland,Goalkeeper,27/10/1994
Mark Lawrenson,Ireland,Defender,02/06/1957
