Name,Country,Position,Born
Adailton,Brazil,Forward,24/01/1977
Adilson,Brazil,Defender,06/01/1965
Adriano,Brazil,Forward,20/09/1974
Adriano,Brazil,Midfielder,10/06/1979
Adriano Chuva,Brazil,Forward,24/05/1979
Adriano Duarte,Brazil,Defender,30/01/1980
Ageu,Brazil,Defender,06/04/1972
Aguinaldo,Brazil,Defender,18/01/1978
Airton Moraes,Brazil,Goalkeeper,29/05/1994
Alan Ruschel,Brazil,Defender,23/08/1989
Alan Schons,Brazil,Midfielder,24/05/1993
Mauro Aldave,Uruguay,Forward,07/11/1984
AlÃª,Brazil,Midfielder,24/05/1981
AlemÃ£o,Brazil,Defender,29/11/1982
Alessandro,Brazil,Midfielder,02/03/1982
Alex Alves,Brazil,Forward,03/07/1975
Alex Cazumba,Brazil,Defender,30/06/1988
Alexandre,Brazil,Midfielder,15/08/1973
Allan,Brazil,Midfielder,16/04/1996
Amaral,Brazil,Midfielder,21/07/1989
Amoroso,Brazil,Forward,05/08/1989
Anderson,Brazil,Defender,14/12/1981
Anderson,Brazil,Defender,22/08/1986
Anderson,Brazil,Midfielder,05/04/1974
Anderson Marques,Brazil,Defender,06/02/1983
Anderson Pico,Brazil,Defender,04/11/1988
AndrÃ© Barata,Brazil,Midfielder,28/06/1984
AndrÃ© Doring,Brazil,Goalkeeper,25/06/1972
Andrezinho,Brazil,Midfielder,15/02/1985
AntÃ´nio Carlos,Brazil,Defender,18/05/1969
Ãlvaro ApÃ³lito,Uruguay,Forward,16/02/1989
Gustavo Aprile,Uruguay,Midfielder,10/08/1988
Arthur Taufer,Brazil,Forward,24/03/1999
Auecione,Brazil,Midfielder,26/09/1976
BabÃ¡,Brazil,Forward,14/06/1938
BarÃ£o,Brazil,Defender,22/06/1978
BÃ©rgson,Brazil,Forward,09/02/1991
Bertotto,Brazil,Midfielder,15/06/1993
Beto,Indonesia,Forward,31/12/1980
Bonfim,Brazil,Defender,24/07/1991
Borges Neto,Brazil,Defender,02/09/1976
Brenner Marlos,Brazil,Forward,01/03/1994
Breno,Brazil,Midfielder,24/01/1996
Bruninho,Brazil,Midfielder,18/09/1992
Bruno,Brazil,Forward,30/08/1985
Bruno Alves,Brazil,Forward,13/09/1992
Bruno CollaÃ§o,Brazil,Defender,08/03/1990
Bruno Henrique,Brazil,Midfielder,31/01/1998
Bruno LanÃ§a,Brazil,Midfielder,18/02/1983
Bruno Luiz,Brazil,Forward,09/09/1984
Bruno Ribeiro,Brazil,Defender,01/04/1983
