Name,Country,Position,Born
Giovanni Abate,Italy,Forward,02/07/1981
MathÃ­as Abero,Uruguay,Defender,09/04/1990
Alessio Abibi,Albania,Goalkeeper,04/12/1996
Giuseppe Abruzzese,Italy,Defender,17/05/1981
Acampora,Italy,Defender,
Andrea Agostinelli,Italy,Midfielder,20/04/1957
Diego Albadoro,Italy,Forward,26/02/1989
Massimo Albiero,Italy,Defender,18/05/1960
Marcello Albino,Italy,Midfielder,07/10/1971
Gabriele Aldegani,Italy,Goalkeeper,10/05/1976
Angelo Alessio,Italy,Midfielder,29/04/1965
Luis Alfageme,Argentina,Forward,17/12/1984
Gerardo Alfano,Italy,Midfielder,13/09/1982
Riccardo Allegretti,Italy,Midfielder,15/02/1978
Alberto Almici,Italy,Defender,11/01/1993
Mattia Altobelli,Italy,Forward,17/08/1983
Carmine Amato,Italy,Goalkeeper,21/04/1965
Raffaele Ametrano,Italy,Midfielder,15/02/1973
Roberto Amodio,Italy,Defender,20/04/1957
Enrico Amore,Italy,Midfielder,17/10/1974
Luca Amoruso,Italy,Forward,15/11/1975
Giuseppe Anaclerio,Italy,Midfielder,26/01/1974
Luca Anania,Italy,Goalkeeper,21/06/1980
Maurizio Anastasi,Italy,Midfielder,15/01/1977
Nikos Anastopoulos,Greece,Forward,22/01/1958
Marco Andreotti,Italy,Midfielder,30/03/1977
Arnor Angeli,Belgium,Midfielder,25/02/1991
Federico Angiulli,Italy,Midfielder,04/03/1992
Antonio Arcadio,Italy,Forward,01/11/1972
Luciano Arciello,Italy,Forward,11/05/1998
Dario Arcuri,Italy,Midfielder,26/01/1985
Matteo Ardemagni,Italy,Forward,26/03/1987
Mariano Arini,Italy,Midfielder,17/01/1987
Andrea Armellini,Italy,Goalkeeper,02/07/1970
Andrea Arrighini,Italy,Forward,06/06/1990
Marco Ascenzi,Italy,Forward,26/10/1981
RaÃºl Asencio,Spain,Forward,20/05/1998
Patrick Asmah,Ghana,Defender,25/01/1996
Willy Aubameyang,Gabon,Forward,16/02/1987
Salvatore Avallone,Italy,Midfielder,30/08/1969
Renato Aversano,Italy,Defender,09/06/1960
BabÃº,Brazil,Forward,23/12/1980
Michele Bacis,Italy,Defender,22/10/1979
Stefano Bagalini,Italy,Midfielder,18/03/1981
Salvatore Bagni,Italy,Midfielder,25/09/1956
Francesco Baiano,Italy,Forward,24/02/1968
Ivano Baldanzeddu,Italy,Defender,11/04/1986
Paolo Baldieri,Italy,Forward,02/02/1965
GerÃ³nimo Barbadillo,Peru,Forward,29/09/1954
Davide Bariti,Italy,Defender,07/09/1991
Piero Basili,Italy,Forward,01/10/1947
Paolo Bastianello,Italy,Goalkeeper,14/02/1998
Samuel Bastien,Belgium,Midfielder,26/09/1996
Batista,Brazil,Midfielder,08/03/1955
Lorenzo Battaglia,Italy,Midfielder,23/04/1968
Andrea Bavena,Italy,Goalkeeper,04/03/1990
Ermanno Beccati,Italy,Forward,11/02/1952
Alessandro Belleri,Italy,Forward,10/02/1985
NiccolÃ² Belloni,Italy,Midfielder,10/07/1994
Fabio Bellotti,Italy,Midfielder,26/03/1972
Francesco Bellucci,Italy,Defender,23/02/1973
Paolo Benedetti,Italy,Midfielder,01/04/1961
Rosario Bennardo,Italy,Defender,23/05/1977
Alberto Bergossi,Italy,Forward,25/06/1959
Lucio Bernardini,Italy,Midfielder,27/09/1960
Francesco Bertolo,Italy,Defender,20/07/1991
Dante Bertoneri,Italy,Midfielder,10/08/1963
Alessandro Bertoni,Italy,Forward,15/02/1959
Salvatore Bertuccelli,Italy,Forward,25/09/1966
Paolo Beruatto,Italy,Defender,02/01/1957
Walter Biagini,Italy,Defender,22/08/1961
Gianluigi Bianco,Italy,Defender,11/05/1989
Tommaso Bianco,Italy,Goalkeeper,06/10/1994
Raffaele Biancolino,Italy,Forward,14/08/1977
Cristian Biancone,Italy,Forward,05/11/1977
Soufiane Bidaoui,Belgium,Forward,20/04/1990
Davide Biraschi,Italy,Defender,02/07/1994
Antonio Bitetti,Italy,Midfielder,17/09/1974
Luca Bittante,Italy,Defender,14/08/1993
Fabrizio Boccaccini,Italy,Defender,04/01/1972
Mauro Boccafresca,Italy,Midfielder,18/01/1962
Enio Bonaldi,Italy,Forward,07/03/1964
Mario Bonfiglio,Italy,Forward,15/05/1974
Simone Bonomi,Italy,Defender,08/11/1980
Diego Bortoluzzi,Italy,Midfielder,23/09/1966
Giorgio Boscolo,Italy,Midfielder,23/02/1955
Stanislao Bozzi,Italy,Forward,02/11/1951
Andrea Bracaletti,Italy,Forward,17/01/1983
Maurizio Braghin,Italy,Defender,17/07/1959
Fabio Brini,Italy,Goalkeeper,01/05/1957
Francesco Bruno,Italy,Defender,23/01/1990
Giovanni Bucaro,Italy,Defender,20/11/1970
Viktor Budyanskiy,Russia,Midfielder,12/01/1984
Luigi Bugiardini,Italy,Midfielder,23/08/1971
Bryan Cabezas,Ecuador,Midfielder,20/03/1997
Gaetano CalÃ  Campana,Italy,Midfielder,06/09/1978
Umberto Calcagno,Italy,Midfielder,06/09/1970
Mario Calosi,Italy,Defender,17/07/1944
Eugenio Calvarese,Italy,Defender,19/05/1992
Idrissa CamarÃ¡,Guinea-Bissau,Midfielder,20/07/1993
Francesco Campanella,Italy,Defender,30/01/1989
Salvatore Campilongo,Italy,Forward,01/09/1961
Antonio Capone,Italy,Forward,13/06/1953
Marco Capparella,Italy,Midfielder,28/03/1975
Antonio Carannante,Italy,Defender,23/06/1965
Francesco Carbone,Italy,Defender,04/01/1980
Tommaso Carbonelli,Italy,Midfielder,05/05/2000
Alfredo Cardinale,Italy,Midfielder,20/08/1976
Roberto Cardinale,Italy,Defender,12/06/1981
Angelo Carella,Italy,Forward,04/05/1949
Gaetano Caridi,Italy,Midfielder,22/07/1980
Andrea Carnevale,Italy,Forward,12/01/1961
Tiziano Carnevali,Italy,Defender,22/02/1978
Filippo Carobbio,Italy,Midfielder,15/10/1979
Angelo Casadei,Italy,Goalkeeper,08/01/1988
Pasquale Casale,Italy,Midfielder,02/03/1959
Armando Cascione,Italy,Defender,20/03/1961
Patrizio Caso,Italy,Defender,28/02/1987
Luigi Castaldo,Italy,Forward,02/05/1982
Giuseppe Castiglione,Italy,Midfielder,20/01/1970
Emanuele Catania,Italy,Midfielder,15/03/1981
Fabrizio Catelli,Italy,Midfielder,06/11/1969
Cesare Cattaneo,Italy,Defender,10/08/1951
Davide Cattaneo,Italy,Defender,23/06/1982
Alberto Cavasin,Italy,Defender,09/01/1956
Giancarlo Ceccarelli,Italy,Midfielder,31/08/1956
Antonio Ceccarini,Italy,Defender,18/10/1949
Andrea Cecchini,Italy,Midfielder,07/07/1972
Domenico Cecere,Italy,Goalkeeper,14/12/1972
Costanzo Celestini,Italy,Midfielder,14/05/1961
Vedran Celjak,Croatia,Defender,13/08/1991
Giancarlo Centi,Italy,Midfielder,14/05/1959
Vincenzo Cerbone,Italy,Midfielder,30/09/1969
Ersilio Cerone,Italy,Defender,20/02/1962
Giovanni Cervone,Italy,Goalkeeper,16/11/1962
Gabriel Charpentier,France,Forward,17/05/1999
NicolÃ² Cherubin,Italy,Defender,02/12/1986
Vincenzo Chiarenza,Italy,Forward,27/09/1954
Vito Chimenti,Italy,Forward,09/12/1953
Marco Chiosa,Italy,Defender,19/11/1993
Camillo Ciano,Italy,Forward,22/02/1990
Maurizio Ciaramitaro,Italy,Midfielder,16/01/1982
Luciano Cilona,Italy,Defender,31/01/1961
Daniele Cinelli,Italy,Midfielder,05/10/1975
Gianfranco Cinello,Italy,Forward,08/04/1962
Nicola Ciotola,Italy,Forward,28/03/1984
Giacomo Cipriani,Italy,Forward,28/10/1980
Enrico Citro,Italy,Midfielder,24/03/1991
Mariano Coccia,Italy,Goalkeeper,08/02/1962
Armando Colafrancesco,Italy,Midfielder,04/10/1951
Stefano Colantuono,Italy,Defender,23/10/1962
Marco Colle,Italy,Defender,18/03/1976
Angelo Colletta,Italy,Defender,03/05/1948
Franco Colomba,Italy,Midfielder,06/02/1955
Angelo Colombo,Italy,Midfielder,24/02/1961
Luca Comentale,Italy,Defender,20/04/1996
Gianmario Comi,Italy,Forward,05/03/1992
Lucas Cominelli,Argentina,Midfielder,25/12/1976
Giuseppe Compagno,Italy,Forward,25/08/1967
Giovanni Console,Italy,Forward,18/02/1944
Raffaele Constantino,Italy,Forward,18/11/1975
Alessandro Conticchio,Italy,Midfielder,19/01/1974
Matteo Contini,Italy,Defender,16/04/1980
Riccardo Corallo,Italy,Defender,31/03/1980
Mario Corcione,Italy,Midfielder,18/04/2001
Franco Cordova,Italy,Midfielder,21/06/1944
Lucas Correa,Argentina,Midfielder,03/02/1984
Francesco Cosenza,Italy,Defender,05/02/1986
Paolo Cozzi,Italy,Defender,11/01/1974
Luca Crecco,Italy,Forward,06/09/1995
Leo Criaco,Italy,Midfielder,26/12/1973
Antonio Criniti,Italy,Forward,29/10/1970
Antonino Criscimanni,Italy,Midfielder,10/11/1957
Eliseo Croci,Italy,Defender,10/12/1948
Giovanni Cucca,Italy,Midfielder,
Mirko Cudini,Italy,Defender,01/09/1973
Andrea Cuicchi,Italy,Defender,29/11/1967
Marcos Curado,Argentina,Defender,09/05/1995
Fiorenzo D'Ainzara,Italy,Forward,23/01/1973
Alessio D'Andrea,Italy,Defender,09/09/1981
Angelo D'Angelo,Italy,Midfielder,18/09/1985
Giuseppe D'Arienzo,Italy,Goalkeeper,26/04/1993
Guido D'Attilio,Italy,Midfielder,07/01/1994
Nicola D'Ottavio,Italy,Forward,04/04/1959
Franco da Dalt,Argentina,Midfielder,10/09/1987
Nello Dal Corso,Italy,Defender,06/07/1960
Luigino Dal PrÃ ,Italy,Midfielder,16/02/1961
Paulin Damo,Cameroon,Defender,10/11/1994
Tomas DanileviÄius,Lithuania,Forward,18/07/1978
Gianluca De Angelis,Italy,Forward,25/05/1981
Stefano de Angelis,Italy,Defender,23/05/1974
Matteo De Gol,Italy,Defender,15/04/1989
Emiliano De Juliis,Italy,Midfielder,08/02/1971
Julio de LeÃ³n,Honduras,Midfielder,13/09/1979
Fabio De Luca,Italy,Forward,01/11/1981
Juri de Marco,Italy,Goalkeeper,12/07/1984
Rocco De Marco,Italy,Midfielder,04/05/1963
Simone De Marco,Italy,Midfielder,14/01/1994
Raffaele De Martino,Italy,Midfielder,08/04/1986
Massimo de Martis,Italy,Defender,08/10/1974
Fernando De Napoli,Italy,Midfielder,15/03/1964
Roberto De Palma,Italy,Forward,07/06/1976
Gil De Ponti,Italy,Forward,14/07/1952
Carlo De Risio,Italy,Midfielder,03/06/1991
Domenico De Simone,Italy,Midfielder,10/06/1975
Alessandro De Vena,Italy,Forward,04/12/1992
Andrea De Vito,Italy,Defender,27/11/1991
Roberto De Zerbi,Italy,Midfielder,06/06/1979
Saulo Decarli,Switzerland,Defender,04/02/1992
Bigio Del Giudice,Italy,Goalkeeper,10/07/1988
Francesco Della Monica,Italy,Midfielder,23/06/1960
Ivano Della Morte,Italy,Midfielder,13/10/1974
Francesco Della Rocca,Italy,Midfielder,14/09/1987
Francesco Dettori,Italy,Midfielder,02/03/1983
Domenico Di Cecco,Italy,Midfielder,20/05/1983
Valerio Di Cesare,Italy,Defender,23/05/1983
Dario Di Giannatale,Italy,Forward,22/09/1969
Michele Di Gregorio,Italy,Goalkeeper,27/07/1997
Nicola Di Leo,Italy,Goalkeeper,07/01/1960
Giuseppe Di Masi,Italy,Goalkeeper,16/07/1981
Fabrizio Di Mauro,Italy,Midfielder,18/06/1965
Alessandro Di Paolantonio,Italy,Midfielder,31/12/1992
Claudio Di Pucchio,Italy,Forward,09/08/1944
Andrea Di Salvatore,Italy,Defender,10/06/1973
