Name,Country,Position,Born
Juan Abarca,Chile,Defender,07/12/1988
Luis Abarca,Chile,Defender,28/06/1965
Albert Acevedo,Chile,Defender,06/05/1983
Raimundo Achondo,Chile,Midfielder,
Oscar Acosta,Argentina,Midfielder,18/10/1964
Clarence AcuÃ±a,Chile,Midfielder,08/02/1975
Luis Alamos,Chile,Midfielder,25/12/1923
Lucas AlarcÃ³n,Chile,Defender,05/03/2000
Manuel Albanez,Chile,Defender,
Herly AlcÃ¡zar,Colombia,Forward,30/10/1976
Carlos Alfaro,Chile,Goalkeeper,29/05/1991
JuliÃ¡n Alfaro,Chile,Forward,02/09/2001
Ernesto Ãlvarez,Chile,Midfielder,10/08/1928
Ezequiel Amaya,Argentina,Forward,20/02/1978
RaÃºl Angulo,Chile,Defender,29/11/1937
Eduardo Arancibia,Chile,Midfielder,20/07/1976
Francisco Arancibia,Chile,Forward,12/11/1996
Franz Arancibia,Chile,Forward,07/04/1967
Charles ArÃ¡nguiz,Chile,Midfielder,17/04/1989
Esteban ArÃ¡nguiz,Chile,Midfielder,1948
Pablo ArÃ¡nguiz,Chile,Midfielder,17/03/1997
Angelo Araos,Chile,Midfielder,06/01/1997
Pedro Araya,Chile,Forward,23/01/1942
MartÃ­n Arenas,Chile,Forward,23/01/1997
Salvador Arenas,Chile,Midfielder,
Mauricio Arias,Chile,Midfielder,27/10/1984
ArÃ­lson,Brazil,Midfielder,11/06/1973
Mauricio Aros,Chile,Defender,09/03/1976
Carlos Arratia,Chile,Midfielder,
Francisco ArruÃ©,Chile,Midfielder,07/08/1977
Johnny Ashwell,Paraguay,Midfielder,01/02/1954
Faustino Asprilla,Colombia,Forward,10/11/1969
Baltazar Astorga,Chile,Defender,16/06/1982
Manuel Astorga,Chile,Goalkeeper,15/05/1937
Rodrigo Astudillo,Argentina,Forward,23/11/1977
Walter Avalos,Paraguay,Midfielder,08/02/1976
Lucas AveldaÃ±o,Argentina,Defender,19/07/1985
MoisÃ©s Ãvila,Chile,Midfielder,13/04/1974
Ignacio Azua,Chile,Goalkeeper,23/06/1998
Richart BÃ¡ez,Paraguay,Forward,31/07/1973
Mario Baeza,Chile,Defender,
JosÃ© Balbuena,Chile,Midfielder,
Jaime Barrera,Chile,Forward,
Rodrigo Barrera,Chile,Forward,30/03/1970
Ãlvaro Barrios,Chile,Midfielder,13/01/1997
Augusto Barrios,Chile,Defender,03/10/1991
VÃ­ctor BascuÃ±an,Chile,Defender,
Jean Beausejour,Chile,Defender,01/06/1984
Ariel Beltramo,Argentina,Forward,20/08/1969
Jaime Benavente,Chile,Forward,
Leandro Benegas,Argentina,Forward,27/11/1988
Vladimir Bigorra,Chile,Defender,09/08/1954
Eduardo Bonvallet,Chile,Midfielder,13/01/1955
Christian Bravo,Chile,Forward,01/10/1993
Hugo Bravo,Chile,Midfielder,05/02/1972
Mario BriceÃ±o,Chile,Forward,20/06/1996
Felipe Brito,Chile,Forward,15/02/1996
Carlos Bueno,Uruguay,Forward,10/05/1980
Miguel Busquets,Chile,Midfielder,15/10/1920
Giovanni Bustos,Chile,Midfielder,25/05/2000
