Name,Country,Position,Born
Alex Alves,Brazil,Forward,30/12/1974
Anderson Luiz,Brazil,Defender,18/04/1982
AndrÃ© Luis,Brazil,Forward,19/02/1986
AndrÃ© LuÃ­s,Brazil,Defender,31/07/1979
Anselmo,Brazil,Forward,24/10/1980
AntÃ´nio Carlos,Brazil,Defender,22/06/1983
Bernardo Lopes,Brazil,Midfielder,09/04/2001
Bruno Costa,Brazil,Defender,15/01/1987
Bruno Moreno,Brazil,Midfielder,23/04/1986
Bruno Moura,Brazil,Defender,13/07/1992
Caio CÃ©zar,Brazil,Forward,26/12/1995
Caio Dantas,Brazil,Forward,19/02/1993
Caio Monteiro,Brazil,Forward,10/02/1997
Carlos Alberto,Brazil,Midfielder,22/10/1980
Cascata,Brazil,Midfielder,02/06/1982
Christianno,Brazil,Defender,29/10/1991
Douglas Pedroso,Brazil,Midfielder,03/06/1989
Edu Pina,Brazil,Defender,23/01/1989
ElivÃ©lton,Brazil,Defender,10/05/1992
Erick Daltro,Brazil,Defender,17/01/1993
Erick Flores,Brazil,Midfielder,30/04/1989
Everton Silva,Brazil,Defender,04/08/1988
Fabiano Oliveira,Brazil,Forward,06/03/1987
FÃ¡bio Braz,Brazil,Defender,12/02/1978
Faioli,Brazil,Forward,22/11/1983
Felipe AdÃ£o,Brazil,Forward,26/11/1985
Felipe Augusto,Brazil,Forward,18/02/1995
Fellype Gabriel,Brazil,Midfielder,06/12/1985
Fernando Bob,Brazil,Midfielder,07/01/1988
Carlos Frontini,Argentina,Forward,19/08/1981
Gabriel,Brazil,Goalkeeper,16/02/1995
Gabriel Cassimiro,Brazil,Defender,29/09/1993
GalvÃ£o,Brazil,Forward,08/07/1982
GenÃ­lson,Brazil,Defender,27/10/1990
Guilherme Costa,Brazil,Midfielder,31/03/1994
Gustavo Geladeira,Brazil,Defender,20/02/1986
Ãcaro Silva,Brazil,Defender,16/04/1989
Jean,Brazil,Defender,01/07/1994
JÃ©ferson,Brazil,Midfielder,15/07/1984
Jefferson Renan,Brazil,Forward,18/03/1993
Joilson,Brazil,Midfielder,07/07/1979
JÃºlio CÃ©sar,Brazil,Midfielder,22/05/1989
JÃºlio CÃ©sar,Brazil,Defender,15/06/1982
Kadu Fernandes,Brazil,Defender,02/03/1995
KlÃ©ver,Brazil,Goalkeeper,20/06/1989
LeandrÃ£o,Brazil,Forward,18/07/1983
Leandro Alves,Brazil,Forward,30/11/1980
Leandro Chaves,Brazil,Midfielder,19/04/1984
Lenny,Brazil,Forward,23/03/1988
LÃ©o Pimenta,Brazil,Midfielder,18/11/1982
LÃ©o Rodrigues,Brazil,Defender,06/04/1991
Lucas Perdomo,Brazil,Midfielder,01/04/1996
Lucas Rocha,Brazil,Defender,19/06/1995
Luis Soares,Brazil,Forward,30/06/1991
LuÃ­z,Brazil,Forward,14/09/1986
Luiz Alberto,Brazil,Defender,01/12/1977
Maicon,Brazil,Defender,10/03/1993
Mancuso,Brazil,Midfielder,01/07/1981
Marcelo CarnÃ©,Brazil,Goalkeeper,06/02/1990
Marcelo Manfredini,Brazil,Midfielder,11/04/1996
Marcelo NicÃ¡cio,Brazil,Forward,05/01/1983
MÃ¡rcio Costa,Brazil,Defender,03/08/1995
Marlon,Brazil,Midfielder,21/12/1997
Marlon Silva,Brazil,Forward,05/02/1990
Marquinho,Brazil,Midfielder,25/09/1989
Michel,Brazil,Midfielder,12/05/1997
Milton Raphael,Brazil,Goalkeeper,11/05/1991
Mosquito,Brazil,Forward,06/01/1996
Pachu,Brazil,Forward,26/02/1996
Patrick Carvalho,Brazil,Forward,06/02/1997
Paulo Rodrigues,Brazil,Defender,08/02/1981
Pedro Botelho,Brazil,Midfielder,14/12/1989
Rafael,Brazil,Goalkeeper,24/03/1984
Rafael Oliveira,Brazil,Forward,06/07/1983
Raphael Augusto,Brazil,Midfielder,06/03/1991
Renan Donizete,Brazil,Midfielder,05/10/1995
Renan Silva,Brazil,Midfielder,02/01/1989
Robert,Brazil,Midfielder,28/09/1996
Robson,Brazil,Midfielder,19/08/1982
Rodrigo Beckham,Brazil,Forward,08/07/1976
RomÃ¡rio,Brazil,Forward,15/01/1992
Santiago,Brazil,Defender,18/02/1980
Sheslon,Brazil,Defender,04/01/1987
Silvio Luiz,Brazil,Goalkeeper,01/03/1977
Stephano,Brazil,Midfielder,29/03/1995
TÃ¡cio,Brazil,Midfielder,21/01/1988
TartÃ¡,Brazil,Midfielder,13/04/1989
TÃªti,Brazil,Midfielder,29/01/1979
Thiago,Brazil,Goalkeeper,10/03/1984
Thiago Coimbra,Brazil,Forward,06/01/1983
Thiago Leal,Brazil,Goalkeeper,26/07/1984
Thiaguinho,Brazil,Midfielder,14/06/1985
Thiaguinho,Brazil,Midfielder,22/11/1984
Tony,Brazil,Forward,29/05/1986
Vagner EugÃªnio,Brazil,Defender,18/11/1983
Victor Pereira,Brazil,Defender,24/04/1992
Vitor,Brazil,Goalkeeper,15/04/1985
Vitor FaÃ­sca,Brazil,Midfielder,16/04/1989
VÃ­tor Hugo,Brazil,Midfielder,16/01/1993
VÃ­tor Saba,Brazil,Defender,11/07/1990
Wellington Silva,Brazil,Defender,06/03/1988
Willian MaranhÃ£o,Brazil,Midfielder,14/12/1995
Xaves,Brazil,Midfielder,27/02/1986
ZÃ© Eduardo,Brazil,Midfielder,16/08/1991
ZÃ© Ricardo,Brazil,Midfielder,03/02/1999
