Name,Country,Position,Born
LassaÃ¢d Abdelli,Tunisia,Forward,18/09/1960
Florian Abel,Germany,Midfielder,14/08/1989
Timo Achenbach,Germany,Defender,03/09/1982
Henry Acquah,Ghana,Forward,31/08/1965
Bernhard Adamczak,Germany,Midfielder,20/09/1953
Daniel Adlung,Germany,Midfielder,01/10/1987
Tobias Ahrens,Germany,Forward,09/04/1993
Marvin Ajani,Germany,Defender,04/10/1993
Senol Ak,Germany,Midfielder,14/03/1997
Ralf Albarus,Germany,Defender,25/12/1965
Luan Aliu,Belgium,Midfielder,29/07/1975
Engelbert Alt,Germany,Midfielder,10/04/1902
Hans Altenkamp,Germany,,
Kristoffer Andersen,Denmark,Midfielder,09/12/1985
Muja Arifi,Germany,Midfielder,03/08/2000
Tolgay Arslan,Germany,Midfielder,16/08/1990
Benjamin Auer,Germany,Forward,11/01/1981
Ralf Augustin,Germany,Forward,27/09/1960
Ilias Azaouaghi,Germany,Midfielder,21/06/1996
Fabian BÃ¤cker,Germany,Forward,28/05/1990
Yunus Balaban,Germany,Midfielder,24/02/1984
Helmut Balke,Germany,Midfielder,22/11/1949
Bartholemy,Germany,Forward,
GÃ¼nther Bartholot,Germany,Midfielder,18/12/1936
Clirim Bashi,Albania,Defender,05/02/1971
Stipe Batarilo-Cerdic,Croatia,Midfielder,17/11/1993
Frederic Baum,Germany,Midfielder,01/08/2000
Dieter Baumanns,Germany,Forward,15/09/1948
Fabian BaumgÃ¤rtel,Germany,Defender,07/07/1989
Carl Baurmann,Germany,,21/09/1885
Clemens Baurmann,Germany,Forward,09/05/1888
JÃ¼rgen Baurmann,Germany,Midfielder,11/03/1935
Xaver Baurmann,Germany,,12/04/1892
Thierry Bayock,Cameroon,Midfielder,27/08/1979
Vladimir Beara,Croatia,Goalkeeper,02/11/1928
Karl-Heinz Bechmann,Germany,Midfielder,07/02/1944
Edwin Bediako,Ghana,Defender,02/11/1980
Josef Behr,Germany,Forward,
Kevin Behrens,Germany,Forward,03/02/1991
Jonathan Benteke,Belgium,Forward,01/01/1995
Manuel Benthin,Germany,Midfielder,03/03/1979
Dietmar Berchtold,Austria,Midfielder,06/08/1974
Willi Bergstein,Germany,Forward,04/08/1939
Werner Bertrams,Germany,Midfielder,14/08/1958
JÃ¶rg Beyel,Germany,Midfielder,02/10/1969
Stefan Blank,Germany,Defender,10/03/1977
Josef BlÃ¤ser,Germany,Defender,11/12/1952
Andreas Bluhm,Germany,Midfielder,21/12/1973
Marco BÃ¶ckel,Germany,Goalkeeper,
Vincent Boesen,Germany,Forward,23/09/1998
Josef Boeven,Germany,,26/03/1889
Marian Bogatzki,Germany,,26/08/1972
Adolf BÃ¶hm,Germany,Midfielder,23/05/1935
Heinz BÃ¶hmann,Germany,Goalkeeper,14/06/1962
Arnold BÃ¶hnen,Germany,Forward,12/01/1949
Withold Bolda,Germany,Defender,26/04/1974
Klaus-Dieter Bone,Germany,Forward,09/08/1954
Jupp Bonnie,Germany,Forward,11/05/1921
Freddy Borg,Sweden,Forward,27/11/1983
David Bors,Germany,Forward,13/04/1995
Juan-Carlos Borteiro,Uruguay,Forward,19/05/1943
Kai BÃ¶sing,Germany,Midfielder,07/03/1994
Dietmar Bozek,Germany,,05/11/1971
Rolf Brandenburg,Germany,Forward,14/03/1951
Andreas Brandts,Germany,Midfielder,09/04/1962
Timo Brauer,Germany,Midfielder,30/05/1990
Mirko Braun,Germany,Defender,04/10/1969
Marvin Brauweiler,Germany,Defender,14/12/1991
Josef Bredohl,Germany,Forward,
GÃ¼nter Breitzke,Germany,Midfielder,29/06/1967
Christian Breuer,Germany,Defender,24/04/1939
Franz-Josef Breuer,Germany,Midfielder,09/09/1948
Heinz Breuer,Germany,Defender,01/06/1928
Moritz Breuer,Germany,,30/03/1886
Daniel Brinkmann,Germany,Midfielder,29/01/1986
Dennis Brinkmann,Germany,Defender,22/11/1978
Manfred Britz,Germany,Forward,19/02/1937
Werner Brodermanns,Germany,Midfielder,22/10/1957
Hans Broichhausen,Germany,Forward,12/08/1942
Hans-JÃ¼rgen Brunner,Germany,Midfielder,02/02/1965
Florian Bruns,Germany,Midfielder,21/08/1979
Severin Buchta,Germany,Midfielder,14/02/1997
Leo Bunk,Germany,Forward,23/10/1962
Josef Burger,Germany,Defender,
Jozsef Burjan,Hungary,Midfielder,20/04/1935
Thorsten Burkhardt,Germany,Midfielder,21/05/1981
Norbert Buschlinger,Germany,Midfielder,06/12/1957
Olivier Caillas,Germany,Midfielder,02/12/1977
Pietro Callea,Italy,Midfielder,04/09/1969
Mirko Casper,Germany,Defender,01/03/1982
Dirk Caspers,Germany,Defender,31/05/1980
Roger Claessen,Belgium,Forward,26/09/1941
Hubert Clute-Simon,Germany,Midfielder,05/07/1955
