Name,Country,Position,Born
Ignazio Abate,Italy,Defender,12/11/1986
Pietro Accardi,Italy,Defender,12/09/1982
Afriyie Acquah,Ghana,Midfielder,05/01/1992
Marcello Agnoletto,Italy,Midfielder,02/01/1932
Alejandro RodrÃ­guez,Spain,Forward,30/07/1991
Simone Aloe,Italy,Forward,05/09/1978
Ricardo Ãlvarez,Argentina,Midfielder,12/04/1988
Marco Ambrosio,Italy,Goalkeeper,30/05/1973
Nicola Amoruso,Italy,Forward,29/08/1974
Stanley Amuzie,Nigeria,Defender,28/02/1996
Joachim Andersen,Denmark,Defender,31/05/1996
Angelo da Costa,Brazil,Goalkeeper,12/11/1983
Ãngelo Sormani,Brazil,Forward,03/07/1939
Luca Antonini,Italy,Midfielder,04/08/1982
Francesco Antonioli,Italy,Goalkeeper,14/09/1969
Dionisio Arce,Paraguay,Forward,12/06/1927
Osvaldo Arecco,Italy,Defender,27/01/1955
Pietro Arnulfo,Italy,Forward,13/09/1988
Domenico Arnuzzo,Italy,Defender,06/05/1947
Ivan Artipoli,Italy,Defender,24/03/1986
Fabio Aselli,Italy,Forward,19/10/1962
Emil Audero,Italy,Goalkeeper,18/01/1997
Tommaso Augello,Italy,Defender,30/08/1994
Gianluca Austoni,Italy,Forward,04/02/1994
Lorenzo Avogadri,Italy,Goalkeeper,21/08/2001
Roberto Badiani,Italy,Midfielder,09/10/1949
Mohamed Bahlouli,France,Midfielder,17/02/2000
Ibourahima BaldÃ© BaldÃ©,Spain,Forward,23/03/1999
Giuseppe Baldini,Italy,Forward,11/03/1922
David Balleri,Italy,Defender,28/03/1969
Bambo Diaby,Spain,Defender,17/12/1997
Claudio Bandoni,Italy,Goalkeeper,05/08/1939
Antonino BarillÃ ,Italy,Midfielder,01/04/1988
Paolo Barison,Italy,Forward,23/06/1936
Edgar Barreto,Paraguay,Midfielder,15/07/1984
Adriano Bassetto,Italy,Forward,08/09/1925
Alessandro Bastrini,Italy,Defender,03/04/1987
Massimo Battara,Italy,Goalkeeper,01/01/1963
Pietro Battara,Italy,Goalkeeper,21/07/1936
Denis Baumgartner,Slovakia,Midfielder,02/02/1998
Fabio Bazzani,Italy,Forward,20/10/1976
Evaristo Beccalossi,Italy,Midfielder,12/05/1956
Gianfranco Bedin,Italy,Midfielder,24/07/1945
Maurizio Bedin,Italy,Midfielder,09/02/1979
Vid Belec,Slovenia,Goalkeeper,06/06/1990
Gianfranco Bellotto,Italy,Midfielder,02/07/1949
Claudio Bellucci,Italy,Forward,31/05/1975
Stefano Beltrame,Italy,Forward,08/02/1993
Leonardo Benedetti,Italy,Midfielder,06/06/2000
Romeo Benetti,Italy,Midfielder,20/10/1945
