Name,Country,Position,Born
Arsim Abazi,North Macedonia,Defender,28/11/1972
Florim Abazi,North Macedonia,Midfielder,28/01/1994
Mohamadou Abdouraman,Cameroon,Midfielder,24/01/1984
Ferat Abdula,North Macedonia,Goalkeeper,24/03/1982
Xhelil Abdulla,North Macedonia,Defender,25/09/1991
Saban Abduramoni,North Macedonia,Midfielder,
Ermadin Adem,North Macedonia,Midfielder,07/07/1990
Festim Ademi,North Macedonia,Midfielder,10/09/1977
Ilirid Ademi,North Macedonia,Forward,04/03/1995
Besim Adili,North Macedonia,Goalkeeper,18/10/1987
Murat Adili,North Macedonia,Forward,22/09/1992
Fljakron Ajdari,North Macedonia,Forward,20/08/1993
Iljber Ali,North Macedonia,Forward,01/05/1979
Amir Aliji,North Macedonia,Defender,09/12/1981
Ilber Aliju,North Macedonia,Forward,07/05/1979
Besim Alili,North Macedonia,Goalkeeper,08/10/1987
Armend Aliu,North Macedonia,Midfielder,26/04/1996
Marjan Andonov,North Macedonia,Forward,20/12/1985
Aleksandar Angelovski,North Macedonia,Midfielder,11/07/1986
Elmedin Asani,North Macedonia,Forward,
Ersen Asani,North Macedonia,Defender,28/05/1993
Artan Baftiari,North Macedonia,Forward,18/12/1988
Arlind Bajrami,North Macedonia,Defender,05/11/1995
Muharem Bajrami,North Macedonia,Midfielder,29/11/1985
Agron Beciri,North Macedonia,Midfielder,
Ilber Bekiri,North Macedonia,Defender,27/12/1999
Argjend Bekjiri,North Macedonia,Midfielder,03/04/1975
Lutfi Bilali,North Macedonia,Forward,14/04/1992
Antonio BujÄevski,North Macedonia,Forward,24/01/1990
Jasmin Äampara,Bosnia-Herzegovina,Forward,08/05/1990
Dejan Cvetanoski,North Macedonia,Forward,15/05/1990
Bujamin Dauti,North Macedonia,Midfielder,09/07/1992
Nasir Dauti,North Macedonia,Defender,30/09/1992
Ardit Demiri,North Macedonia,Midfielder,22/01/2001
Vladimir Despotovski,North Macedonia,Defender,05/10/1977
UroÅ¡ ÄuriÄ,Serbia,Goalkeeper,01/12/1993
Andreja Efremov,North Macedonia,Goalkeeper,02/09/1992
Armend Elezi,North Macedonia,Goalkeeper,20/04/1980
Izair Emini,North Macedonia,Midfielder,04/10/1985
Vulnet Emini,North Macedonia,Midfielder,10/09/1978
Burhan Emurlahu,North Macedonia,Midfielder,13/03/1982
Furkan Etemi,North Macedonia,Defender,03/03/1992
Nermin FatiÄ,Bosnia-Herzegovina,Midfielder,28/11/1976
Fernando Silva,Brazil,Midfielder,18/05/1991
Ersin Fetahi,North Macedonia,Midfielder,01/08/1996
Saimir Fetai,North Macedonia,Midfielder,04/04/1989
Argjent Gafuri,North Macedonia,Midfielder,30/03/1988
Fisnik Gashi,Kosovo,Midfielder,22/12/1980
Alush Gavazaj,Kosovo,Midfielder,24/03/1995
Abdoulaye Gaye,Mauritania,Midfielder,13/09/1991
Blagoja Gurcevski,North Macedonia,Midfielder,
Kushtrim Haljilji,North Macedonia,Forward,15/04/1993
Agon Hashimi,North Macedonia,Midfielder,25/07/1993
Eglant Haxho,Albania,Goalkeeper,10/11/1988
Dzeladini Hekuran,North Macedonia,Forward,
Besart Ibraimi,North Macedonia,Forward,17/12/1986
Mensur Idrizi,North Macedonia,Forward,03/08/1983
Darko Ignjatovski,North Macedonia,Defender,19/05/1981
Nusri Ilazi,North Macedonia,Defender,31/08/1992
Artan Iljazi,North Macedonia,Defender,
Liridon Iljazi,North Macedonia,Midfielder,13/07/1996
Agon Imeri,North Macedonia,Goalkeeper,29/12/1991
Demir Imeri,North Macedonia,Forward,27/10/1995
Platin Imeri,North Macedonia,Midfielder,27/09/1994
Genc Iseini,Kosovo,Forward,28/03/1983
Arian Iseni,North Macedonia,Goalkeeper,19/04/2000
Vulnet Islami,North Macedonia,Goalkeeper,14/11/1995
Ismail Ismaili,North Macedonia,Forward,14/11/1981
Astrit Izairi,North Macedonia,Goalkeeper,17/08/1998
Evzalj Jahji,North Macedonia,Defender,
Boban JanÄevski,North Macedonia,Forward,30/04/1978
Goran Jovanovski,North Macedonia,Defender,21/08/1972
Fatjon Jusufi,North Macedonia,Midfielder,17/12/1995
Plumb Jusufi,Croatia,Midfielder,10/02/1988
Florian Kadriu,North Macedonia,Midfielder,29/08/1996
Leonard Kalaba,North Macedonia,Midfielder,03/05/1986
Labinot Kjosa,North Macedonia,Goalkeeper,
Matija KobetiÄ,Croatia,Goalkeeper,08/11/1984
Stefan Kostov,North Macedonia,Defender,31/10/1996
Ljubo KovaÄeviÄ,Serbia,Goalkeeper,08/09/1978
Festim Krasniqi,Serbia,Forward,12/07/1991
SaÅ¡o Krstev,North Macedonia,Forward,01/11/1975
Miroslav Lazarevski,North Macedonia,Midfielder,30/04/1975
Nijaz Lena,North Macedonia,Midfielder,25/06/1986
LucÃ£o,Brazil,Forward,22/09/1995
Ilber Luma,North Macedonia,Midfielder,02/05/1995
Miran Maksuti,North Macedonia,Forward,15/07/1993
Blagojce Markovski,North Macedonia,Forward,13/10/1987
Emmanuel Mbella,France,Forward,18/06/1992
Jasmin MecinoviÄ,North Macedonia,Defender,22/10/1990
Lirim Mema,Kosovo,Defender,23/01/1998
Agron Memedi,North Macedonia,Defender,05/11/1980
Bajram Memedi,North Macedonia,Forward,03/06/1991
Marjan Mickov,North Macedonia,Defender,10/02/1987
Bojan Miovski,North Macedonia,Forward,24/06/1999
Zoran Miserdovski,North Macedonia,Forward,05/05/1975
Nenad MiÅ¡kovski,North Macedonia,Defender,26/12/1986
Gjorgji Mojsov,North Macedonia,Midfielder,27/05/1985
Adin MulaosmanoviÄ,Bosnia-Herzegovina,Defender,01/01/1977
Visar Musliu,North Macedonia,Defender,13/11/1994
Saljadin Mustafi,North Macedonia,Goalkeeper,13/04/1993
Burhan Mustafov,North Macedonia,Midfielder,02/03/1994
Valmir Nafiu,North Macedonia,Forward,23/04/1994
Medzit Neziri,North Macedonia,Defender,02/09/1990
Valon Neziri,North Macedonia,Goalkeeper,22/10/1993
Fisnik Nuhiu,North Macedonia,Midfielder,26/01/1983
Florim Nuhiu,North Macedonia,Midfielder,02/09/1992
Minas Osmani,North Macedonia,Midfielder,22/02/1985
SaÅ¡ko Pandev,North Macedonia,Forward,01/05/1987
Nikola PantoviÄ,Serbia,Forward,19/03/1994
Ljivoreka Perparim,North Macedonia,Midfielder,
Filip Petkovski,North Macedonia,Forward,24/05/1990
Goce Petreski,North Macedonia,Forward,15/08/1979
Emran Ramadani,North Macedonia,Midfielder,29/01/1992
Saban Redzep,North Macedonia,Midfielder,03/10/1979
Elmedin Redzepi,North Macedonia,Midfielder,30/09/1988
Sakir Redzepi,North Macedonia,Defender,21/10/1987
Aleksandar Ristevski,North Macedonia,Defender,21/08/1989
SaÅ¡ko Ristov,North Macedonia,Defender,19/05/1983
Bekim Sadiki,North Macedonia,Midfielder,05/04/1990
Burim Sadiki,North Macedonia,Midfielder,05/08/1989
Nehar Sadiki,North Macedonia,Defender,16/03/1998
Samir Sahiti,Serbia,Forward,15/08/1988
Ersen Sali,North Macedonia,Forward,05/10/1987
Meriton Saliji,North Macedonia,Midfielder,15/01/1996
Darko Savevski,North Macedonia,Midfielder,21/06/1971
Igor Savevski,North Macedonia,Defender,21/03/1983
Xhihan Seferi,North Macedonia,Midfielder,19/11/1991
Altin Sefo,North Macedonia,Defender,27/08/2000
Jasir Selmani,North Macedonia,Midfielder,21/01/1991
Remzi Selmani,North Macedonia,Forward,05/05/1997
Å½arko Serafimovski,North Macedonia,Midfielder,13/02/1971
Bunjamin Shabani,North Macedonia,Midfielder,30/01/1991
Erblin Shakiri,North Macedonia,Forward,21/04/1996
Agron Shefiti,North Macedonia,Midfielder,22/06/1993
Goran Siljanovski,North Macedonia,Forward,01/07/1990
Dusan Simovski,North Macedonia,Defender,01/05/1988
Lavdrim Skenderi,North Macedonia,Midfielder,17/01/1994
Zvonimir StankoviÄ,Serbia,Defender,22/11/1983
Faruk Statovci,North Macedonia,Defender,29/11/1979
Kiril Stepanovski,North Macedonia,Defender,26/05/1983
Mende Stepanovski,North Macedonia,Defender,26/05/1983
Darko Stojanov,North Macedonia,Defender,11/10/1990
Igorce Stojanov,North Macedonia,Defender,12/02/1976
Pance Stojanov,North Macedonia,Defender,23/06/1975
Vlatko Stojanovski,North Macedonia,Forward,23/04/1997
Alban Sulejmani,North Macedonia,Forward,14/04/1998
Hekuran Suljemani,North Macedonia,Forward,11/04/1992
Alban Taipi,North Macedonia,Forward,21/03/2003
Flamur Tairi,North Macedonia,Midfielder,24/11/1990
Aleksandar Temelkov,North Macedonia,Midfielder,06/10/1987
Blagoja Todorovski,North Macedonia,Midfielder,11/06/1985
Goce Toleski,North Macedonia,Forward,05/05/1977
Darko Trajcev,North Macedonia,Midfielder,19/03/1988
VanÄe TrajÄov,North Macedonia,Midfielder,05/07/1975
Dragan Trajkovski,North Macedonia,Midfielder,27/11/1987
Muhamed Useini,North Macedonia,Midfielder,21/11/1988
Hadis Velii,North Macedonia,Goalkeeper,20/05/1990
Bashkim Velija,North Macedonia,Midfielder,01/08/1993
Bilal Velija,North Macedonia,Defender,22/10/1982
Stojanco Velinov,North Macedonia,Forward,03/09/1989
Arijan Veliu,North Macedonia,Midfielder,08/06/1990
Artan Veliu,North Macedonia,Forward,09/12/1997
Dragan Veselinovski,North Macedonia,Defender,11/08/1968
Ymer Xhaferi,Kosovo,Midfielder,06/11/1985
Muarem Zekir,North Macedonia,Goalkeeper,26/08/1973
Valon Zekiri,North Macedonia,Forward,28/08/1995
Suat Zendeli,North Macedonia,Goalkeeper,24/02/1981
Muhamed Ziberi,North Macedonia,Defender,01/01/1995
Mensur Zuberi,North Macedonia,Midfielder,04/11/1992
Fisnik Zuka,North Macedonia,Defender,03/09/1995
