Name,Country,Position,Born
Nacer Abdellah,Morocco,Defender,03/03/1966
Jacques Acket,Belgium,Goalkeeper,14/04/1934
Maurice Adamson,Belgium,Forward,17/03/1890
Xavier Aelter,Belgium,Defender,29/11/1969
Andre Aerts,Belgium,Goalkeeper,11/01/1909
Ernest Aerts,Belgium,,24/07/1898
Muisi Ajao,Nigeria,Midfielder,02/12/1978
Patrick Albert,Belgium,Goalkeeper,13/11/1951
Nabil Alioui,France,Forward,18/02/1999
Johan Allemeersch,Belgium,,31/08/1944
Germain Alleyn,Belgium,,11/05/1894
Jasper Ameye,Belgium,Defender,20/04/1994
Christian Andersen,Denmark,Midfielder,28/09/1944
Anthony Annicaert,Belgium,Midfielder,09/10/1973
Albert Antjon,Belgium,,26/01/1941
KÃ©vin Appin,France,Midfielder,20/01/1998
Carlens Arcus,Haiti,Defender,28/06/1996
Wouter Artz,Netherlands,Defender,14/03/1985
Kristof Arys,Belgium,Forward,27/06/1977
Isaac Asare,Ghana,Defender,01/09/1974
Erhard Auerbach,Denmark,Forward,14/08/1953
Alen AvdiÄ,Bosnia-Herzegovina,Forward,03/04/1977
Aim Baas,Netherlands,,16/10/1932
Stipe BaÄeliÄ-GrgiÄ,Croatia,Midfielder,16/02/1988
LoÃ¯c Badiashile,France,Goalkeeper,05/02/1998
Alberic Baelen,Belgium,Goalkeeper,
Dominique Baes,Belgium,Defender,03/02/1893
Louis Baes,Belgium,Defender,15/06/1899
Omer Baes,Belgium,Goalkeeper,15/01/1889
Gilbert Bailliu,Belgium,Forward,04/09/1936
Mushaga Bakenga,Norway,Forward,08/08/1992
Amido BaldÃ©,Guinea-Bissau,Forward,16/05/1991
William Balikwisha,Belgium,Forward,12/05/1999
Alfons Ballegeer,Belgium,,
Ronny Ballegeer,Belgium,,
Keith Barker,England,Forward,21/10/1986
Leendert Barth,Netherlands,Goalkeeper,11/01/1952
Zorhan Bassong,Canada,Defender,07/05/1999
Germain Becu,Belgium,,12/12/1899
Roland Beelen,Belgium,,19/04/1948
Ricky Begeyn,Belgium,Goalkeeper,20/08/1976
Dirk Beheydt,Belgium,Forward,17/10/1951
Ignace Bekemans,Belgium,,19/01/1923
Mehdi Beneddine,France,Defender,26/02/1996
AlbÃ©ric Berghman,Belgium,,30/01/1882
William Berkoe,Ghana,Midfielder,27/12/1974
Franck Bernhard,France,Defender,07/03/1976
Paolino Bertaccini,Belgium,Forward,19/11/1997
Mohamed Berthe,Guinea,Forward,12/09/1972
Prudent Bettens,Belgium,Midfielder,04/07/1943
Bernard Beuken,Belgium,Defender,28/02/1971
DaniÃ«l Beun,Belgium,,31/07/1907
Arthur Beuselinck,Belgium,,10/12/1922
Erik Beyrens,Belgium,Defender,31/10/1949
Giulian Biancone,France,Defender,31/03/2000
Michel Billen,Belgium,,17/02/1951
Robert Billiet,Belgium,Midfielder,01/02/1912
Johnny Bleyaert,Belgium,,06/01/1972
Maurice Blieck,Belgium,,19/04/1913
Joseph Boereboom,Belgium,,06/10/1879
Roland Boey,Belgium,,
Johnny Bogaert,Belgium,Defender,13/09/1947
Joris Bogaert,Belgium,,
JoaquÃ­n Boghossian,Uruguay,Forward,19/06/1987
Frederik Boi,Belgium,Defender,25/10/1981
Zoran BojoviÄ,Serbia,Midfielder,20/11/1956
Achille Bonami,Belgium,,11/11/1910
Adrien Bongiovanni,Belgium,Forward,20/09/1999
Vital Borkelmans,Belgium,Defender,01/06/1963
Ronny Borloo,Belgium,Defender,10/06/1961
Axel Bossekota,Belgium,Midfielder,09/04/1989
Pierre Bourdin,France,Defender,06/01/1994
Bojan BoÅ¾oviÄ,Montenegro,Forward,02/02/1985
Mitchell Braafhart,Netherlands,Goalkeeper,01/01/1995
Robert Braet,Belgium,Goalkeeper,11/02/1912
Sebastiaan Brebels,Belgium,Midfielder,05/05/1995
Benoit Brilleman,Belgium,Defender,29/01/1899
Geert Broeckaert,Belgium,Defender,15/11/1960
Gerard Brulez,Belgium,,18/01/1909
Gianni Brunello,Belgium,,13/01/1966
Gianni Bruno,Belgium,Forward,19/08/1991
Ole Budtz,Denmark,Midfielder,20/04/1979
Thomas Buffel,Belgium,Midfielder,19/02/1981
Jules Bulckaert,Belgium,,24/05/1883
Stephen Buyl,Belgium,Forward,02/09/1992
Eric Buyse,Belgium,,27/03/1940
Jonas Buyse,Belgium,Midfielder,23/05/1991
Bart Buysse,Belgium,Defender,16/10/1986
Joel Bwalya,Zambia,Midfielder,24/10/1972
Kalusha Bwalya,Zambia,Midfielder,16/08/1963
Jinty Caenepeel,Belgium,Forward,18/07/1996
Marc Calcoen,Belgium,,18/09/1958
Abdoul Camara,Guinea,Forward,18/03/1982
Abdoulaye Camara,Mali,Defender,02/01/1980
Alex Camerman,Belgium,Defender,17/05/1969
Irvin Cardona,France,Forward,08/08/1997
Carlos dos Santos,Brazil,Midfielder,15/05/1974
Peter Carly,Belgium,Defender,14/05/1962
Dimi CarrÃ©,Belgium,Goalkeeper,13/06/2000
Arne Cassaert,Belgium,Defender,2000
Edmond Casteleyn,Belgium,Goalkeeper,14/11/1881
Henri Catry,Belgium,,22/05/1890
Ned Charles,Mauritius,,27/05/1958
Dimitrios Chatziisaias,Greece,Defender,21/09/1992
Marius Cheregi,Romania,Midfielder,04/10/1967
Tafsir ChÃ©rif,Guinea,Forward,19/06/1995
Isaac Christie-Davies,Wales,Midfielder,18/10/1997
Olivier Claessens,Belgium,Forward,22/12/1989
Adolphe Claeys,Belgium,,11/07/1878
Geert Claeys,Belgium,,21/05/1965
Geoffrey Claeys,Belgium,Defender,05/10/1974
Jean Claeys,Belgium,,
Octave Claeys,Belgium,,23/03/1878
Rik Claeys,Belgium,Forward,09/05/1969
Roger Claeys,Belgium,,
Geert Coens,Belgium,,23/11/1959
Joseph Cools,Belgium,,07/01/1901
Peter Cooman,Belgium,Defender,08/08/1968
Maurice Coopman,Belgium,,
Davy Cooreman,Belgium,Midfielder,27/01/1971
Jo Coppens,Belgium,Goalkeeper,21/12/1990
Hans Cornelis,Belgium,Defender,13/10/1982
Karel Cornelissen,Belgium,Forward,18/11/1958
Jean Corthouts,Belgium,Forward,30/11/1947
Lassana Coulibaly,Mali,Midfielder,10/04/1996
Maurice Coulleit,Belgium,,22/10/1906
Walther Coulleit,Belgium,,03/11/1908
Paul Courant,Belgium,Midfielder,01/11/1949
Emile Cousin,Belgium,,
Niels Coussement,Belgium,Midfielder,02/02/1991
E. Basil Cowan,England,,23/05/1884
Dimitri Craeye,Belgium,,24/03/1965
Georges Crampe,Belgium,,
Maurice CrÃ©pain ,Belgium,,
Crysan,Brazil,Forward,07/07/1996
Pierre Iweins D'Eeckhaute,Belgium,Defender,08/03/1881
Filip D'Haemers,Belgium,,11/01/1963
Kristof D'Haene,Belgium,Midfielder,06/06/1990
Stefaan DâHondt,Belgium,Midfielder,15/05/1975
Dick DâHoore,Belgium,Forward,20/11/1968
Kouadio-Yves Dabila,Ivory Coast,Defender,01/01/1997
Eric Daels,Belgium,,04/08/1936
Bjorn Daeninck,Belgium,Forward,18/02/1987
AlbÃ©ric Daled,Belgium,,03/05/1889
Eric Damman,Belgium,,16/01/1941
