Name,Country,Position,Born
Davide Adornato,Italy,Goalkeeper,25/03/1991
Simonluca Agazzone,Italy,Midfielder,23/07/1981
Emanuele Anastasia,Italy,Forward,19/01/1996
Roberto Anzolin,Italy,Goalkeeper,18/04/1938
Christian Araboni,Italy,Forward,22/01/1979
Salvatore Avallone,Italy,Midfielder,30/08/1969
Matteo Averani,Italy,Defender,03/05/1977
Bruno Baiardo,Italy,Defender,24/04/1945
Luigi Barbesino,Italy,Midfielder,01/05/1894
Fausto Belli,Italy,Forward,19/07/1961
Giovanni Bertinotti,Italy,Forward,29/07/1894
Domenico Bettini,Italy,Midfielder,19/04/1989
Enzo Biato,Italy,Goalkeeper,30/07/1962
Roberto Bocchino,Italy,Goalkeeper,08/04/1961
Claudio Bonomi,Italy,Midfielder,28/12/1972
Busancano,Italy,Defender,
Leopoldo Caimmi,Italy,Midfielder,03/12/1906
Secondo Caire,Italy,Forward,
Umberto Caligaris,Italy,Defender,26/07/1901
Marco Calonaci,Italy,Forward,04/04/1960
Andrea Capecchi,Italy,Defender,01/11/1973
Stefano Capellupo,Italy,Midfielder,12/01/1988
Riccardo Carapellese,Italy,Forward,01/07/1922
Andrea Cardini,Italy,Midfielder,17/05/1985
Roberto Casone,Italy,Midfielder,13/02/1951
Alessandro Castagna,Italy,Defender,11/11/1966
Natale Cavasonza I,Italy,Forward,
Luigi Cavasonza II,Italy,Midfielder,1886
Andrea Caverzan,Italy,Forward,24/09/1968
Giacomo Chini,Italy,Defender,22/11/1978
Damien Chrysostome,Benin,Defender,24/05/1982
Maurizio Coletto,Italy,Defender,04/05/1979
Davide Cordone,Italy,Midfielder,17/08/1971
Sidio Corradi,Italy,Forward,07/11/1944
Fabio Cozza,Italy,Defender,02/02/1978
Lorenzo Crocetti,Italy,Forward,20/09/1983
Alessio Curcio,Italy,Forward,12/03/1990
Leonardo D'Angelo,Italy,Forward,01/08/1990
Daniele Dalla Bona,Italy,Midfielder,12/08/1983
Candido De Giovanni,Italy,Goalkeeper,02/05/1896
Franco Deasti,Italy,Forward,01/06/1941
Luca Del Chiaro,Italy,Forward,21/01/1981
Francesco Della Monica,Italy,Midfielder,23/06/1960
Umberto Depetrini,Italy,Midfielder,29/07/1944
Davide Desideri,Italy,Midfielder,26/01/1980
Nunzio Di Dio,Italy,Forward,07/08/1982
Matteo Di Giovanni,Italy,Defender,02/02/2000
Osarimen Ebagua,Nigeria,Forward,06/06/1986
Samuele Emiliano,Italy,Defender,29/10/1984
Daniele Facciotto,Italy,Midfielder,29/01/1976
Vito Falconieri,Italy,Forward,18/06/1986
Mariano FernÃ¡ndez,Argentina,Defender,02/09/1978
Massimo Ferraresso,Italy,Goalkeeper,01/03/1966
Mario Ferraris I,Italy,Forward,
Giovanni Ferretti,Italy,Goalkeeper,15/01/1940
Ferrino,Italy,Forward,
Alfio Fontana,Italy,Defender,07/11/1932
Andrea Fontana,Italy,Goalkeeper,02/03/1998
Cosimo Francioso,Italy,Forward,24/01/1967
Giuseppe Fusi,Italy,Defender,28/12/1947
Abdullah Fusseini,Ghana,Midfielder,01/07/1982
Umberto Galletti,Italy,Forward,07/01/1930
Giovanni Gallina,Italy,Forward,01/01/1892
Angelo Gallina I,Italy,Goalkeeper,
Alessandro Gambadori,Italy,Midfielder,03/01/1981
Andrea Garofalo,Italy,Defender,03/02/1993
Ezio Gelain,Italy,Defender,29/01/1961
Alessandro Ghena,Italy,Midfielder,
Italo Ghizzardi,Italy,Goalkeeper,26/10/1937
Massimiliano Giacobbo,Italy,Midfielder,15/07/1974
Christiano Gimelli,Italy,Defender,15/02/1982
Lys Gomis,Senegal,Goalkeeper,06/10/1989
Natale Gonnella,Italy,Defender,19/01/1976
Matteo Guazzo,Italy,Forward,17/04/1982
Filippo Guccione,Italy,Midfielder,08/11/1992
Manolo Guindani,Italy,Forward,12/01/1971
Gaetano Iannini,Italy,Midfielder,17/08/1983
Junior Messias,Brazil,Forward,13/05/1991
Davide La Mesta,Italy,Forward,19/04/2000
Laurent Lanteri,France,Forward,02/11/1984
Nicola Lanzolla,Italy,Defender,10/01/1989
Marco Lo Pinto,Italy,Midfielder,03/05/1968
Oussama M'Hamsi,Morocco,Defender,04/08/1999
Atilio Maggiani,Italy,Defender,1893
Claudio Mantovani,Italy,Goalkeeper,01/07/1943
Paolo Marchi,Italy,Defender,04/05/1991
Domenico Marocchino,Italy,Midfielder,05/05/1957
Alessandro Marongiu,Italy,Forward,06/01/1991
Enzo Mateucci,Italy,Goalkeeper,20/12/1933
Angelo Mattea,Italy,Midfielder,21/10/1892
Stefano Melchiori,Italy,Midfielder,24/09/1965
Massimiliano Memmo,Italy,Forward,08/04/1974
Andrea Merenda,Italy,Midfielder,10/06/1977
Olger Merkaj,Albania,Forward,23/07/1997
Vittorio Mero,Italy,Defender,21/05/1974
Umberto Miello,Italy,Midfielder,21/03/1992
Enzo Mocellin,Italy,Midfielder,01/11/1956
Giovanni Molino,Italy,Defender,03/04/1931
Salvatore Monaco,Italy,Defender,15/08/1992
Eraldo Monzeglio,Italy,Defender,05/06/1906
Egidio Morbello,Italy,Forward,19/08/1936
Enrico Muzzio,Italy,Forward,18/12/1936
Franco Nodari,Italy,Defender,13/01/1939
Luigi Orcesi,Italy,Forward,
Cosimo Palumbo,Italy,Midfielder,07/02/1989
Piero Panzanaro,Italy,Defender,12/02/1977
Sergei Pareiko,Estonia,Goalkeeper,31/01/1977
Paolo Parente,Italy,Defender,08/03/1997
Giuseppe Parodi,Italy,Midfielder,17/12/1892
Leonardo Pavoletti,Italy,Forward,26/11/1988
Claudio Pellegrini,Italy,Forward,16/02/1955
Maurizio Peluso,Italy,Forward,20/06/1985
Attilio Perotti,Italy,Forward,03/03/1946
Nicola Petrilli,Italy,Midfielder,13/04/1987
Simone Pettinari,Italy,Goalkeeper,15/02/1987
Gianfranco Platto,Italy,Defender,25/06/1950
Vincenzo Provera,Italy,Goalkeeper,22/02/1912
Ercole Rabitti,Italy,Forward,24/08/1921
Gino Raffin,Italy,Forward,01/06/1936
Pietro Ravetti,Italy,Forward,1895
Leandro Remondini,Italy,Defender,17/11/1917
Giovanni Ricciardo,Italy,Forward,17/12/1986
Maurizio Rinino,Italy,Midfielder,07/02/1969
Mariano Riva,Italy,Defender,28/02/1953
Samon RodrÃ­guez,Cuba,Forward,28/10/1988
Giordano Roggero,Italy,Defender,14/05/1908
Oreste Rosa,Italy,Midfielder,1894
Nicolino Rosati,Italy,Midfielder,01/02/1963
Lorenzo Rovei,Italy,Goalkeeper,28/04/2000
Hugo Rubini,Argentina,Goalkeeper,07/11/1969
Massimiliano Russo,Italy,Defender,01/12/1981
Marco Ruzittu,Italy,Goalkeeper,15/06/1991
Christian Scalzo,Italy,Forward,08/05/1972
Pierpaolo Scarrone,Italy,Midfielder,29/06/1951
Alessio Scatolini,Italy,Goalkeeper,17/01/2000
Lorenzo Schiavon,Italy,Defender,15/01/1982
Mario Scrivano,Italy,Defender,
