Name,Country,Position,Born
Italo Acconcia,Italy,Midfielder,20/04/1925
Alfredo Aglietti,Italy,Forward,16/09/1970
Andrea Agostinelli,Italy,Midfielder,20/04/1957
Alessandro Agostini,Italy,Defender,23/07/1979
Andrea Aiassa,Italy,Forward,10/07/2000
Ghislain Akassou,Ivory Coast,Defender,15/02/1975
Marco Albertoni,Italy,Goalkeeper,05/08/1995
Massimiliano Allegri,Italy,Midfielder,11/08/1967
Fabio Alteri,Italy,Forward,25/12/1977
Daniele Amerini,Italy,Midfielder,03/08/1974
Valerio Anastasi,Italy,Forward,13/04/1990
Mario Ansaldi,Australia,Midfielder,07/08/1965
NicolÃ² Antonelli,Italy,Defender,24/04/1990
Enrico Antonioni,Italy,Midfielder,08/02/1982
Luigi Apolloni,Italy,Defender,02/05/1967
Osvaldo Arecco,Italy,Defender,27/01/1955
Simone Aresti,Italy,Goalkeeper,15/03/1986
Edoardo Artistico,Italy,Forward,16/06/1969
Luciano Arzeo,Italy,Defender,13/04/1993
Salvadore Bacci,Italy,Midfielder,12/04/1965
Roberto Badiani,Italy,Midfielder,09/10/1949
Francesco Baiano,Italy,Forward,24/02/1968
Daniele Baldini,Italy,Defender,21/02/1964
Alessio Ballanti,Italy,Midfielder,12/07/1974
Daniele Balli,Italy,Goalkeeper,16/09/1967
Giacomo Banchelli,Italy,Forward,14/06/1973
Matteo Barontini,Italy,Midfielder,16/01/1997
Luca Bartolini,Italy,Midfielder,12/06/1960
Giovanni Bartolucci,Italy,Defender,27/02/1984
Andrea Barzagli,Italy,Defender,08/05/1981
Antonio Bellavista,Italy,Midfielder,19/11/1977
Tommaso Bellazzini,Italy,Midfielder,23/12/1987
Francesco Belli,Italy,Defender,16/03/1994
Andrea Bellini,Italy,Defender,24/05/1966
Mirko Bellodi,Italy,Goalkeeper,20/10/1973
Daniele Bellotto,Italy,Midfielder,10/11/1971
Mauro Bellugi,Italy,Midfielder,07/02/1950
Emilio Belmonte,Italy,Forward,26/05/1972
Daniele Beltrammi,Italy,Midfielder,09/03/1974
Alessio Benedetti,Italy,Midfielder,19/05/1990
Paolo Benedetti,Italy,Midfielder,01/04/1961
Bruno Benetti,Italy,Forward,05/07/1938
Massimiliano Benfari,Italy,Forward,09/01/1969
Mirko Benin,Italy,Midfielder,06/06/1978
Ivan Benito,Switzerland,Goalkeeper,27/08/1976
Daniele Bernazzani,Italy,Defender,28/01/1963
Fabrizio Berni,Italy,Defender,22/06/1949
Stefano Bettella,Italy,Defender,08/07/1970
Emiliano Betti,Italy,Goalkeeper,15/02/1972
NiccolÃ² Biagini,Italy,Goalkeeper,20/10/1995
Oberdan Biagioni,Italy,Forward,17/10/1969
Mauro Bianchi,Italy,Defender,19/01/1980
David Bianchini,Italy,Defender,23/07/1971
Stefano Bianciardi,Italy,Defender,15/03/1985
Cristian Biancone,Italy,Forward,05/11/1977
Bicchi,Italy,Midfielder,01/01/1996
Remo Bicchierai,Italy,Defender,18/08/1938
Carlo Bigoni,Italy,Forward,24/07/1987
Giacomo Bindi,Italy,Goalkeeper,02/01/1987
Jonatan Binotto,Italy,Midfielder,22/01/1975
Pierpaolo Bisoli,Italy,Midfielder,20/11/1966
Guido Bistazzoni,Italy,Goalkeeper,12/03/1960
Giorgio Bittolo,Italy,Midfielder,03/12/1949
Girolamo Bizzarri,Italy,Forward,01/06/1967
Marco Bizzarri,Italy,Goalkeeper,04/03/1967
Fabrizio Boccaccini,Italy,Defender,04/01/1972
Giovanni Boggian,Italy,Forward,24/07/1996
Michele Boldrini,Italy,Midfielder,01/02/1985
Enio Bonaldi,Italy,Forward,07/03/1964
Aquilino Bonfanti,Italy,Forward,25/02/1943
Filippo Boni,Italy,Defender,29/06/1995
Giacomo Bonora,Italy,Defender,11/02/1980
Alessandro Bordin,Italy,Midfielder,01/08/1998
Sergio Borgo,Italy,Defender,02/02/1953
Mirko Bortoletti,Italy,Midfielder,19/11/1998
Giovanni Bosi,Italy,Midfielder,01/10/1969
Thomas Braglia,Italy,Midfielder,19/11/1998
Edoardo Braiati,Italy,Midfielder,25/03/1980
Filippo Breschi,Italy,Midfielder,28/03/1976
Giovanni Breschi,Italy,Defender,
Sergio Brio,Italy,Defender,19/08/1956
Stefano Brondi,Italy,Forward,17/09/1961
Luciano Bruni,Italy,Midfielder,24/12/1960
Marco Cacciatori,Italy,Forward,03/02/1956
Daniele Cacia,Italy,Forward,23/08/1983
Andrea Cagnano,Italy,Defender,17/06/1998
Caio De Cenco,Brazil,Forward,05/05/1989
Antonio Calabro,Italy,Defender,10/08/1976
Fabrizio Calattini,Italy,Goalkeeper,07/03/1965
Marco Calonaci,Italy,Forward,04/04/1960
Simone Calvano,Italy,Midfielder,11/07/1993
Vincenzo Camilleri,Italy,Defender,06/03/1992
Sergio Campolo,Italy,Midfielder,04/03/1972
Riccardo Capellini,Italy,Defender,01/03/2000
Antonio Capone,Italy,Forward,13/06/1953
Norberto Cappellari,Italy,Forward,16/09/1961
NiccolÃ² Cappellini,Italy,Defender,13/09/2001
Pierluigi Cappelluzzo,Italy,Forward,09/06/1996
Angelo Carbone,Italy,Midfielder,23/03/1968
Francesco Carbone,Italy,Defender,04/01/1980
Davide Carfora,Italy,Midfielder,11/11/1977
Vittorio Carioli,Italy,Midfielder,13/01/1943
Alan Carlet,Italy,Forward,12/01/1977
Filippo Carobbio,Italy,Midfielder,15/10/1979
Andrea Carozza,Italy,Midfielder,22/04/1984
Francesco Caruso,Italy,Forward,29/09/1966
Emmanuel Cascione,Italy,Midfielder,22/09/1983
Sergio Casilli,Italy,Midfielder,26/01/1965
Mario Castellazzi,Italy,Forward,09/11/1935
Giuseppe Castiglione,Italy,Midfielder,20/01/1970
Giuseppe Catalano,Italy,Midfielder,23/03/1960
Fabrizio Catelli,Italy,Midfielder,06/11/1969
Piero Cauterucci,Italy,Defender,06/04/1999
Luca Ceccarelli,Italy,Defender,20/03/1983
Federico Ceccherini,Italy,Defender,11/05/1992
Lorenzo Cecchi,Italy,Midfielder,23/07/1988
Luca Cecconi,Italy,Forward,24/01/1964
Samuele Ceciarini,Italy,Midfielder,15/04/1983
Daniele Celiento,Italy,Defender,06/08/1994
Marco Cellini,Italy,Forward,19/05/1981
Riccardo Cenci,Italy,Midfielder,25/02/1958
Giampaolo Ceramicola,Italy,Defender,10/04/1964
Francesco Cerretelli,Italy,Midfielder,21/01/2000
Vito Chimenti,Italy,Forward,09/12/1953
Alessandro Chiodini,Italy,Defender,06/08/1958
Roberto Chiti,Italy,Defender,04/10/1964
Vinicio Ciacci,Italy,Forward,13/07/1947
Santino Ciceri,Italy,Goalkeeper,27/12/1935
Amato Ciciretti,Italy,Midfielder,31/12/1993
Christian Cimarelli,Italy,Midfielder,06/11/1975
Massimo Ciocci,Italy,Forward,25/02/1968
Giovanni Cipolla,Italy,Forward,14/08/1974
Andrea Cocco,Italy,Forward,08/04/1986
Alessandro Colasante,Italy,Midfielder,02/08/1973
Lorenzo Collacchioni,Italy,Defender,09/08/1980
Francesco Colombini,Italy,Midfielder,21/11/1993
Corrado Colombo,Italy,Forward,03/08/1979
Sergio Comba,Argentina,Forward,15/10/1978
Marco Comotto,Italy,Defender,09/12/1983
Luigi Consonni,Italy,Midfielder,07/02/1977
Francesco Conti,Italy,Goalkeeper,31/03/1981
Roberto Corradi,Italy,Midfielder,29/01/1975
Leonardo Costa,Italy,Goalkeeper,10/12/1998
Souleymane Coulibaly,Ivory Coast,Forward,26/12/1994
Marco Criniti,Italy,Defender,12/01/1986
Lorenzo Crisanto,Italy,Goalkeeper,20/04/1998
AndrÃ© Cuneaz,Italy,Midfielder,01/06/1987
Demetrio Cutrupi,Italy,Defender,01/11/1987
Fiorenzo D'Ainzara,Italy,Forward,23/01/1973
Vincenzo D'Isanto,Italy,Forward,06/04/1981
Tommaso D'Orazio,Italy,Defender,03/05/1990
