Name,Country,Position,Born
Anthony Adel,France,Midfielder,11/01/1998
Melih Altikulac,France,Defender,08/02/2002
Semih AltÄ±kulaÃ§,Turkey,Defender,08/02/2002
RaphaÃ«l Anaba,Cameroon,Defender,08/03/2000
Mbolo AnkouÃ©,France,Forward,04/06/1998
Houssem Aouar,France,Midfielder,30/06/1998
CÃ©dric Augarreau,France,Midfielder,10/03/2001
FarÃ¨s Bahlouli,France,Midfielder,08/04/1995
Mohamed Bahlouli,France,Midfielder,17/02/2000
Bradley Barcola,France,Forward,02/09/2002
Malcolm Barcola,Togo,Goalkeeper,14/05/1999
Melvin Bard,France,Defender,06/11/2000
Nassim Benaissa,France,Midfielder,03/04/2002
Adil Benjeddi,France,Defender,29/01/1997
Karim Benzema,France,Forward,19/12/1987
Yassine Benzia,Algeria,Forward,08/09/1994
Samuel Bessolo,France,Midfielder,04/07/2003
Noam Bonnet,France,Midfielder,25/05/2002
Kayne Bonnevie,France,Goalkeeper,22/07/2001
Rafik Boujedra,France,Midfielder,27/07/1993
Zachary Brault,Canada,Defender,30/12/1998
Maxence Caqueret,France,Midfielder,15/02/2000
Rayan Cherki,France,Forward,17/08/2003
TimothÃ© Cognat,France,Midfielder,25/01/1998
El Hadj Coly,France,Forward,05/07/2001
MattÃ©o Commaret,France,Defender,02/01/2002
Maxime D'Arpino,France,Midfielder,17/06/1996
Florent Da Silva,France,Midfielder,02/04/2003
Jordan Dalla Vecchia,France,Forward,08/09/1995
Adel Dekic,France,Midfielder,12/01/1998
Romain Del Castillo,France,Midfielder,29/03/1996
KÃ©vin Dellinger,France,Midfielder,09/01/2000
Paul Devarrewaere,France,Midfielder,19/02/1999
HÃ©ritier Deyonge,Belgium,Defender,09/06/2002
Mouctar Diakhaby,France,Defender,19/12/1996
Djibrail Dib,France,Midfielder,03/07/2002
Sinaly DiomandÃ©,Ivory Coast,Defender,09/04/2001
Issiar DramÃ©,France,Defender,16/02/1999
Alan Dzabana,France,Forward,25/03/1997
Thibaut Ehling,France,Midfielder,15/02/2001
Yann Ekra,France,Midfielder,12/10/1990
MÃ©roine El Hammiri,France,Forward,23/05/2001
Romain Escarpit,France,Forward,20/07/1998
Yassin FÃ©kir,France,Midfielder,05/05/1997
Marley Felix,France,Defender,02/01/2003
Jordan Ferri,France,Midfielder,12/03/1992
Jairzinho Fumont,Guadeloupe,Midfielder,06/02/2000
Harris Gahrouri,France,Defender,09/02/1999
Nicolas Garcia,France,Goalkeeper,19/05/1999
Jordy Gaspar,France,Defender,23/04/1997
Maxime Gonalons,France,Midfielder,10/03/1989
Amine Gouiri,France,Forward,16/02/2000
Dorian Grange,France,Goalkeeper,10/05/1996
Reo Griffiths,England,Forward,27/06/2000
Jonathan Grossrieder,Switzerland,Defender,24/04/1999
Malo Gusto,France,Midfielder,19/05/2003
Foudil Idriss,Belgium,Midfielder,10/01/1998
ThadÃ¨e Kaleba,France,Defender,20/04/1999
Aldo Kalulu,France,Forward,21/01/1996
GÃ©dÃ©on Kalulu,France,Defender,29/08/1997
Pierre Kalulu,France,Defender,05/06/2000
Yann Kitala,France,Defender,09/04/1998
Lee-Marving Kouakou,France,Forward,23/07/1998
Giovanni La Rocca,Brazil,Forward,06/06/1997
Zakarie Labidi,France,Forward,08/02/1995
Adrien Lebeau,France,Defender,26/01/1998
Stanislas Lebongo,Cameroon,Goalkeeper,21/09/1997
Mathys Lefebvre,France,Midfielder,21/01/2002
Esteban Lepaul,France,Forward,18/04/2000
David LinarÃ¨s,France,Midfielder,05/10/1975
Enzo Loisi,France,Midfielder,15/06/1998
Mathis Louiserre,France,Defender,18/08/2000
Castello Lukeba,France,Defender,17/12/2002
LÃ©opold Maitre,France,Goalkeeper,07/05/1998
Myziane Maolida,France,Forward,14/02/1999
Basile Marc,France,Midfielder,17/03/2000
Lucas Margueron,France,Goalkeeper,12/02/2001
Yoann Martelat,France,Midfielder,16/01/1997
Alexis Martial,France,Midfielder,15/06/2001
ThÃ©o Matam,France,Midfielder,20/04/2000
Boris Mathis,France,Forward,15/08/1997
Cyriaque Mayounga Ngolou,France,Defender,04/10/2000
Modeste Mbenga,Congo DR,Midfielder,18/05/2001
Mickael Almeida,France,Forward,27/01/1999
Andy Minolien,France,Defender,05/07/2001
Lucas Mocio,France,Goalkeeper,11/05/1994
Elamine Moussa,France,Midfielder,06/01/2002
Romaric N'Gouma,France,Defender,28/01/1995
Clinton N'Jie,Cameroon,Forward,15/08/1993
CÃ©sar Neto,France,Midfielder,26/02/1999
Louis Nganioni,France,Defender,03/06/1995
Bryan Ngwabije,France,Defender,30/05/1998
Joss Nkongue Tiki,France,Forward,18/01/2002
Pierre Nouvel,France,Defender,10/01/1998
Thomas Oualembo,France,Forward,06/04/1999
Abdoulaye Ouattara,France,Midfielder,08/01/2001
Ryan Ouazine,France,Midfielder,27/03/1999
KÃ©vin Ousmane,France,Goalkeeper,22/02/2002
Elisha Owusu,France,Midfielder,07/11/1997
Philippe Paoli,Lebanon,Forward,03/01/1995
Mathieu Patouillet,France,Goalkeeper,20/02/2004
Christopher Pereira,Luxembourg,Midfielder,19/02/1997
Lilian Perrier,France,Midfielder,30/01/2000
GaÃ«tan Perrin,France,Forward,07/06/1996
Lenny Pintor,France,Forward,05/08/2000
Arthur Pontet,France,Defender,29/03/2001
Quentin Vieira,France,Defender,10/05/1999
Anthony Racioppi,Switzerland,Goalkeeper,31/12/1998
Hamza Rafia,France,Midfielder,02/04/1999
Thomas Richard,France,Forward,21/03/1997
Franck Rivollier,France,Forward,20/04/2001
Innocent Rodet,Cameroon,Midfielder,09/06/2001
Alexandre Roselli,France,Defender,17/03/1997
Pierre Rothacher,France,Goalkeeper,18/05/2003
Tord Salte,Norway,Midfielder,08/02/1999
Klery Serber,France,Midfielder,03/07/1998
Oumar Solet,France,Defender,07/02/2000
Yaya SoumarÃ©,France,Midfielder,23/06/2000
Madyan Sounni,France,Forward,23/12/2002
Ahamadou Sy,France,Defender,05/01/1998
Bartosz Talar,Poland,Midfielder,23/09/2002
Kevin Tapoko,France,Forward,13/04/1994
Hermann Tebily,France,Forward,24/01/2002
Titouan Thomas,France,Forward,12/01/2002
Blaise Tohou-Ngague,France,Midfielder,17/02/1997
Corentin Tolisso,France,Midfielder,03/08/1994
Hussayn Touati,France,Midfielder,03/10/2001
Siere Hadrien TourÃ©,Mali,Forward,12/05/1985
Lucas Tousart,France,Midfielder,29/04/1997
Hugo Wantz,France,Goalkeeper,24/03/1999
Eli Wissa,France,Forward,22/09/2002
Adam Yousfi,France,Midfielder,15/11/2001
Junwei Yu,China,Midfielder,11/07/2000
Xiuwei Zhang,China,Midfielder,13/03/1996
Hichem Zoghlami,France,Forward,13/02/2002
