Name,Country,Position,Born
Daniel Adamczyk,Germany,Goalkeeper,14/07/2002
Erkan Akalp,Germany,Defender,30/07/2001
Kenan Akalp,Turkey,Midfielder,30/05/1999
Andreas Akbari,Germany,Midfielder,24/06/1991
Albert Alex,Nigeria,Defender,26/05/1991
Enis Alushi,Kosovo,Midfielder,22/12/1985
Beyhan Ametov,North Macedonia,Forward,07/11/1998
Frederic Ananou,Germany,Defender,20/09/1997
Kerim Arslan,Turkey,Midfielder,24/03/1987
Ãmer Arslan,Turkey,Defender,18/03/1997
JÃ©rÃ´me Assauer,Germany,Forward,06/06/1988
Leon Augusto,Portugal,Midfielder,10/09/1999
Anil Aydin,Germany,Midfielder,10/01/2000
David Azin,Armenia,Midfielder,11/01/1990
Farid BaÄevac,Bosnia-Herzegovina,Midfielder,17/02/2001
Sven Bacher,Germany,Goalkeeper,28/09/1988
Felix Bachmann,Germany,Midfielder,12/03/1986
Anthony Baffoe,Ghana,Midfielder,25/05/1965
Yohannes Bahcecioglu,Germany,Midfielder,26/02/1988
Marco Ban,Germany,Forward,26/08/1994
Jan-Christoph Bartels,Germany,Goalkeeper,13/01/1999
Andreas Bartosinski,Germany,Midfielder,25/02/1995
Bienvenue Basala-Mazana,Germany,Defender,02/01/1992
Stipe Batarilo-Cerdic,Croatia,Forward,17/11/1993
Jens Bauer,Germany,Midfielder,06/02/1997
Tim Bauer,Germany,Defender,25/04/1988
Dominik Becker,Germany,Defender,09/01/2000
Frank Becker,Germany,Goalkeeper,13/02/1990
Dennis Begas,Germany,Goalkeeper,06/02/1995
Marco Beier,Germany,Defender,23/05/1995
Jonas Berg,Germany,Midfielder,18/01/2002
Tobias Berg,Germany,Defender,24/02/1994
Aljoshua Berger,Germany,Forward,06/01/1997
Dustin Berndt,Germany,Midfielder,16/01/2001
Dino BiÅ¡anoviÄ,Bosnia-Herzegovina,Midfielder,13/03/1990
Yann Bisseck,Germany,Defender,29/11/2000
Josef BlÃ¤ser,Germany,Defender,11/12/1952
Fofo Bolonga-Lobanga,Germany,Defender,05/05/1985
David Bors,Germany,Forward,13/04/1995
Georg Bosbach,Germany,Midfielder,11/10/1953
Can Bozdogan,Germany,Midfielder,05/04/2001
Calvin Brackelmann,Germany,Defender,22/08/1999
Viktor Braininger,Germany,Midfielder,22/06/1988
Roland Brand,Germany,Forward,1973
Mario BrÃ¶hl,Germany,Defender,06/04/1992
Christian BrÃ¼ckers,Germany,Forward,18/01/1995
Jannik Bruhns,Germany,Goalkeeper,11/05/1999
Arnold Budimbu,Germany,Midfielder,20/02/1995
Kaan Caliskaner,Germany,Forward,03/11/1999
Anil Capkin,Turkey,Defender,12/04/1996
