Name,Country,Position,Born
Victor Albrechtsen,Denmark,Defender,27/07/2002
Chance Bashende,Denmark,Midfielder,
Christian Berthelsen,Denmark,Goalkeeper,28/11/2001
Rasmus BornhÃ¸ft,Denmark,Midfielder,
Daniel Borre,Denmark,Defender,
Nicolai Bossen,Denmark,Forward,
Magnus Buch-AarÃ¸e,Denmark,Midfielder,
Sefa Bulduk,Denmark,Midfielder,
Nicklas Clausen,Denmark,Forward,22/06/2001
Nicolai Dupont SÃ¸rensen,Denmark,Forward,05/07/2000
Victor From,Denmark,Defender,
Johan Guldbrand,Denmark,Midfielder,
Abdi Gulit,Denmark,Forward,02/03/2002
Patrick HedegÃ¥rd Hansen,Denmark,Defender,27/05/2001
Alvin Huseinovic,Denmark,Midfielder,28/01/2001
Mikkel Husted,Denmark,Goalkeeper,13/02/2002
Jonas JÃ¸nsson,Denmark,Midfielder,
Kasper JÃ¸rgensen,Denmark,Defender,03/09/2002
Luca JÃ¸rgensen,Denmark,Defender,
William JÃ¸rgensen,Denmark,Defender,
Max Juhl,Denmark,Midfielder,14/02/2004
Mads Kath,Denmark,Midfielder,
Jonathan Kirkegaard,Denmark,Goalkeeper,
Sander Kohberg,Denmark,Defender,19/09/2000
Frederik Kyed,Denmark,Defender,
Kristian LÃ¸nvig,Denmark,Forward,
Simon Lynnerup Hansgaard,Denmark,Defender,
Henrik Madsen,Denmark,Forward,
Kristoffer Madsen,Denmark,Goalkeeper,28/05/2000
Jacob Michelsen,Denmark,Goalkeeper,
Andres Mikkelsen,Denmark,Defender,
SÃ¸ren Straagaard MÃ¸ller,Denmark,Defender,
Lucas Nielsen,Denmark,Defender,01/08/2002
Mikkel Nielsen,Denmark,Forward,
August Olsen,Denmark,Forward,
Max Poulsen,Denmark,Midfielder,
Victor Poulsen,Denmark,Midfielder,
Jakob Rask,Denmark,Defender,10/05/2000
Christian Rasmussen,Denmark,Midfielder,
Nicklas Riding Clausen,Denmark,Forward,22/06/2001
Albin Rrahmani,Denmark,Midfielder,
Mark Schmidt,Denmark,Forward,
Ali Sheik,Denmark,Midfielder,
Oscar Stentoft,Denmark,Midfielder,25/08/2001
Niclas Thinggard,Denmark,Goalkeeper,
Frederik Topgaard,Denmark,Midfielder,
Jonas Ussing,Denmark,Midfielder,22/01/2002
Sebastian Wind,Denmark,Defender,
Jonatan Wulff,Denmark,Midfielder,
Benjamin Zjajo,Denmark,Midfielder,15/04/2001
Oscar Zoega,Denmark,Midfielder,
