Name,Country,Position,Born
Gonzalo AbÃ¡n,Argentina,Forward,11/06/1987
Luciano Abecasis,Argentina,Defender,04/06/1990
MatÃ­as Abelairas,Argentina,Midfielder,18/06/1985
SebastiÃ¡n Abreu,Uruguay,Forward,17/10/1976
Walter Acevedo,Argentina,Midfielder,16/02/1986
Norberto Acosta,Argentina,Midfielder,22/05/1976
Oscar Acosta,Argentina,Midfielder,18/10/1964
Edgardo Adinolfi,Uruguay,Defender,27/03/1974
Facundo Affranchino,Argentina,Midfielder,09/02/1990
Emiliano AgÃ¼ero,Argentina,Midfielder,21/01/1995
Augusto Aguirre,Argentina,Defender,27/03/1999
Diego Aguirre,Uruguay,Forward,13/09/1965
Leonardo Aguirre,Argentina,Goalkeeper,19/02/1971
MartÃ­n Aguirre,Argentina,Midfielder,14/09/1981
Oscar Ahumada,Argentina,Midfielder,31/08/1982
Andres Aimar,Argentina,Midfielder,18/11/1982
Pablo Aimar,Argentina,Midfielder,03/11/1979
Lucas Alario,Argentina,Forward,08/10/1992
AgustÃ­n Alayes,Argentina,Defender,22/07/1978
JosÃ© Albornoz,Argentina,Midfielder,19/07/1970
Jorge Alcalde,Peru,Forward,05/12/1916
Roque Alfaro,Argentina,Midfielder,15/08/1956
Federico Almerares,Argentina,Forward,02/05/1985
MatÃ­as Almeyda,Argentina,Midfielder,21/12/1973
IvÃ¡n Alonso,Uruguay,Forward,10/04/1979
Norberto Alonso,Argentina,Midfielder,04/01/1953
Ricardo Altamirano,Argentina,Defender,12/12/1965
CristiÃ¡n Ãlvarez,Chile,Defender,20/01/1980
DamiÃ¡n Ãlvarez,Argentina,Midfielder,21/05/1979
JuliÃ¡n Ãlvarez,Argentina,Forward,31/01/2000
Fernando Alvez,Uruguay,Goalkeeper,04/09/1959
Antonio Alzamendi,Uruguay,Forward,07/06/1956
Gabriel Amato,Argentina,Forward,22/09/1970
Horacio Ameli,Argentina,Defender,07/07/1974
Luis Amorone,Argentina,Defender,10/02/1957
Luis AmuchÃ¡stegui,Argentina,Forward,12/12/1960
Federico Andrada,Argentina,Forward,03/03/1994
TomÃ¡s Andrade,Argentina,Midfielder,16/11/1996
Juan Pablo Ãngel,Colombia,Forward,24/10/1975
Fabricio Angileri,Argentina,Defender,15/03/1994
Carlos Arano,Argentina,Defender,06/06/1980
Rodrigo Archubi,Argentina,Midfielder,06/06/1985
Lautaro Arellano,Argentina,Midfielder,17/04/1997
Franco Armani,Argentina,Goalkeeper,16/10/1986
Mario Artel,Argentina,Forward,
HÃ©ctor Artico,Argentina,Midfielder,24/04/1949
Luis Artime,Argentina,Forward,02/12/1938
JoaquÃ­n Arzura,Argentina,Midfielder,18/05/1993
Leonardo Astrada,Argentina,Midfielder,06/01/1970
Carlos Auzqui,Argentina,Midfielder,16/03/1991
Celso Ayala,Paraguay,Defender,20/08/1970
Milner Ayala,Paraguay,Forward,03/09/1928
Roberto Ayala,Argentina,Defender,14/04/1973
Ãder Balanta,Colombia,Defender,28/02/1993
Jorge Balbis,Argentina,Defender,25/09/1961
Abel Balbo,Argentina,Forward,01/06/1966
Josepmir BallÃ³n,Peru,Midfielder,21/03/1988
Mariano Barbosa,Argentina,Goalkeeper,27/07/1984
Alexander Barboza,Argentina,Defender,16/03/1995
Marcelo Barovero,Argentina,Goalkeeper,18/02/1984
Diego Barrado,Argentina,Midfielder,27/02/1981
Leonardo Barraza,Argentina,Midfielder,09/01/1978
Rodrigo Barucco,Argentina,Goalkeeper,17/04/1984
Pablo Barzola,Argentina,Defender,17/11/1983
FabiÃ¡n Basualdo,Argentina,Defender,26/02/1964
Augusto Batalla,Argentina,Goalkeeper,30/04/1996
Sergio Batista,Argentina,Midfielder,09/11/1962
Gabriel Batistuta,Argentina,Forward,01/02/1969
Daniel Bayo,Argentina,Midfielder,25/10/1940
Fernando Belluschi,Argentina,Midfielder,10/09/1983
Ariel Beltramo,Argentina,Forward,20/08/1969
Lucas BeltrÃ¡n,Argentina,Forward,23/06/2001
Eduardo Berizzo,Argentina,Defender,13/11/1969
Carlos Berrueta,Uruguay,Midfielder,21/08/1961
Sergio Berti,Argentina,Midfielder,17/02/1969
NicolÃ¡s Bertolo,Argentina,Midfielder,02/01/1986
MatÃ­as Biscay,Argentina,Defender,05/03/1974
Blasco,Spain,Goalkeeper,10/06/1909
Diego Bogado,Argentina,Midfielder,23/02/1986
Enrique Bologna,Argentina,Goalkeeper,13/02/1982
Roberto Bonano,Argentina,Goalkeeper,24/01/1970
Camilo Bonelli,Argentina,Defender,12/10/1907
Fabian Bordagaray,Argentina,Forward,15/02/1987
AnÃ­bal BordÃ³n,Paraguay,Defender,06/05/1944
Jorge Borelli,Argentina,Defender,02/11/1964
Claudio Borghi,Argentina,Midfielder,28/09/1964
Rafael BorrÃ©,Colombia,Forward,15/09/1995
Enrique Borrelli,Argentina,Midfielder,08/04/1962
