Name,Country,Position,Born
Sara AgreÅ¾,Slovenia,Defender,09/12/2000
Eseosa Aigbogun,Switzerland,Forward,23/05/1993
Fatmire Alushi,Germany,Midfielder,01/04/1988
Anne Anders,Germany,Midfielder,18/06/1984
Anne Anders,Germany,Defender,10/06/1984
NataÅ¡a Andonova,North Macedonia,Midfielder,04/12/1993
Nadine Angerer,Germany,Goalkeeper,10/11/1978
Genoveva AÃ±onma,Equatorial Guinea,Forward,19/04/1989
Julie Augustyniak,USA,Defender,01/02/1979
Nancy Augustyniak,USA,Defender,01/02/1979
Inken Becher,Germany,Defender,02/09/1978
Christina Bellinghoven,Germany,Goalkeeper,06/08/1988
Stefanie Beltz,Germany,Forward,29/11/1985
Ann-Katrin Berger,Germany,Goalkeeper,09/10/1990
Sabine Berger,Germany,Forward,
Jana BÃ¶hme,Germany,Midfielder,03/11/1988
Anna Bornhoff,Germany,Forward,17/11/1981
Monique Braun,Germany,Defender,12/02/1989
Pauline Bremer,Germany,Midfielder,10/04/1996
Annelie Brendel,Germany,Midfielder,24/09/1983
Laura Brosius,Germany,Defender,08/01/1990
Sybille BrÃ¼dgam,Germany,Midfielder,04/12/1965
Natalia Bunduki,Russia,Defender,23/05/1973
Cordula Busack,Germany,Goalkeeper,22/10/1986
KlÃ¡ra CahynovÃ¡,Czech Republic,Midfielder,20/12/1993
Christin Carl,Germany,Defender,30/05/1991
Britta Carlson,Germany,Midfielder,03/03/1978
Gina Chmielinski,Germany,Midfielder,07/06/2000
Jennifer Cramer,Germany,Midfielder,24/02/1993
Cristiane,Brazil,Forward,15/05/1985
Chantal de Ridder,Netherlands,Forward,19/01/1989
Kate Deines,USA,Defender,17/09/1989
Kristin Demann,Germany,Defender,07/04/1993
Rieke Dieckmann,Germany,Midfielder,16/08/1996
Erica Dillmann,Germany,Forward,07/02/1994
Sara Doorsoun,Germany,Midfielder,17/11/1991
Stefanie Draws,Germany,Defender,16/10/1989
Nina EhegÃ¶tz,Germany,Forward,22/02/1997
Johanna Elsig,Germany,Defender,01/11/1992
Laura Engler,Germany,Goalkeeper,08/09/1995
Marie-Louise Eta,Germany,Midfielder,07/07/1991
Lisa Evans,Scotland,Forward,21/05/1992
Anna-Sophie Fechner,Germany,Forward,17/12/1988
Claudia Fietkau,Germany,Forward,19/05/1981
Vanessa Fischer,Germany,Goalkeeper,18/04/1998
Nina Frausing-Pedersen,Denmark,Defender,20/06/1991
Sonja Fuss,Germany,Defender,05/11/1978
Anna Gasper,Germany,Midfielder,03/01/1997
Marina Georgieva,Austria,Defender,13/04/1997
Anna Gerhardt,Germany,Midfielder,17/04/1998
Jamie Gerstenberg,Germany,Goalkeeper,11/12/2002
Antonia GÃ¶ransson,Sweden,Midfielder,16/09/1990
Gabriele GÃ¶rgens,Germany,Midfielder,24/04/1966
Luca Graf,Germany,Midfielder,19/03/1999
Dorothea Greulich,Germany,Forward,08/02/1997
GuÃ°bjÃ¶rg GunnarsdÃ³ttir,Iceland,Goalkeeper,18/05/1985
Franziska Hagemann,Germany,Midfielder,03/02/1989
Patricia Hanebeck,Germany,Midfielder,26/02/1986
Bryane Heaberlin,USA,Goalkeeper,02/11/1993
Ada Stolsmo Hegerberg,Norway,Forward,10/07/1995
Andrine Stolsmo Hegerberg,Norway,Midfielder,06/06/1993
Josephine Henning,Germany,Defender,08/09/1989
Constanze HeÃ,Germany,Midfielder,10/12/1983
Ariane Hingst,Germany,Defender,25/07/1979
Jenny Hipp,Germany,Midfielder,06/02/1998
Marie HÃ¶binger,Austria,Forward,01/07/2001
Heike Hoffmann,Germany,Defender,
Juliane HÃ¶fler,Germany,Defender,15/03/1987
Lena Hohlfeld,Germany,Goalkeeper,02/12/1980
Anissa Holzhaus,Germany,Defender,25/07/1980
Svenja Huth,Germany,Forward,25/01/1991
Amanda Ilestedt,Sweden,Defender,17/01/1993
Heleen Jaques,Belgium,Defender,20/04/1988
Marci Jobson,USA,Midfielder,04/12/1975
Aferdita Kameraj,Germany,Midfielder,05/06/1984
Leni Kaurin,Norway,Midfielder,21/03/1981
Elise Kellond-Knight,Australia,Midfielder,10/08/1990
Tabea Kemme,Germany,Midfielder,14/12/1991
Isabel Kerschowski,Germany,Midfielder,22/01/1988
Monique Kerschowski,Germany,Midfielder,22/01/1988
Nadine KeÃler,Germany,Midfielder,04/04/1988
