Name,Country,Position,Born
Danesha Adams,USA,Forward,06/06/1986
Sandra Adolfsson,Sweden,Midfielder,13/06/1987
Emmi Alanen,Finland,Midfielder,30/04/1991
Emma Andersson,Sweden,Defender,19/03/1991
Johanna Andersson,Sweden,Midfielder,07/10/1989
Sofie Andersson,Sweden,Forward,24/09/1985
Barbie,Brazil,Forward,07/01/1992
Chandra Bednar,Canada,Goalkeeper,16/05/1990
Therese BjÃ¶rck,Sweden,Midfielder,15/09/1981
Brittany Bock,USA,Midfielder,11/04/1987
Catherine Bott,New Zealand,Defender,22/04/1995
Jessica Castenhammar,Sweden,Midfielder,14/05/1995
Sabrina D'Angelo,Canada,Goalkeeper,11/05/1993
Ifeoma Dieke,Scotland,Defender,25/02/1981
Johanna Ejdelind,Sweden,Forward,10/06/1996
Emma Erlingsson,Sweden,Defender,28/06/1998
Kendall Fletcher,USA,Defender,06/11/1984
Katie Fraine,USA,Goalkeeper,03/12/1987
Sonja Fransson,Sweden,Goalkeeper,07/08/1984
Loes Geurts,Netherlands,Goalkeeper,12/01/1986
Antonia GÃ¶ransson,Sweden,Midfielder,16/09/1990
Emelie Gustavsson,Sweden,Midfielder,18/05/1999
Cecilie Kramer,Denmark,Goalkeeper,25/03/1987
Hayley Lauder,Scotland,Midfielder,04/06/1990
Emma Lundh,Sweden,Forward,26/06/1989
Shannon Lynn,Scotland,Goalkeeper,22/10/1985
Erika Martinsson,Sweden,Midfielder,19/06/1993
Minna Meriluoto,Finland,Goalkeeper,04/10/1985
Elin Nilsen,Sweden,Forward,25/05/1987
Osinachi Ohale,Nigeria,Defender,21/12/1991
Ngozi Okobi,Nigeria,Forward,14/12/1993
Michelle Pao,USA,Midfielder,01/09/1992
Sofie Pedersen,Denmark,Midfielder,24/04/1992
Agnes Persson,Sweden,Midfielder,09/04/1997
Jane Ross,Scotland,Forward,18/09/1989
Linda SÃ¤llstrÃ¶m,Finland,Forward,13/07/1988
Hanna Simonsson,Sweden,Midfielder,25/12/1998
Emma SjÃ¶dahl,Sweden,Forward,28/03/1987
Leandra Smeda,South Africa,Midfielder,22/07/1989
Jennie SvÃ¤rd Husu,Sweden,Goalkeeper,10/10/1993
Annica Svensson,Sweden,Defender,03/03/1983
Sanna Svensson,Sweden,Defender,09/06/1991
Mandy van den Berg,Netherlands,Defender,26/08/1990
Anna Welin,Sweden,Midfielder,25/03/1994
Hannah Wilkinson,New Zealand,Forward,28/05/1992
Kirsty Yallop,New Zealand,Midfielder,04/11/1986
Shelina Zadorsky,Canada,Defender,24/10/1992
