Name,Country,Position,Born
Xhelil Abdula,North Macedonia,Defender,28/09/1991
Alon Abelski,Germany,Midfielder,29/05/1989
Burak AkarÃ§a,Turkey,Defender,05/11/1991
Kaan Akkus,Germany,Defender,07/01/1994
BÃ¼nyamin Aksoy,Germany,Forward,18/05/1989
Florian Albri,Germany,Goalkeeper,14/02/1992
Tim Albutat,Germany,Midfielder,23/09/1992
Ergi Alihoxha,Germany,Midfielder,14/12/1993
Andreas Altenbeck,Germany,Defender,01/04/1988
AntÃ´nio da Silva,Brazil,Midfielder,13/06/1978
Erkut Ay,Germany,Defender,14/05/1997
Deniz Aycicek,Germany,Midfielder,05/06/1990
Necat AygÃ¼n,Turkey,Defender,26/02/1980
Branimir BajiÄ,Bosnia-Herzegovina,Defender,19/10/1979
Samed Basol,Germany,Defender,01/04/1987
Alexander Baudisch,Germany,Defender,27/04/1992
Dominik Behr,Germany,Midfielder,26/01/1996
Hatim Bentaleb,Germany,Forward,10/05/1995
DÅ¾emal BerberoviÄ,Bosnia-Herzegovina,Defender,05/11/1981
Sven Beuckert,Germany,Goalkeeper,12/12/1973
Christian Bienemann,Germany,Midfielder,03/09/1982
Richard Biwa,Namibia,Defender,20/07/1982
Adam Bodzek,Germany,Defender,07/09/1985
Steffen BÃ¶hm,Germany,Defender,18/07/1995
Mirko Boland,Germany,Midfielder,23/04/1987
Markus Bollmann,Germany,Defender,06/01/1981
Dustin Bomheuer,Germany,Defender,17/04/1991
Nils-Ole Book,Germany,Midfielder,17/02/1986
Simon Brandstetter,Germany,Forward,02/05/1990
Thomas BrÃ¶ker,Germany,Forward,22/01/1985
Pablo CÃ¡ceres,Uruguay,Defender,22/04/1985
Marco Caligiuri,Germany,Midfielder,14/04/1984
Pietro Callea,Italy,Midfielder,04/09/1969
Massimo Cannizzaro,Italy,Forward,03/04/1981
Harun Celebi,Turkey,Midfielder,06/02/1991
Deniz Celik,Turkey,Forward,09/10/1987
Mohamed CissÃ©,Germany,Midfielder,27/08/1997
Barkin CÃ¶mert,Germany,Midfielder,02/06/1994
Darius D'Angelo,Germany,Midfielder,22/08/1991
Maximilian Dammer,Germany,Forward,15/10/1991
JoÃ£o DÃ¤mmers,Germany,Defender,01/03/1995
Pierre De Wit,Germany,Midfielder,26/09/1987
AndrÃ© Dej,Poland,Midfielder,06/02/1992
Marius Delker,Germany,Goalkeeper,22/05/1993
Serdar Demirel,Turkey,Forward,18/01/1988
Timothy Dieng,Switzerland,Goalkeeper,23/11/1994
Valeri Domovchiyski,Bulgaria,Forward,05/10/1986
Johannes DÃ¶rfler,Germany,Forward,23/08/1996
Joel Drepper,Germany,Goalkeeper,22/01/1998
Sascha Dum,Germany,Midfielder,03/07/1986
Philipp DÃ¼nnwald,Germany,Midfielder,14/11/1995
GÃ¶ksel Durmus,Germany,Midfielder,02/06/1992
Lasha Dvali,Georgia,Defender,14/05/1995
Marius Ebbers,Germany,Forward,04/01/1978
Georgios Efthimiou,Greece,Defender,03/02/1993
Yasser El-Hamrouni,Morocco,Midfielder,24/08/1976
Ahmet Engin,Germany,Midfielder,09/08/1996
Aykut Erdogan,Turkey,Midfielder,27/04/1995
Ufuk Es,Germany,Midfielder,23/02/1987
Sebastian Eul,Germany,Defender,18/01/1985
Maurice Exslager,Germany,Forward,12/02/1991
Saban Ferati,Germany,Midfielder,03/08/1990
Alessandro Ficara,Italy,Midfielder,14/01/1991
Patrick Fiedorra,Germany,Defender,17/02/1985
Christian FlÃ¶th,Germany,Defender,26/05/1978
Michael Gardawski,Germany,Midfielder,25/09/1990
Dennis Geiger,Germany,Defender,30/06/1984
Emre Geneli,Germany,Midfielder,27/01/1995
JÃ¼rgen Gjasula,Albania,Midfielder,05/12/1985
Klaus Gjasula,Germany,Midfielder,14/12/1989
Volkan Glatt,Germany,Forward,03/03/1982
Christian GÃ¶cke,Germany,Defender,05/06/1987
Hakan GÃ¶kdemir,Turkey,Midfielder,04/03/1993
Maik Goralski,Germany,Forward,29/05/1992
Kevin Grund,Germany,Midfielder,14/08/1987
Tom Gubini,Germany,Goalkeeper,27/03/1996
Faruk GÃ¼lgÃ¼n,Turkey,Forward,09/12/1990
Maximilian GÃ¼ll,Germany,Defender,05/01/1995
BÃ¼lent GÃ¼ndÃ¼z,Germany,Midfielder,05/07/1988
Enis Hajri,Tunisia,Defender,06/03/1983
Volker Hansen,Germany,Defender,10/11/1983
