Name,Country,Position,Born
Steven Alfred,Nigeria,Forward,11/10/1997
Maksim Artemchuk,Russia,Forward,09/08/1999
Akmal Bakhtiyarov,Kazakhstan,Forward,02/06/1998
Maksim Barsov,Russia,Forward,29/04/1993
Nikita Burmistrov,Russia,Forward,06/07/1989
Andrey Bychkov,Russia,Defender,13/07/1988
Soslan Dzhanaev,Russia,Goalkeeper,13/03/1987
Evgeni Frolov,Russia,Goalkeeper,05/02/1988
Igor Gorbunov,Russia,Midfielder,20/09/1994
Arkadi Kalaydzhyan,Russia,Defender,01/12/1992
Nikita Kalugin,Russia,Defender,12/03/1998
Alexander Karapetyan,Armenia,Forward,23/12/1987
Alan Kasaev,Russia,Midfielder,08/04/1986
Yan Kazaev,Russia,Midfielder,26/11/1991
Aleksandr Kokorin,Russia,Forward,19/03/1991
Nikita Koldunov,Russia,Midfielder,19/04/2000
Kirill Kostin,Russia,Defender,25/03/1994
Roman Kosyanchuk,Russia,Forward,24/10/1993
Mikhail Kovalenko,Russia,Defender,25/01/1995
Fedor Kudryashov,Russia,Defender,05/04/1987
DuÅ¡an Lagator,Montenegro,Midfielder,29/03/1994
Roman Loktionov,Russia,Defender,19/06/1985
Evgeniy Makeev,Russia,Defender,24/07/1989
Timofey Margasov,Russia,Defender,12/06/1992
Miha Mevlja,Slovenia,Defender,12/06/1990
Ivan MiladinoviÄ,Serbia,Defender,14/08/1994
Andrey Mostovoy,Russia,Midfielder,05/11/1997
Temur Mustafin,Russia,Defender,15/04/1995
Elmir Nabiullin,Russia,Defender,08/03/1995
Christian Noboa,Ecuador,Midfielder,09/04/1985
Ivan Novoseltsev,Russia,Defender,25/08/1991
Nikolai Obolski,Russia,Forward,14/01/1997
Vladimir Obukhov,Russia,Forward,08/02/1992
Evgeniy Pesegov,Russia,Midfielder,21/02/1989
Valeri Pochivalin,Russia,Defender,11/04/1992
Dmitriy Poloz,Russia,Forward,12/07/1991
Aleksey Pomerko,Russia,Midfielder,03/05/1990
Pavel Ryabokon,Russia,Midfielder,14/03/1998
Nikita Salamatov,Russia,Midfielder,23/02/1994
Anzor Sanaia,Russia,Forward,22/05/1989
Pavel Shakuro,Russia,Defender,25/07/1997
Maksim Sklyarov,Russia,Defender,28/02/1998
Rostislav Soldatenko,Russia,Goalkeeper,25/05/1997
Ivan Soloviev,Russia,Midfielder,29/03/1993
Ibrahim Tsallagov,Russia,Defender,12/12/1990
Erik Vardanyan,Armenia,Midfielder,07/06/1998
Yefrem Vartanyan,Russia,Forward,09/01/1999
Igor Yurganov,Russia,Defender,10/12/1993
Nikolay Zabolotniy,Russia,Goalkeeper,16/04/1990
Anton Zabolotny,Russia,Forward,13/06/1991
Kirill Zaika,Russia,Defender,07/10/1992
Andrey Zajtsev,Russia,Goalkeeper,14/01/1991
