Name,Country,Position,Born
Hamilton AcuÃ±a,Colombia,Defender,23/07/1990
HÃ©ctor AcuÃ±a,Uruguay,Forward,27/10/1981
Aladesamni Ademola,Nigeria,Forward,09/09/1974
Danny Aguilar,Colombia,Defender,25/02/1986
Jairo Aguirre,Colombia,Forward,08/03/1956
Cristhian Alarcon,Colombia,Midfielder,29/05/1992
Omar Albornoz,Colombia,Defender,28/09/1995
Herly AlcÃ¡zar,Colombia,Forward,30/10/1976
Nestor Alvarez,Colombia,Forward,11/04/1980
Ricardo Ãlvarez,Colombia,Defender,26/09/1976
Anibal Alzate,Colombia,Defender,31/01/1933
CleÃ­der AlzÃ¡te,Colombia,Midfielder,05/02/1988
CÃ©sar Amaya,Colombia,Midfielder,12/10/1990
Yulian Anchico,Colombia,Midfielder,28/05/1984
AndrÃ©s Andrade,Colombia,Midfielder,23/02/1989
Anderson Angulo,Colombia,Defender,01/04/1996
Robinson AponzÃ¡,Colombia,Forward,11/04/1989
VÃ­ctor Aquino,Paraguay,Forward,26/11/1985
Alfredo AraÃºjo,Colombia,Defender,
JÃ¡ider Arboleda,Colombia,Forward,19/02/1985
Juan Arboleda,Colombia,Defender,28/07/1989
Manuel Arboleda,Colombia,Defender,02/08/1979
Luis Arce,Colombia,Midfielder,10/09/1978
CÃ©sar Arias,Colombia,Forward,02/04/1988
Isaac Arias,Colombia,Forward,08/10/1990
William Arias,Colombia,Goalkeeper,27/08/1990
Franco Arizala,Colombia,Forward,04/06/1986
Javier Arizala,Colombia,Defender,21/04/1983
Jair Arrechea,Colombia,Defender,08/11/1980
Abdiel Arroyo,Panama,Forward,13/12/1993
Sleater Arroyo,Colombia,Forward,12/04/1996
Jorge Artigas,Uruguay,Midfielder,16/12/1975
Luis Asprilla,Colombia,Defender,06/12/1977
Walter Avalos,Paraguay,Midfielder,08/02/1976
NicolÃ¡s Ayr,Argentina,Defender,11/10/1982
Leyvin Balanta,Colombia,Defender,03/09/1990
Maicol Balanta,Colombia,Forward,02/01/1990
Danovis Banguero,Colombia,Midfielder,27/10/1989
Jorge Banguero,Colombia,Midfielder,04/10/1974
Julian Barahona,Colombia,Defender,08/03/1978
Luis Barbat,Uruguay,Goalkeeper,17/06/1968
Wilmar Barrios,Colombia,Defender,17/10/1993
Elson Becerra,Colombia,Forward,26/04/1978
Gerardo Bedoya,Colombia,Defender,26/11/1975
BrÃ©iner BelalcÃ¡zar,Colombia,Midfielder,22/09/1984
Brayan BermÃºdez,Colombia,Forward,02/11/1995
Jorge Bocanegra,Colombia,Midfielder,23/03/1991
Juan BolaÃ±o,Colombia,Midfielder,12/03/1992
Gustavo BolÃ­var,Colombia,Midfielder,16/04/1985
BrÃ©iner Bonilla,Colombia,Defender,21/07/1986
VÃ­ctor Bonilla,Colombia,Forward,23/01/1971
Alejandro Botero,Colombia,Goalkeeper,18/08/1980
Daniel BriceÃ±o,Colombia,Defender,06/09/1985
Oscar BriceÃ±o,Colombia,Forward,06/09/1985
Amir Buelvas,Colombia,Forward,24/12/1979
Leonardo BuriÃ¡n,Uruguay,Goalkeeper,21/01/1984
DarÃ­o Bustos,Colombia,Defender,03/09/1985
Luis Caballero,Paraguay,Forward,22/04/1990
Ãlvaro Cabas,Colombia,Forward,29/10/1995
Janio Cabezas,Colombia,Forward,
Diego Cabrera,Bolivia,Forward,13/08/1982
Wilmer Cabrera,Colombia,Midfielder,15/09/1967
Yesus Cabrera,Colombia,Midfielder,15/09/1990
BenjamÃ­n CÃ¡ceres,Paraguay,Forward,04/09/1983
Leonardo CÃ¡ceres,Paraguay,Defender,28/04/1985
GermÃ¡n Caicedo,Colombia,Midfielder,25/08/1977
Delman Cajiao,Colombia,Midfielder,03/08/1996
Roller Cambindo,Colombia,Defender,29/10/1978
Jaminton Campaz,Colombia,Midfielder,24/05/2000
Mike Campaz,Colombia,Midfielder,16/11/1987
Alberto CaÃ±as,Colombia,Midfielder,
Robinson CaÃ±as,Colombia,Midfielder,09/07/1987
Mayer Candelo,Colombia,Midfielder,20/02/1977
Gustavo CaÃ±izalez,Colombia,Forward,17/12/1995
Jhony Cano,Colombia,Midfielder,14/07/1989
Fernando CÃ¡rdenas,Colombia,Forward,30/04/1988
James Cardona,Colombia,Defender,30/03/1967
Felipe Cardoza,Colombia,Defender,19/12/1984
Rafael Carrascal,Colombia,Midfielder,17/03/1992
William Carrascal,Colombia,Defender,22/06/1990
Armando Carrillo,Colombia,Forward,03/11/1985
Heberto Carrillo,Colombia,Defender,
Ivan Castaneda,Colombia,Forward,29/04/1957
Breiner Castillo,Colombia,Goalkeeper,05/05/1978
Jairo Castillo,Colombia,Forward,17/11/1977
Jhon Castillo,Colombia,Forward,22/03/1984
Rafa Castillo,Colombia,Midfielder,06/06/1980
VÃ­ctor Castillo,Colombia,Midfielder,10/07/1987
Nilson CastrillÃ³n,Colombia,Midfielder,28/01/1996
Alex Castro,Colombia,Midfielder,08/03/1994
Daniel CataÃ±o,Colombia,Midfielder,17/01/1992
David Centeno,Venezuela,Midfielder,04/10/1992
Cristino CenturiÃ³n,Argentina,Midfielder,24/07/1954
Hugo CenturiÃ³n,Argentina,Midfielder,02/09/1976
Hernan Cespedes,Colombia,Midfielder,22/07/1984
Diego CharÃ¡,Colombia,Midfielder,05/04/1986
Yimmi CharÃ¡,Colombia,Forward,02/04/1991
John CharrÃ­a,Colombia,Midfielder,14/05/1978
Daladier ChÃ¡vez,Colombia,Defender,23/03/1995
Ricardo Ciciliano,Colombia,Midfielder,23/09/1976
Freddy Clavijo,Uruguay,Goalkeeper,03/05/1955
Luis Closa,Paraguay,Midfielder,10/03/1984
Diego Cochas,Argentina,Midfielder,14/08/1979
Bismar CÃ³rdoba,Colombia,Midfielder,19/09/1992
Yeferson Cordoba,Colombia,Midfielder,01/06/1989
JosÃ© Correa,Colombia,Forward,20/07/1992
Ivan Corredor,Colombia,Midfielder,25/06/1983
Hilario CuenÃº,Colombia,Defender,31/08/1975
William Cuesta,Colombia,Goalkeeper,19/02/1993
Gustavo Culma,Colombia,Midfielder,20/04/1993
Alex Da Rosa,Bolivia,Midfielder,01/06/1976
CristiÃ¡n DÃ¡jome,Colombia,Forward,03/01/1994
Wilfrido de la Rosa,Colombia,Forward,07/02/1993
VÃ­ctor Hugo del RÃ­o,Colombia,Midfielder,01/01/1953
Ayron Del Valle,Colombia,Forward,27/01/1989
Didier Delgado,Colombia,Midfielder,25/07/1992
Luis Delgado,Colombia,Goalkeeper,26/10/1980
Juan Deusa,Colombia,Defender,31/10/1992
Marlon DÃ­az,Colombia,Forward,01/11/1990
