Name,Country,Position,Born
Anil Albayrak,Germany,Midfielder,01/11/1989
UÄur Albayrak,Turkey,Forward,08/06/1988
Fatih Alemdar,Turkey,Forward,12/12/1988
Abassin Alikhil,Germany,Defender,19/04/1991
Tevfik AltÄ±ndaÄ,Turkey,Midfielder,26/10/1988
Pablo Ãlvarez,Spain,Goalkeeper,18/05/1988
Mateo Andacic,Croatia,Midfielder,16/11/1997
Antonio Anic,Croatia,Goalkeeper,05/05/1989
Kokolo Baku,Germany,Forward,11/07/1993
Markus Ballmert,Germany,Defender,27/11/1993
Florijon Belegu,Kosovo,Defender,13/03/1993
Samir Benamar,Morocco,Midfielder,23/08/1992
Henrich BenÄÃ­k,Slovakia,Forward,04/10/1978
Nino Berndroth,Germany,Midfielder,13/04/1987
Vladimir Blazekovic,Germany,Midfielder,28/01/1990
Dennis Bochow,Germany,Defender,12/12/1980
Aziz Bouhaddouz,Morocco,Forward,30/03/1987
Frederic Brill,Germany,Midfielder,28/05/1992
Felicio Brown Forbes,Costa Rica,Defender,28/08/1991
Albert Coll,Spain,Forward,11/11/1990
Berkay DabanlÄ±,Germany,Defender,27/06/1990
Andreas DahlÃ©n,Sweden,Defender,11/12/1982
Giuseppe di Leone,Italy,Defender,09/01/1989
Robin Dobios,Germany,Forward,14/01/1990
HÃ¼seyin Durur,Germany,Midfielder,01/07/1988
Kevin Effiong,Germany,Midfielder,24/10/1993
Lukas Ehlert,Germany,Forward,04/06/1993
Abdessamad Fachat,Morocco,Midfielder,29/08/1989
Mario Fillinger,Germany,Midfielder,10/10/1984
Tim Fliess,Germany,Defender,07/09/1990
Mathieu Freymann,Germany,Defender,07/02/1992
Marc Gallego,Germany,Midfielder,13/08/1985
Fabian Galm,Germany,Midfielder,29/09/1989
Marcel Gaus,Germany,Forward,02/08/1989
Gledson,Brazil,Defender,04/09/1979
Sebastian GÃ¶big,Germany,Forward,22/07/1985
Daniel Gordon,Jamaica,Midfielder,16/01/1985
Benjamin Gralla,Germany,Goalkeeper,10/01/1990
Markus GrÃ¶ger,Germany,Defender,30/05/1991
Marcel Gruber,Germany,Midfielder,26/03/1991
Babacar GuÃ¨ye,Senegal,Forward,02/03/1986
CÃ¼neyt GÃ¼ndogdu,Turkey,Midfielder,28/09/1982
GÃ¼ney GÃ¼nel,Germany,Defender,27/07/1989
Marc Heitmeier,Germany,Defender,18/03/1985
Tobias HennebÃ¶le,Germany,Defender,19/05/1992
Daniel Henrich,Germany,Midfielder,29/09/1991
Stefan Hickl,Germany,Defender,11/04/1988
Simon Hille,Germany,Defender,18/12/1992
Markus Hofmeier,Germany,Midfielder,07/10/1993
Hohmann,Germany,Midfielder,
Modijeb Jamali,Afghanistan,Midfielder,30/04/1991
Dominique Jourdan,Germany,Defender,29/01/1992
Anthony Jung,Germany,Defender,03/11/1991
Sebhat Kahsay,Germany,Midfielder,12/11/1988
Sandro Kaiser,Germany,Midfielder,21/09/1989
Berat Karabey,Turkey,Forward,23/03/1992
Marcel KÃ¤rcher,Germany,Midfielder,04/04/1994
Pierre Kleinheider,Germany,Goalkeeper,07/11/1989
Kai Klug,Germany,Goalkeeper,20/04/1988
Manuel Konrad,Germany,Midfielder,14/04/1988
Patrick Kraus,Germany,Defender,23/11/1989
Steven KrÃ¶ner,Germany,Midfielder,03/08/1989
Filip KrstiÄ,Serbia,Defender,24/09/1988
Moses Lamidi,Germany,Forward,05/01/1988
Michael Langer,Austria,Goalkeeper,06/01/1985
Mathew Leckie,Australia,Forward,04/02/1991
Marcel LÃ³pez-Wismer,Germany,Defender,04/01/1992
Aleksandar Mastilovic,Germany,Midfielder,06/03/1991
Jaouhar Mnari,Tunisia,Midfielder,08/11/1976
Steven MÃ¼hl,Germany,Defender,29/07/1993
Marius MÃ¼ller,Germany,Midfielder,05/10/1990
Sven MÃ¼ller,Germany,Midfielder,04/04/1980
Anil Mus,Germany,Defender,05/11/1990
Momar N'Diaye,Senegal,Forward,13/07/1987
Yasin Nefes,Germany,Defender,20/07/1991
Maximilian Oesterhelweg,Germany,Midfielder,21/07/1990
Robert Oral,Germany,Midfielder,27/10/1983
Noyan Ãz,Turkey,Forward,13/09/1991
Can Ãzer,Germany,Midfielder,22/03/1990
