Name,Country,Position,Born
Mohammed Abdellaoue,Norway,Forward,23/10/1985
Ãckerle,Germany,Defender,
M. Ackermann,Germany,Forward,
Joseph Addo,Ghana,Defender,12/09/1971
Adhemar,Brazil,Forward,27/04/1972
Benjamin Adrion,Germany,Midfielder,31/03/1981
Rainer Adrion,Germany,Defender,10/12/1953
Dieter Ahrendt,Germany,Defender,16/02/1936
Antonis Aidonis,Germany,Defender,22/05/2001
Ailton,Brazil,Defender,16/03/1995
Chadrac Akolo,Congo DR,Forward,01/04/1995
Jonathan Akpoborie,Nigeria,Forward,20/10/1968
Hamadi Al Ghaddioui,Morocco,Forward,22/09/1990
Karl AllgÃ¶wer,Germany,Midfielder,05/01/1957
Ralf AllgÃ¶wer,Germany,Midfielder,04/04/1964
Ioannis Amanatidis,Greece,Forward,03/12/1981
AntÃ´nio da Silva,Brazil,Midfielder,13/06/1978
Dennis Aogo,Germany,Defender,14/01/1987
Hans Arnold,Germany,Defender,08/10/1941
Artl,Germany,,
Takuma Asano,Japan,Forward,10/11/1994
Santiago AscacÃ­bar,Argentina,Midfielder,25/02/1997
Alexander Aschauer,Austria,Forward,14/03/1992
Johan Audel,Martinique,Forward,12/12/1983
August,Germany,,
Peter Aust,Austria,Forward,02/05/1943
Johannes Autenrieth,Germany,Forward,
Maxime Awoudja,Germany,Defender,02/02/1998
Markus Babbel,Germany,Defender,08/09/1972
Bachmann,Germany,,
Holger Badstuber,Germany,Defender,13/03/1989
Mamadou Bah,Guinea,Midfielder,25/04/1988
Otto Baitinger,Germany,Forward,27/10/1926
Krassimir Balakov,Bulgaria,Midfielder,29/03/1966
Ballier,Germany,,
Federico Barba,Italy,Defender,01/09/1993
Barth,Germany,,
Karl Barufka,Germany,Midfielder,15/05/1921
YÄ±ldÄ±ray BaÅtÃ¼rk,Turkey,Midfielder,24/12/1978
JosÃ© Basualdo,Argentina,Midfielder,20/06/1963
Lothar Bauer,Germany,Forward,
Patrick Bauer,Germany,Defender,28/10/1992
Rolf Baumann,Germany,Midfielder,14/06/1963
Otto Baumgart,Germany,Defender,19/11/1929
Timo Baumgartl,Germany,Defender,04/03/1996
Karl Baun,Germany,Midfielder,
Teophil Bausch,Germany,,
Karl Bechtle,Germany,,
Andreas Beck,Germany,Defender,13/03/1987
