Name,Country,Position,Born
MartÃ­n Abraham,Argentina,Forward,11/01/1991
Andres Aimar,Argentina,Midfielder,18/11/1982
Diego AlarcÃ³n,Argentina,Defender,02/03/1975
Humberto AlbiÃ±ana,Argentina,Forward,09/06/1989
Francisco Aman,Argentina,Forward,17/04/1993
Oscar Arevalo,Argentina,Defender,26/01/1968
Yair Arismendi,Argentina,Midfielder,05/04/1998
Carlos Arriola,Argentina,Midfielder,24/03/1992
Javier Baena,Argentina,Defender,05/04/1968
Diego Barrios,Paraguay,Forward,20/07/1987
GastÃ³n Benavidez,Argentina,Defender,23/10/1995
VÃ­ctor Beraldi,Argentina,Midfielder,23/12/1986
GastÃ³n Bottino,Argentina,Midfielder,25/06/1986
Alejandro Cabrera,Argentina,Defender,30/09/1992
MartÃ­n Cabrera,Argentina,Midfielder,08/08/1979
Julio CÃ¡ceres,Argentina,Forward,01/03/1988
Nahuel Cainelli,Argentina,Midfielder,18/08/1994
Leonardo Carboni,Argentina,Forward,04/11/1984
Leandro Celiz,Argentina,Forward,05/05/1995
Leonel Ceresole,Argentina,Midfielder,07/06/1994
Claudio Cevasco,Argentina,Midfielder,20/04/1988
Maximiliano Comba,Argentina,Forward,16/01/1994
Franco Coronel,Argentina,Forward,08/07/1993
Ãlvaro Cuello,Argentina,Midfielder,15/06/1994
Silvio Dulcich,Argentina,Goalkeeper,01/10/1981
DamiÃ¡n FernÃ¡ndez,Argentina,Defender,26/04/1983
Javier FernÃ¡ndez,Argentina,Midfielder,27/05/1992
Javier Ferreira,Paraguay,Forward,15/02/1992
NicolÃ¡s Foglia,Argentina,Defender,07/10/1986
Lautaro Formica,Argentina,Defender,27/01/1986
Ramiro Formigo,Argentina,Midfielder,03/04/1990
Esteban GarcÃ­a,Argentina,Midfielder,20/04/1984
MartÃ­n GarcÃ­a,Argentina,Defender,19/09/1985
JoaquÃ­n Garoni,Argentina,Defender,23/06/1999
Daniel Garro,Argentina,Midfielder,25/10/1990
Roberto Gasparini,Argentina,Forward,24/01/1959
GermÃ¡n Gigena,Argentina,Forward,13/06/1985
NicolÃ¡s GÃ³mez,Argentina,Midfielder,03/12/1992
Fernando GonzÃ¡lez,Argentina,Defender,25/09/1988
Ernesto Hareza,Argentina,Midfielder,31/12/1971
Ibrahim Hesar,Argentina,Forward,15/11/1993
Gonzalo Ireba,Argentina,Forward,07/02/1997
Ariel Krasouski,Uruguay,Defender,31/05/1958
Marcos Lamolla,Argentina,Defender,19/09/1984
Gaston Leva,Argentina,Forward,09/02/1979
Juan Llop,Argentina,Midfielder,01/06/1963
Alexander Lucero,Argentina,Midfielder,03/10/1985
Gonzalo Maffini,Argentina,Defender,17/01/1993
JosÃ© Mancinelli,Argentina,Goalkeeper,01/06/1983
Emanuel MartÃ­nez,Argentina,Defender,10/04/1987
Gonzalo MartÃ­nez,Argentina,Defender,11/09/1975
Hernan Medina,Argentina,Defender,05/09/1974
Lucas Medina,Argentina,Defender,02/07/1998
Osvaldo Miranda,Argentina,Forward,24/06/1984
Marcelo Misetich,Argentina,Goalkeeper,08/04/1968
MatÃ­as Montejano,Argentina,Forward,17/08/1997
Julio Moreyra,Argentina,Defender,08/10/1981
Felipe Mugnaini,Argentina,Forward,12/07/1988
Brian Olivera,Argentina,Goalkeeper,13/12/1993
Lucas Oviedo,Argentina,Midfielder,19/04/1985
Juan Palandri,Argentina,Defender,25/06/1984
Gonzalo Parisi,Argentina,Forward,13/05/1985
HernÃ¡n Peirone,Argentina,Forward,28/05/1986
AdriÃ¡n Peralta,Argentina,Goalkeeper,18/05/1989
MartÃ­n Peralta,Argentina,Forward,08/04/1997
Franco PÃ©rez,Argentina,Forward,01/01/1996
Arnaldo Recalde,Paraguay,Defender,21/05/1991
Juan Reynoso,Argentina,Forward,09/12/1991
Silvio Risio,Argentina,Midfielder,09/06/1971
Ãlvaro RodrÃ­guez,Argentina,Defender,29/04/1987
Bruno SepÃºlveda,Argentina,Midfielder,17/09/1992
Emmanuel Sesma,Argentina,Defender,23/03/1985
Claudio SpontÃ³n,Argentina,Forward,14/08/1968
Lucas Suarez,Argentina,Defender,17/03/1995
Guillermo Tambussi,Argentina,Forward,13/10/1982
Juan Tejera,Uruguay,Defender,26/07/1983
CÃ©sar Torres,Argentina,Midfielder,27/10/1975
Carlos Trucco,Bolivia,Goalkeeper,11/08/1957
CÃ©sar VelÃ¡zquez,Paraguay,Goalkeeper,16/09/1972
Alan Vester,Argentina,Midfielder,12/05/1986
Juan Vogliotti,Argentina,Forward,11/04/1985
Maxi Zbrun,Argentina,Midfielder,09/10/1986
